Pos,Sense1,Sense2,Merge
v,draw#v#21,draw#v#10,not-merged
v,draw#v#21,draw#v#30,not-merged
v,draw#v#21,draw#v#13,not-merged
v,draw#v#05,draw#v#19,not-merged
v,draw#v#05,draw#v#10,not-merged
v,draw#v#05,draw#v#30,not-merged
v,draw#v#05,draw#v#13,not-merged
v,draw#v#19,draw#v#10,not-merged
v,draw#v#19,draw#v#30,not-merged
v,draw#v#19,draw#v#13,not-merged
v,draw#v#10,draw#v#30,not-merged
v,draw#v#10,draw#v#13,not-merged
v,draw#v#30,draw#v#13,not-merged
a,natural#a#02,natural#a#01,merged
a,natural#a#02,natural#a#03,not-merged
a,natural#a#01,natural#a#03,not-merged
v,confront#v#02,confront#v#01,merged
v,confront#v#02,confront#v#03,merged
v,confront#v#01,confront#v#03,merged
v,wash_down#v#01,wash_down#v#02,not-merged
n,lady#n#01,lady#n#03,not-merged
n,sense#n#01,sense#n#02,not-merged
n,sense#n#01,sense#n#05,not-merged
n,sense#n#01,sense#n#03,not-merged
n,sense#n#02,sense#n#05,not-merged
n,sense#n#02,sense#n#03,not-merged
n,sense#n#05,sense#n#03,not-merged
a,local#a#02,local#a#01,merged
v,play#v#05,play#v#22,not-merged
v,play#v#05,play#v#09,not-merged
v,play#v#05,play#v#03,not-merged
v,play#v#05,play#v#02,not-merged
v,play#v#05,play#v#31,not-merged
v,play#v#05,play#v#15,not-merged
v,play#v#05,play#v#01,not-merged
v,play#v#05,play#v#06,not-merged
v,play#v#05,play#v#16,not-merged
v,play#v#05,play#v#20,not-merged
v,play#v#05,play#v#29,not-merged
v,play#v#05,play#v#17,not-merged
v,play#v#05,play#v#28,not-merged
v,play#v#05,play#v#07,not-merged
v,play#v#22,play#v#09,not-merged
v,play#v#22,play#v#03,not-merged
v,play#v#22,play#v#02,not-merged
v,play#v#22,play#v#31,not-merged
v,play#v#22,play#v#15,not-merged
v,play#v#22,play#v#01,not-merged
v,play#v#22,play#v#06,not-merged
v,play#v#22,play#v#16,not-merged
v,play#v#22,play#v#20,not-merged
v,play#v#22,play#v#29,not-merged
v,play#v#22,play#v#17,not-merged
v,play#v#22,play#v#28,not-merged
v,play#v#22,play#v#07,not-merged
v,play#v#09,play#v#03,not-merged
v,play#v#09,play#v#02,not-merged
v,play#v#09,play#v#31,not-merged
v,play#v#09,play#v#15,not-merged
v,play#v#09,play#v#01,not-merged
v,play#v#09,play#v#06,not-merged
v,play#v#09,play#v#16,not-merged
v,play#v#09,play#v#20,not-merged
v,play#v#09,play#v#29,not-merged
v,play#v#09,play#v#17,not-merged
v,play#v#09,play#v#28,not-merged
v,play#v#09,play#v#07,not-merged
v,play#v#03,play#v#02,not-merged
v,play#v#03,play#v#31,not-merged
v,play#v#03,play#v#15,not-merged
v,play#v#03,play#v#01,not-merged
v,play#v#03,play#v#06,not-merged
v,play#v#03,play#v#16,not-merged
v,play#v#03,play#v#20,not-merged
v,play#v#03,play#v#29,not-merged
v,play#v#03,play#v#17,not-merged
v,play#v#03,play#v#28,not-merged
v,play#v#03,play#v#07,not-merged
v,play#v#02,play#v#31,not-merged
v,play#v#02,play#v#15,not-merged
v,play#v#02,play#v#01,not-merged
v,play#v#02,play#v#06,not-merged
v,play#v#02,play#v#16,not-merged
v,play#v#02,play#v#20,not-merged
v,play#v#02,play#v#29,not-merged
v,play#v#02,play#v#17,not-merged
v,play#v#02,play#v#28,not-merged
v,play#v#02,play#v#07,not-merged
v,play#v#31,play#v#15,not-merged
v,play#v#31,play#v#01,not-merged
v,play#v#31,play#v#06,not-merged
v,play#v#31,play#v#16,not-merged
v,play#v#31,play#v#20,not-merged
v,play#v#31,play#v#29,not-merged
v,play#v#31,play#v#17,not-merged
v,play#v#31,play#v#28,not-merged
v,play#v#31,play#v#07,not-merged
v,play#v#15,play#v#01,not-merged
v,play#v#15,play#v#06,not-merged
v,play#v#15,play#v#16,not-merged
v,play#v#15,play#v#20,not-merged
v,play#v#15,play#v#29,not-merged
v,play#v#15,play#v#17,not-merged
v,play#v#15,play#v#28,not-merged
v,play#v#15,play#v#07,not-merged
v,play#v#01,play#v#06,not-merged
v,play#v#01,play#v#16,not-merged
v,play#v#01,play#v#20,not-merged
v,play#v#01,play#v#29,not-merged
v,play#v#01,play#v#17,not-merged
v,play#v#01,play#v#28,not-merged
v,play#v#01,play#v#07,not-merged
v,play#v#06,play#v#16,not-merged
v,play#v#06,play#v#20,not-merged
v,play#v#06,play#v#29,not-merged
v,play#v#06,play#v#17,not-merged
v,play#v#06,play#v#28,not-merged
v,play#v#06,play#v#07,not-merged
v,play#v#16,play#v#20,not-merged
v,play#v#16,play#v#29,not-merged
v,play#v#16,play#v#17,not-merged
v,play#v#16,play#v#28,not-merged
v,play#v#16,play#v#07,not-merged
v,play#v#20,play#v#29,not-merged
v,play#v#20,play#v#17,not-merged
v,play#v#20,play#v#28,not-merged
v,play#v#20,play#v#07,not-merged
v,play#v#29,play#v#17,not-merged
v,play#v#29,play#v#28,not-merged
v,play#v#29,play#v#07,not-merged
v,play#v#17,play#v#28,not-merged
v,play#v#17,play#v#07,not-merged
v,play#v#28,play#v#07,not-merged
s,all_right#s#01,all_right#s#02,merged
v,pull#v#01,pull#v#03,not-merged
v,pull#v#01,pull#v#04,not-merged
v,pull#v#01,pull#v#18,not-merged
v,pull#v#01,pull#v#09,not-merged
v,pull#v#01,pull#v#07,not-merged
v,pull#v#03,pull#v#04,not-merged
v,pull#v#03,pull#v#18,not-merged
v,pull#v#03,pull#v#09,not-merged
v,pull#v#03,pull#v#07,not-merged
v,pull#v#04,pull#v#18,not-merged
v,pull#v#04,pull#v#09,not-merged
v,pull#v#04,pull#v#07,not-merged
v,pull#v#18,pull#v#09,not-merged
v,pull#v#18,pull#v#07,not-merged
v,pull#v#09,pull#v#07,not-merged
v,serve#v#06,serve#v#07,not-merged
v,serve#v#06,serve#v#13,not-merged
v,serve#v#06,serve#v#08,not-merged
v,serve#v#06,serve#v#09,not-merged
v,serve#v#06,serve#v#10,not-merged
v,serve#v#06,serve#v#01,not-merged
v,serve#v#06,serve#v#02,not-merged
v,serve#v#06,serve#v#03,not-merged
v,serve#v#07,serve#v#13,not-merged
v,serve#v#07,serve#v#08,not-merged
v,serve#v#07,serve#v#09,not-merged
v,serve#v#07,serve#v#10,not-merged
v,serve#v#07,serve#v#01,not-merged
v,serve#v#07,serve#v#02,not-merged
v,serve#v#07,serve#v#03,not-merged
v,serve#v#13,serve#v#08,not-merged
v,serve#v#13,serve#v#09,not-merged
v,serve#v#13,serve#v#10,not-merged
v,serve#v#13,serve#v#01,not-merged
v,serve#v#13,serve#v#02,not-merged
v,serve#v#13,serve#v#03,not-merged
v,serve#v#08,serve#v#09,not-merged
v,serve#v#08,serve#v#10,not-merged
v,serve#v#08,serve#v#01,not-merged
v,serve#v#08,serve#v#02,not-merged
v,serve#v#08,serve#v#03,not-merged
v,serve#v#09,serve#v#10,not-merged
v,serve#v#09,serve#v#01,not-merged
v,serve#v#09,serve#v#02,not-merged
v,serve#v#09,serve#v#03,not-merged
v,serve#v#10,serve#v#01,not-merged
v,serve#v#10,serve#v#02,not-merged
v,serve#v#10,serve#v#03,not-merged
v,serve#v#01,serve#v#02,not-merged
v,serve#v#01,serve#v#03,not-merged
v,serve#v#02,serve#v#03,not-merged
n,nature#n#05,nature#n#03,not-merged
n,nature#n#05,nature#n#01,merged
n,nature#n#05,nature#n#02,not-merged
n,nature#n#05,nature#n#04,merged
n,nature#n#03,nature#n#01,not-merged
n,nature#n#03,nature#n#02,merged
n,nature#n#03,nature#n#04,not-merged
n,nature#n#01,nature#n#02,not-merged
n,nature#n#01,nature#n#04,merged
n,nature#n#02,nature#n#04,not-merged
n,art#n#01,art#n#02,merged
n,art#n#01,art#n#03,merged
n,art#n#02,art#n#03,merged
v,use#v#06,use#v#01,not-merged
v,use#v#06,use#v#04,not-merged
v,use#v#06,use#v#02,not-merged
v,use#v#06,use#v#03,not-merged
v,use#v#01,use#v#04,merged
v,use#v#01,use#v#02,not-merged
v,use#v#01,use#v#03,not-merged
v,use#v#04,use#v#02,not-merged
v,use#v#04,use#v#03,not-merged
v,use#v#02,use#v#03,not-merged
v,live#v#07,live#v#02,not-merged
v,conduct#v#01,conduct#v#04,not-merged
a,cool#a#01,cool#a#04,not-merged
a,cool#a#01,cool#a#03,not-merged
a,cool#a#04,cool#a#03,not-merged
v,dress_up#v#01,dress_up#v#02,not-merged
v,equal#v#02,equal#v#03,not-merged
n,yew#n#02,yew#n#01,not-merged
n,stress#n#03,stress#n#05,not-merged
n,stress#n#03,stress#n#04,not-merged
n,stress#n#03,stress#n#01,not-merged
n,stress#n#05,stress#n#04,not-merged
n,stress#n#05,stress#n#01,not-merged
n,stress#n#04,stress#n#01,not-merged
v,strike#v#02,strike#v#05,not-merged
v,strike#v#02,strike#v#04,not-merged
v,strike#v#02,strike#v#10,not-merged
v,strike#v#02,strike#v#11,not-merged
v,strike#v#02,strike#v#20,not-merged
v,strike#v#02,strike#v#07,not-merged
v,strike#v#05,strike#v#04,not-merged
v,strike#v#05,strike#v#10,not-merged
v,strike#v#05,strike#v#11,not-merged
v,strike#v#05,strike#v#20,not-merged
v,strike#v#05,strike#v#07,not-merged
v,strike#v#04,strike#v#10,not-merged
v,strike#v#04,strike#v#11,not-merged
v,strike#v#04,strike#v#20,not-merged
v,strike#v#04,strike#v#07,not-merged
v,strike#v#10,strike#v#11,not-merged
v,strike#v#10,strike#v#20,not-merged
v,strike#v#10,strike#v#07,not-merged
v,strike#v#11,strike#v#20,not-merged
v,strike#v#11,strike#v#07,not-merged
v,strike#v#20,strike#v#07,not-merged
s,blind#s#02,blind#s#03,merged
v,act#v#03,act#v#10,not-merged
v,act#v#03,act#v#05,not-merged
v,act#v#10,act#v#05,not-merged
v,drive#v#03,drive#v#13,not-merged
v,drive#v#03,drive#v#08,not-merged
v,drive#v#03,drive#v#07,not-merged
v,drive#v#03,drive#v#02,not-merged
v,drive#v#03,drive#v#05,not-merged
v,drive#v#03,drive#v#01,not-merged
v,drive#v#13,drive#v#08,not-merged
v,drive#v#13,drive#v#07,not-merged
v,drive#v#13,drive#v#02,not-merged
v,drive#v#13,drive#v#05,not-merged
v,drive#v#13,drive#v#01,not-merged
v,drive#v#08,drive#v#07,not-merged
v,drive#v#08,drive#v#02,not-merged
v,drive#v#08,drive#v#05,not-merged
v,drive#v#08,drive#v#01,not-merged
v,drive#v#07,drive#v#02,not-merged
v,drive#v#07,drive#v#05,not-merged
v,drive#v#07,drive#v#01,not-merged
v,drive#v#02,drive#v#05,not-merged
v,drive#v#02,drive#v#01,not-merged
v,drive#v#05,drive#v#01,not-merged
n,spade#n#02,spade#n#01,not-merged
n,restraint#n#02,restraint#n#04,not-merged
n,restraint#n#02,restraint#n#01,merged
n,restraint#n#02,restraint#n#06,not-merged
n,restraint#n#04,restraint#n#01,not-merged
n,restraint#n#04,restraint#n#06,merged
n,restraint#n#01,restraint#n#06,not-merged
v,play_out#v#03,play_out#v#02,not-merged
v,play_out#v#03,play_out#v#04,not-merged
v,play_out#v#02,play_out#v#04,not-merged
n,child#n#01,child#n#02,merged
n,child#n#01,child#n#03,not-merged
n,child#n#01,child#n#04,not-merged
n,child#n#02,child#n#03,not-merged
n,child#n#02,child#n#04,not-merged
n,child#n#03,child#n#04,not-merged
v,evolve#v#01,evolve#v#03,not-merged
v,match#v#03,match#v#01,not-merged
v,match#v#03,match#v#08,not-merged
v,match#v#03,match#v#05,merged
v,match#v#03,match#v#02,not-merged
v,match#v#01,match#v#08,not-merged
v,match#v#01,match#v#05,not-merged
v,match#v#01,match#v#02,not-merged
v,match#v#08,match#v#05,not-merged
v,match#v#08,match#v#02,not-merged
v,match#v#05,match#v#02,not-merged
n,detention#n#01,detention#n#02,not-merged
v,develop#v#13,develop#v#06,not-merged
v,develop#v#13,develop#v#01,not-merged
v,develop#v#13,develop#v#12,not-merged
v,develop#v#13,develop#v#10,not-merged
v,develop#v#13,develop#v#14,not-merged
v,develop#v#13,develop#v#09,not-merged
v,develop#v#13,develop#v#03,not-merged
v,develop#v#06,develop#v#01,not-merged
v,develop#v#06,develop#v#12,not-merged
v,develop#v#06,develop#v#10,not-merged
v,develop#v#06,develop#v#14,not-merged
v,develop#v#06,develop#v#09,not-merged
v,develop#v#06,develop#v#03,not-merged
v,develop#v#01,develop#v#12,not-merged
v,develop#v#01,develop#v#10,not-merged
v,develop#v#01,develop#v#14,not-merged
v,develop#v#01,develop#v#09,not-merged
v,develop#v#01,develop#v#03,not-merged
v,develop#v#12,develop#v#10,not-merged
v,develop#v#12,develop#v#14,not-merged
v,develop#v#12,develop#v#09,not-merged
v,develop#v#12,develop#v#03,not-merged
v,develop#v#10,develop#v#14,not-merged
v,develop#v#10,develop#v#09,not-merged
v,develop#v#10,develop#v#03,not-merged
v,develop#v#14,develop#v#09,not-merged
v,develop#v#14,develop#v#03,not-merged
v,develop#v#09,develop#v#03,not-merged
v,turn_around#v#03,turn_around#v#02,not-merged
v,strike_out#v#03,strike_out#v#05,not-merged
n,grip#n#06,grip#n#04,not-merged
v,repel#v#03,repel#v#01,not-merged
n,authority#n#01,authority#n#03,not-merged
n,authority#n#01,authority#n#02,not-merged
n,authority#n#01,authority#n#06,merged
n,authority#n#01,authority#n#07,not-merged
n,authority#n#03,authority#n#02,not-merged
n,authority#n#03,authority#n#06,not-merged
n,authority#n#03,authority#n#07,not-merged
n,authority#n#02,authority#n#06,not-merged
n,authority#n#02,authority#n#07,not-merged
n,authority#n#06,authority#n#07,not-merged
a,green#a#04,green#a#03,not-merged
a,green#a#04,green#a#02,not-merged
a,green#a#03,green#a#02,merged
a,faithful#a#03,faithful#a#01,merged
v,hit#v#08,hit#v#02,not-merged
v,hit#v#08,hit#v#03,not-merged
v,hit#v#02,hit#v#03,not-merged
s,green#s#01,green#s#05,not-merged
v,see#v#01,see#v#11,not-merged
v,see#v#01,see#v#12,not-merged
v,see#v#01,see#v#18,not-merged
v,see#v#01,see#v#05,not-merged
v,see#v#11,see#v#12,merged
v,see#v#11,see#v#18,not-merged
v,see#v#11,see#v#05,not-merged
v,see#v#12,see#v#18,not-merged
v,see#v#12,see#v#05,not-merged
v,see#v#18,see#v#05,not-merged
n,feeling#n#01,feeling#n#04,merged
s,cool#s#05,cool#s#06,not-merged
s,cool#s#05,cool#s#02,not-merged
s,cool#s#06,cool#s#02,merged
n,mouth#n#02,mouth#n#01,merged
n,mouth#n#02,mouth#n#03,not-merged
n,mouth#n#02,mouth#n#05,not-merged
n,mouth#n#02,mouth#n#08,not-merged
n,mouth#n#02,mouth#n#04,not-merged
n,mouth#n#01,mouth#n#03,not-merged
n,mouth#n#01,mouth#n#05,not-merged
n,mouth#n#01,mouth#n#08,not-merged
n,mouth#n#01,mouth#n#04,not-merged
n,mouth#n#03,mouth#n#05,not-merged
n,mouth#n#03,mouth#n#08,merged
n,mouth#n#03,mouth#n#04,not-merged
n,mouth#n#05,mouth#n#08,not-merged
n,mouth#n#05,mouth#n#04,not-merged
n,mouth#n#08,mouth#n#04,not-merged
v,carry#v#18,carry#v#37,not-merged
v,carry#v#18,carry#v#15,not-merged
v,carry#v#18,carry#v#04,not-merged
v,carry#v#18,carry#v#22,not-merged
v,carry#v#18,carry#v#21,not-merged
v,carry#v#18,carry#v#05,not-merged
v,carry#v#18,carry#v#02,not-merged
v,carry#v#18,carry#v#31,not-merged
v,carry#v#18,carry#v#10,not-merged
v,carry#v#18,carry#v#12,not-merged
v,carry#v#18,carry#v#20,not-merged
v,carry#v#37,carry#v#15,not-merged
v,carry#v#37,carry#v#04,not-merged
v,carry#v#37,carry#v#22,not-merged
v,carry#v#37,carry#v#21,not-merged
v,carry#v#37,carry#v#05,not-merged
v,carry#v#37,carry#v#02,not-merged
v,carry#v#37,carry#v#31,not-merged
v,carry#v#37,carry#v#10,not-merged
v,carry#v#37,carry#v#12,not-merged
v,carry#v#37,carry#v#20,not-merged
v,carry#v#15,carry#v#04,not-merged
v,carry#v#15,carry#v#22,not-merged
v,carry#v#15,carry#v#21,not-merged
v,carry#v#15,carry#v#05,not-merged
v,carry#v#15,carry#v#02,not-merged
v,carry#v#15,carry#v#31,not-merged
v,carry#v#15,carry#v#10,not-merged
v,carry#v#15,carry#v#12,not-merged
v,carry#v#15,carry#v#20,not-merged
v,carry#v#04,carry#v#22,not-merged
v,carry#v#04,carry#v#21,not-merged
v,carry#v#04,carry#v#05,not-merged
v,carry#v#04,carry#v#02,not-merged
v,carry#v#04,carry#v#31,not-merged
v,carry#v#04,carry#v#10,not-merged
v,carry#v#04,carry#v#12,not-merged
v,carry#v#04,carry#v#20,not-merged
v,carry#v#22,carry#v#21,not-merged
v,carry#v#22,carry#v#05,not-merged
v,carry#v#22,carry#v#02,not-merged
v,carry#v#22,carry#v#31,not-merged
v,carry#v#22,carry#v#10,not-merged
v,carry#v#22,carry#v#12,not-merged
v,carry#v#22,carry#v#20,not-merged
v,carry#v#21,carry#v#05,not-merged
v,carry#v#21,carry#v#02,not-merged
v,carry#v#21,carry#v#31,not-merged
v,carry#v#21,carry#v#10,not-merged
v,carry#v#21,carry#v#12,not-merged
v,carry#v#21,carry#v#20,not-merged
v,carry#v#05,carry#v#02,not-merged
v,carry#v#05,carry#v#31,not-merged
v,carry#v#05,carry#v#10,not-merged
v,carry#v#05,carry#v#12,not-merged
v,carry#v#05,carry#v#20,not-merged
v,carry#v#02,carry#v#31,not-merged
v,carry#v#02,carry#v#10,not-merged
v,carry#v#02,carry#v#12,not-merged
v,carry#v#02,carry#v#20,not-merged
v,carry#v#31,carry#v#10,not-merged
v,carry#v#31,carry#v#12,not-merged
v,carry#v#31,carry#v#20,not-merged
v,carry#v#10,carry#v#12,not-merged
v,carry#v#10,carry#v#20,not-merged
v,carry#v#12,carry#v#20,merged
v,survive#v#01,survive#v#02,not-merged
n,mail#n#02,mail#n#04,not-merged
v,meet#v#06,meet#v#01,not-merged
n,nation#n#03,nation#n#02,not-merged
a,colorless#a#02,colorless#a#01,merged
v,watch#v#02,watch#v#03,not-merged
v,replace#v#01,replace#v#04,not-merged
n,church#n#02,church#n#01,merged
v,visit#v#03,visit#v#01,not-merged
n,channel#n#05,channel#n#04,not-merged
n,channel#n#05,channel#n#07,not-merged
n,channel#n#05,channel#n#01,not-merged
n,channel#n#04,channel#n#07,not-merged
n,channel#n#04,channel#n#01,not-merged
n,channel#n#07,channel#n#01,not-merged
n,hearth#n#02,hearth#n#03,not-merged
v,continue#v#03,continue#v#01,not-merged
v,withdraw#v#10,withdraw#v#01,not-merged
v,keep#v#08,keep#v#01,not-merged
v,keep#v#08,keep#v#18,not-merged
v,keep#v#08,keep#v#20,not-merged
v,keep#v#08,keep#v#07,not-merged
v,keep#v#08,keep#v#19,not-merged
v,keep#v#08,keep#v#21,not-merged
v,keep#v#08,keep#v#03,not-merged
v,keep#v#01,keep#v#18,not-merged
v,keep#v#01,keep#v#20,not-merged
v,keep#v#01,keep#v#07,not-merged
v,keep#v#01,keep#v#19,not-merged
v,keep#v#01,keep#v#21,not-merged
v,keep#v#01,keep#v#03,not-merged
v,keep#v#18,keep#v#20,not-merged
v,keep#v#18,keep#v#07,not-merged
v,keep#v#18,keep#v#19,not-merged
v,keep#v#18,keep#v#21,not-merged
v,keep#v#18,keep#v#03,not-merged
v,keep#v#20,keep#v#07,not-merged
v,keep#v#20,keep#v#19,not-merged
v,keep#v#20,keep#v#21,not-merged
v,keep#v#20,keep#v#03,not-merged
v,keep#v#07,keep#v#19,not-merged
v,keep#v#07,keep#v#21,not-merged
v,keep#v#07,keep#v#03,not-merged
v,keep#v#19,keep#v#21,not-merged
v,keep#v#19,keep#v#03,not-merged
v,keep#v#21,keep#v#03,not-merged
v,wash#v#03,wash#v#09,not-merged
v,wash#v#03,wash#v#02,not-merged
v,wash#v#03,wash#v#10,not-merged
v,wash#v#03,wash#v#04,not-merged
v,wash#v#03,wash#v#06,not-merged
v,wash#v#03,wash#v#01,not-merged
v,wash#v#09,wash#v#02,not-merged
v,wash#v#09,wash#v#10,not-merged
v,wash#v#09,wash#v#04,not-merged
v,wash#v#09,wash#v#06,not-merged
v,wash#v#09,wash#v#01,not-merged
v,wash#v#02,wash#v#10,not-merged
v,wash#v#02,wash#v#04,not-merged
v,wash#v#02,wash#v#06,not-merged
v,wash#v#02,wash#v#01,merged
v,wash#v#10,wash#v#04,not-merged
v,wash#v#10,wash#v#06,not-merged
v,wash#v#10,wash#v#01,not-merged
v,wash#v#04,wash#v#06,not-merged
v,wash#v#04,wash#v#01,not-merged
v,wash#v#06,wash#v#01,not-merged
v,turn_on#v#03,turn_on#v#04,not-merged
v,collaborate#v#01,collaborate#v#02,not-merged
v,determine#v#08,determine#v#01,not-merged
v,drift#v#09,drift#v#04,not-merged
v,drift#v#09,drift#v#06,not-merged
v,drift#v#04,drift#v#06,not-merged
v,train#v#01,train#v#02,not-merged
v,train#v#01,train#v#09,not-merged
v,train#v#01,train#v#08,not-merged
v,train#v#02,train#v#09,not-merged
v,train#v#02,train#v#08,not-merged
v,train#v#09,train#v#08,not-merged
s,natural#s#06,natural#s#08,not-merged
s,natural#s#06,natural#s#04,merged
s,natural#s#06,natural#s#09,not-merged
s,natural#s#06,natural#s#07,merged
s,natural#s#08,natural#s#04,not-merged
s,natural#s#08,natural#s#09,not-merged
s,natural#s#08,natural#s#07,not-merged
s,natural#s#04,natural#s#09,not-merged
s,natural#s#04,natural#s#07,merged
s,natural#s#09,natural#s#07,not-merged
v,keep_up#v#01,keep_up#v#04,merged
n,day#n#01,day#n#02,not-merged
n,day#n#01,day#n#06,not-merged
n,day#n#01,day#n#05,merged
n,day#n#01,day#n#04,not-merged
n,day#n#01,day#n#03,merged
n,day#n#02,day#n#06,merged
n,day#n#02,day#n#05,not-merged
n,day#n#02,day#n#04,not-merged
n,day#n#02,day#n#03,not-merged
n,day#n#06,day#n#05,not-merged
n,day#n#06,day#n#04,not-merged
n,day#n#06,day#n#03,not-merged
n,day#n#05,day#n#04,not-merged
n,day#n#05,day#n#03,merged
n,day#n#04,day#n#03,not-merged
n,fatigue#n#01,fatigue#n#03,merged
n,fatigue#n#01,fatigue#n#02,not-merged
n,fatigue#n#03,fatigue#n#02,not-merged
a,fit#a#03,fit#a#01,merged
v,find#v#15,find#v#10,not-merged
v,find#v#15,find#v#13,not-merged
v,find#v#15,find#v#05,not-merged
v,find#v#15,find#v#01,not-merged
v,find#v#15,find#v#03,not-merged
v,find#v#10,find#v#13,not-merged
v,find#v#10,find#v#05,not-merged
v,find#v#10,find#v#01,not-merged
v,find#v#10,find#v#03,not-merged
v,find#v#13,find#v#05,not-merged
v,find#v#13,find#v#01,not-merged
v,find#v#13,find#v#03,not-merged
v,find#v#05,find#v#01,not-merged
v,find#v#05,find#v#03,not-merged
v,find#v#01,find#v#03,not-merged
v,begin#v#03,begin#v#06,not-merged
v,begin#v#03,begin#v#09,not-merged
v,begin#v#03,begin#v#05,not-merged
v,begin#v#03,begin#v#02,not-merged
v,begin#v#03,begin#v#04,not-merged
v,begin#v#03,begin#v#01,not-merged
v,begin#v#03,begin#v#07,not-merged
v,begin#v#06,begin#v#09,not-merged
v,begin#v#06,begin#v#05,merged
v,begin#v#06,begin#v#02,merged
v,begin#v#06,begin#v#04,not-merged
v,begin#v#06,begin#v#01,not-merged
v,begin#v#06,begin#v#07,not-merged
v,begin#v#09,begin#v#05,not-merged
v,begin#v#09,begin#v#02,not-merged
v,begin#v#09,begin#v#04,not-merged
v,begin#v#09,begin#v#01,not-merged
v,begin#v#09,begin#v#07,not-merged
v,begin#v#05,begin#v#02,merged
v,begin#v#05,begin#v#04,not-merged
v,begin#v#05,begin#v#01,not-merged
v,begin#v#05,begin#v#07,not-merged
v,begin#v#02,begin#v#04,not-merged
v,begin#v#02,begin#v#01,not-merged
v,begin#v#02,begin#v#07,not-merged
v,begin#v#04,begin#v#01,not-merged
v,begin#v#04,begin#v#07,not-merged
v,begin#v#01,begin#v#07,not-merged
v,leave#v#02,leave#v#04,not-merged
v,leave#v#02,leave#v#08,not-merged
v,leave#v#02,leave#v#06,not-merged
v,leave#v#02,leave#v#07,not-merged
v,leave#v#02,leave#v#11,not-merged
v,leave#v#02,leave#v#03,not-merged
v,leave#v#02,leave#v#01,not-merged
v,leave#v#04,leave#v#08,not-merged
v,leave#v#04,leave#v#06,not-merged
v,leave#v#04,leave#v#07,not-merged
v,leave#v#04,leave#v#11,not-merged
v,leave#v#04,leave#v#03,not-merged
v,leave#v#04,leave#v#01,not-merged
v,leave#v#08,leave#v#06,not-merged
v,leave#v#08,leave#v#07,not-merged
v,leave#v#08,leave#v#11,not-merged
v,leave#v#08,leave#v#03,not-merged
v,leave#v#08,leave#v#01,not-merged
v,leave#v#06,leave#v#07,not-merged
v,leave#v#06,leave#v#11,not-merged
v,leave#v#06,leave#v#03,not-merged
v,leave#v#06,leave#v#01,not-merged
