Unnamed: 0,Pos,Sense1,Sense2,Merge,Sense1_keys,Sense2_keys,wn_oed_feature
20,n,chain#n#2,chain#n#6,not-merged,chain%1:17:00::;chemical_chain%1:17:00::;,chemical_chain%1:17:00::;,0.0
21,n,chain#n#4,chain#n#9,not-merged,chain%1:14:02::;,chain%1:14:02::;chain%1:14:02::;chain%1:14:02::;,1.0
22,n,chain#n#4,chain#n#8,not-merged,chain%1:14:02::;,chain%1:14:02::;chain%1:14:02::;chain%1:14:02::;chain%1:14:02::;chain%1:14:02::;chain%1:14:02::;,1.0
23,n,chain#n#4,chain#n#6,not-merged,chain%1:14:02::;,chain%1:14:02::;,1.0
24,n,chain#n#9,chain#n#8,not-merged,chain%1:06:01::;string%1:06:02::;strand%1:06:01::;,strand%1:06:01::;strand%1:06:01::;strand%1:06:01::;strand%1:06:01::;strand%1:06:01::;strand%1:06:01::;,1.0
25,n,chain#n#9,chain#n#6,not-merged,chain%1:06:01::;string%1:06:02::;strand%1:06:01::;,strand%1:06:01::;,1.0
26,n,chain#n#8,chain#n#6,not-merged,range%1:17:00::;mountain_range%1:17:00::;range_of_mountains%1:17:00::;chain%1:17:01::;mountain_chain%1:17:00::;chain_of_mountains%1:17:00::;,chain_of_mountains%1:17:00::;,0.0
27,n,guideline#n#1,guideline#n#2,not-merged,guideline%1:10:01::;,guideline%1:10:01::;guideline%1:10:01::;,1.0
28,n,guideline#n#1,guideline#n#3,not-merged,guideline%1:10:01::;,guideline%1:10:01::;guideline%1:10:01::;guideline%1:10:01::;,1.0
29,n,guideline#n#2,guideline#n#3,merged,road_map%1:09:00::;guideline%1:09:01::;,guideline%1:09:01::;guideline%1:09:01::;guideline%1:09:01::;,1.0
30,v,provide#v#3,provide#v#1,not-merged,provide%2:32:00::;,provide%2:32:00::;provide%2:32:00::;provide%2:32:00::;provide%2:32:00::;,1.0
31,v,provide#v#3,provide#v#2,not-merged,provide%2:32:00::;,provide%2:32:00::;provide%2:32:00::;provide%2:32:00::;provide%2:32:00::;,1.0
32,v,provide#v#3,provide#v#4,not-merged,provide%2:32:00::;,provide%2:32:00::;provide%2:32:00::;provide%2:32:00::;,1.0
33,v,provide#v#3,provide#v#5,not-merged,provide%2:32:00::;,provide%2:32:00::;provide%2:32:00::;provide%2:32:00::;provide%2:32:00::;,1.0
34,v,provide#v#3,provide#v#6,not-merged,provide%2:32:00::;,provide%2:32:00::;provide%2:32:00::;,1.0
35,v,provide#v#3,provide#v#7,not-merged,provide%2:32:00::;,provide%2:32:00::;,1.0
36,v,provide#v#1,provide#v#2,merged,supply%2:40:00::;provide%2:40:00::;render%2:40:02::;furnish%2:40:00::;,furnish%2:40:00::;furnish%2:40:00::;furnish%2:40:00::;furnish%2:40:00::;,0.0
37,v,provide#v#1,provide#v#4,merged,supply%2:40:00::;provide%2:40:00::;render%2:40:02::;furnish%2:40:00::;,furnish%2:40:00::;furnish%2:40:00::;furnish%2:40:00::;,0.0
38,v,provide#v#1,provide#v#5,merged,supply%2:40:00::;provide%2:40:00::;render%2:40:02::;furnish%2:40:00::;,furnish%2:40:00::;furnish%2:40:00::;furnish%2:40:00::;furnish%2:40:00::;,0.0
39,v,provide#v#1,provide#v#6,not-merged,supply%2:40:00::;provide%2:40:00::;render%2:40:02::;furnish%2:40:00::;,furnish%2:40:00::;furnish%2:40:00::;,0.0
40,v,provide#v#1,provide#v#7,not-merged,supply%2:40:00::;provide%2:40:00::;render%2:40:02::;furnish%2:40:00::;,furnish%2:40:00::;,0.0
41,v,provide#v#2,provide#v#4,merged,provide%2:34:00::;supply%2:34:00::;ply%2:34:00::;cater%2:34:00::;,cater%2:34:00::;cater%2:34:00::;cater%2:34:00::;,1.0
42,v,provide#v#2,provide#v#5,merged,provide%2:34:00::;supply%2:34:00::;ply%2:34:00::;cater%2:34:00::;,cater%2:34:00::;cater%2:34:00::;cater%2:34:00::;cater%2:34:00::;,1.0
43,v,provide#v#2,provide#v#6,not-merged,provide%2:34:00::;supply%2:34:00::;ply%2:34:00::;cater%2:34:00::;,cater%2:34:00::;cater%2:34:00::;,1.0
44,v,provide#v#2,provide#v#7,not-merged,provide%2:34:00::;supply%2:34:00::;ply%2:34:00::;cater%2:34:00::;,cater%2:34:00::;,1.0
45,v,provide#v#4,provide#v#5,merged,put_up%2:41:01::;provide%2:41:00::;offer%2:41:03::;,offer%2:41:03::;offer%2:41:03::;offer%2:41:03::;offer%2:41:03::;,1.0
46,v,provide#v#4,provide#v#6,not-merged,put_up%2:41:01::;provide%2:41:00::;offer%2:41:03::;,offer%2:41:03::;offer%2:41:03::;,1.0
47,v,provide#v#4,provide#v#7,not-merged,put_up%2:41:01::;provide%2:41:00::;offer%2:41:03::;,offer%2:41:03::;,1.0
48,v,provide#v#5,provide#v#6,not-merged,leave%2:42:01::;allow_for%2:42:00::;allow%2:42:00::;provide%2:42:00::;,provide%2:42:00::;provide%2:42:00::;,1.0
49,v,provide#v#5,provide#v#7,not-merged,leave%2:42:01::;allow_for%2:42:00::;allow%2:42:00::;provide%2:42:00::;,provide%2:42:00::;,1.0
50,v,provide#v#6,provide#v#7,merged,provide%2:40:08::;bring_home_the_bacon%2:40:00::;,bring_home_the_bacon%2:40:00::;,0.0
51,v,approve#v#1,approve#v#2,not-merged,approve%2:32:00::;o.k.%2:32:00::;okay%2:32:00::;sanction%2:32:01::;,sanction%2:32:01::;,1.0
52,v,require#v#1,require#v#4,merged,necessitate%2:42:00::;ask%2:42:00::;postulate%2:42:00::;need%2:42:00::;require%2:42:00::;take%2:42:00::;involve%2:42:07::;call_for%2:42:00::;demand%2:42:00::;,demand%2:42:00::;demand%2:42:00::;demand%2:42:00::;,1.0
53,v,require#v#1,require#v#2,not-merged,necessitate%2:42:00::;ask%2:42:00::;postulate%2:42:00::;need%2:42:00::;require%2:42:00::;take%2:42:00::;involve%2:42:07::;call_for%2:42:00::;demand%2:42:00::;,demand%2:42:00::;demand%2:42:00::;demand%2:42:00::;,1.0
54,v,require#v#1,require#v#3,not-merged,necessitate%2:42:00::;ask%2:42:00::;postulate%2:42:00::;need%2:42:00::;require%2:42:00::;take%2:42:00::;involve%2:42:07::;call_for%2:42:00::;demand%2:42:00::;,demand%2:42:00::;demand%2:42:00::;demand%2:42:00::;,1.0
55,v,require#v#4,require#v#2,not-merged,want%2:34:00::;need%2:34:00::;require%2:34:00::;,require%2:34:00::;require%2:34:00::;require%2:34:00::;,1.0
56,v,require#v#4,require#v#3,not-merged,want%2:34:00::;need%2:34:00::;require%2:34:00::;,require%2:34:00::;require%2:34:00::;require%2:34:00::;,1.0
57,v,require#v#2,require#v#3,merged,ask%2:32:05::;require%2:32:01::;expect%2:32:00::;,expect%2:32:00::;expect%2:32:00::;expect%2:32:00::;,1.0
58,v,compare#v#1,compare#v#4,not-merged,compare%2:31:00::;,compare%2:31:00::;,1.0
59,v,compare#v#1,compare#v#2,not-merged,compare%2:31:00::;,compare%2:31:00::;,1.0
60,v,compare#v#1,compare#v#3,not-merged,compare%2:31:00::;,compare%2:31:00::;compare%2:31:00::;compare%2:31:00::;,1.0
61,v,compare#v#4,compare#v#2,not-merged,compare%2:32:00::;,compare%2:32:00::;,0.0
62,v,compare#v#4,compare#v#3,not-merged,compare%2:32:00::;,compare%2:32:00::;compare%2:32:00::;compare%2:32:00::;,0.0
63,v,compare#v#2,compare#v#3,merged,compare%2:42:00::;,compare%2:42:00::;compare%2:42:00::;compare%2:42:00::;,1.0
64,n,treat#n#1,treat#n#2,not-merged,dainty%1:13:00::;delicacy%1:13:00::;goody%1:13:00::;kickshaw%1:13:00::;treat%1:13:00::;,treat%1:13:00::;,1.0
65,v,process#v#3,process#v#,not-merged,process%2:31:00::;,,0.0
66,v,process#v#3,process#v#7,not-merged,process%2:31:00::;,process%2:31:00::;process%2:31:00::;,1.0
67,v,process#v#3,process#v#2,not-merged,process%2:31:00::;,process%2:31:00::;process%2:31:00::;,1.0
68,v,process#v#3,process#v#5,not-merged,process%2:31:00::;,process%2:31:00::;process%2:31:00::;process%2:31:00::;,1.0
69,v,process#v#3,process#v#1,not-merged,process%2:31:00::;,process%2:31:00::;,1.0
70,v,process#v#3,process#v#4,not-merged,process%2:31:00::;,process%2:31:00::;process%2:31:00::;process%2:31:00::;process%2:31:00::;,1.0
71,v,process#v#3,process#v#6,not-merged,process%2:31:00::;,process%2:31:00::;process%2:31:00::;process%2:31:00::;,1.0
78,v,process#v#7,process#v#2,not-merged,march%2:38:01::;process%2:38:00::;,process%2:38:00::;process%2:38:00::;,0.0
79,v,process#v#7,process#v#5,not-merged,march%2:38:01::;process%2:38:00::;,process%2:38:00::;process%2:38:00::;process%2:38:00::;,0.0
80,v,process#v#7,process#v#1,not-merged,march%2:38:01::;process%2:38:00::;,process%2:38:00::;,0.0
81,v,process#v#7,process#v#4,not-merged,march%2:38:01::;process%2:38:00::;,process%2:38:00::;process%2:38:00::;process%2:38:00::;process%2:38:00::;,0.0
82,v,process#v#7,process#v#6,not-merged,march%2:38:01::;process%2:38:00::;,process%2:38:00::;process%2:38:00::;process%2:38:00::;,0.0
83,v,process#v#2,process#v#5,merged,process%2:30:00::;treat%2:30:01::;,treat%2:30:01::;treat%2:30:01::;treat%2:30:01::;,1.0
84,v,process#v#2,process#v#1,not-merged,process%2:30:00::;treat%2:30:01::;,treat%2:30:01::;,1.0
85,v,process#v#2,process#v#4,not-merged,process%2:30:00::;treat%2:30:01::;,treat%2:30:01::;treat%2:30:01::;treat%2:30:01::;treat%2:30:01::;,1.0
86,v,process#v#2,process#v#6,not-merged,process%2:30:00::;treat%2:30:01::;,treat%2:30:01::;treat%2:30:01::;treat%2:30:01::;,1.0
87,v,process#v#5,process#v#1,not-merged,work%2:36:00::;work_on%2:36:00::;process%2:36:00::;,process%2:36:00::;,1.0
88,v,process#v#5,process#v#4,not-merged,work%2:36:00::;work_on%2:36:00::;process%2:36:00::;,process%2:36:00::;process%2:36:00::;process%2:36:00::;process%2:36:00::;,1.0
89,v,process#v#5,process#v#6,not-merged,work%2:36:00::;work_on%2:36:00::;process%2:36:00::;,process%2:36:00::;process%2:36:00::;process%2:36:00::;,1.0
90,v,process#v#1,process#v#4,merged,process%2:41:01::;,process%2:41:01::;process%2:41:01::;process%2:41:01::;process%2:41:01::;,1.0
91,v,process#v#1,process#v#6,merged,process%2:41:01::;,process%2:41:01::;process%2:41:01::;process%2:41:01::;,1.0
92,v,process#v#4,process#v#6,merged,action%2:41:00::;sue%2:41:00::;litigate%2:41:00::;process%2:41:00::;,process%2:41:00::;process%2:41:00::;process%2:41:00::;,1.0
93,v,plead#v#1,plead#v#,not-merged,plead%2:32:00::;,,0.0
94,v,plead#v#1,plead#v#2,not-merged,plead%2:32:00::;,plead%2:32:00::;,0.0
95,v,plead#v#1,plead#v#3,not-merged,plead%2:32:00::;,plead%2:32:00::;,0.0
96,v,plead#v#1,plead#v#4,not-merged,plead%2:32:00::;,plead%2:32:00::;,0.0
100,v,plead#v#2,plead#v#3,merged,plead%2:32:02::;,plead%2:32:02::;,1.0
101,v,plead#v#2,plead#v#4,merged,plead%2:32:02::;,plead%2:32:02::;,1.0
102,v,plead#v#3,plead#v#4,merged,plead%2:32:01::;,plead%2:32:01::;,1.0
103,v,underwrite#v#1,underwrite#v#2,merged,underwrite%2:32:01::;subvention%2:32:00::;subvent%2:32:00::;,subvent%2:32:00::;subvent%2:32:00::;subvent%2:32:00::;,0.0
104,n,arch#n#4,arch#n#1,not-merged,arch%1:06:00::;,arch%1:06:00::;,1.0
105,n,arch#n#4,arch#n#2,not-merged,arch%1:06:00::;,arch%1:06:00::;,1.0
106,n,arch#n#4,arch#n#3,not-merged,arch%1:06:00::;,arch%1:06:00::;arch%1:06:00::;,1.0
107,n,arch#n#1,arch#n#2,not-merged,arch%1:25:00::;,arch%1:25:00::;,1.0
108,n,arch#n#1,arch#n#3,not-merged,arch%1:25:00::;,arch%1:25:00::;arch%1:25:00::;,1.0
109,n,arch#n#2,arch#n#3,not-merged,arch%1:08:00::;,arch%1:08:00::;arch%1:08:00::;,1.0
110,v,fix#v#1,fix#v#5,not-merged,repair%2:30:00::;mend%2:30:00::;fix%2:30:01::;bushel%2:30:00::;doctor%2:30:01::;furbish_up%2:30:00::;restore%2:30:01::;touch_on%2:30:00::;,touch_on%2:30:00::;touch_on%2:30:00::;touch_on%2:30:00::;touch_on%2:30:00::;,0.0
111,v,fix#v#1,fix#v#9,not-merged,repair%2:30:00::;mend%2:30:00::;fix%2:30:01::;bushel%2:30:00::;doctor%2:30:01::;furbish_up%2:30:00::;restore%2:30:01::;touch_on%2:30:00::;,touch_on%2:30:00::;touch_on%2:30:00::;touch_on%2:30:00::;touch_on%2:30:00::;touch_on%2:30:00::;touch_on%2:30:00::;touch_on%2:30:00::;,0.0
112,v,fix#v#1,fix#v#2,not-merged,repair%2:30:00::;mend%2:30:00::;fix%2:30:01::;bushel%2:30:00::;doctor%2:30:01::;furbish_up%2:30:00::;restore%2:30:01::;touch_on%2:30:00::;,touch_on%2:30:00::;touch_on%2:30:00::;touch_on%2:30:00::;,0.0
113,v,fix#v#1,fix#v#8,not-merged,repair%2:30:00::;mend%2:30:00::;fix%2:30:01::;bushel%2:30:00::;doctor%2:30:01::;furbish_up%2:30:00::;restore%2:30:01::;touch_on%2:30:00::;,touch_on%2:30:00::;touch_on%2:30:00::;,0.0
114,v,fix#v#1,fix#v#10,not-merged,repair%2:30:00::;mend%2:30:00::;fix%2:30:01::;bushel%2:30:00::;doctor%2:30:01::;furbish_up%2:30:00::;restore%2:30:01::;touch_on%2:30:00::;,touch_on%2:30:00::;touch_on%2:30:00::;touch_on%2:30:00::;touch_on%2:30:00::;,0.0
115,v,fix#v#1,fix#v#3,not-merged,repair%2:30:00::;mend%2:30:00::;fix%2:30:01::;bushel%2:30:00::;doctor%2:30:01::;furbish_up%2:30:00::;restore%2:30:01::;touch_on%2:30:00::;,touch_on%2:30:00::;touch_on%2:30:00::;touch_on%2:30:00::;touch_on%2:30:00::;touch_on%2:30:00::;,0.0
116,v,fix#v#1,fix#v#6,not-merged,repair%2:30:00::;mend%2:30:00::;fix%2:30:01::;bushel%2:30:00::;doctor%2:30:01::;furbish_up%2:30:00::;restore%2:30:01::;touch_on%2:30:00::;,touch_on%2:30:00::;,0.0
117,v,fix#v#1,fix#v#4,not-merged,repair%2:30:00::;mend%2:30:00::;fix%2:30:01::;bushel%2:30:00::;doctor%2:30:01::;furbish_up%2:30:00::;restore%2:30:01::;touch_on%2:30:00::;,touch_on%2:30:00::;touch_on%2:30:00::;touch_on%2:30:00::;touch_on%2:30:00::;touch_on%2:30:00::;,0.0
118,v,fix#v#1,fix#v#7,not-merged,repair%2:30:00::;mend%2:30:00::;fix%2:30:01::;bushel%2:30:00::;doctor%2:30:01::;furbish_up%2:30:00::;restore%2:30:01::;touch_on%2:30:00::;,touch_on%2:30:00::;,0.0
119,v,fix#v#1,fix#v#11,not-merged,repair%2:30:00::;mend%2:30:00::;fix%2:30:01::;bushel%2:30:00::;doctor%2:30:01::;furbish_up%2:30:00::;restore%2:30:01::;touch_on%2:30:00::;,touch_on%2:30:00::;touch_on%2:30:00::;touch_on%2:30:00::;touch_on%2:30:00::;touch_on%2:30:00::;touch_on%2:30:00::;,0.0
120,v,fix#v#5,fix#v#9,not-merged,pay_back%2:33:00::;pay_off%2:33:00::;get%2:33:00::;fix%2:33:00::;,fix%2:33:00::;fix%2:33:00::;fix%2:33:00::;fix%2:33:00::;fix%2:33:00::;fix%2:33:00::;fix%2:33:00::;,1.0
121,v,fix#v#5,fix#v#2,not-merged,pay_back%2:33:00::;pay_off%2:33:00::;get%2:33:00::;fix%2:33:00::;,fix%2:33:00::;fix%2:33:00::;fix%2:33:00::;,1.0
122,v,fix#v#5,fix#v#8,not-merged,pay_back%2:33:00::;pay_off%2:33:00::;get%2:33:00::;fix%2:33:00::;,fix%2:33:00::;fix%2:33:00::;,1.0
123,v,fix#v#5,fix#v#10,not-merged,pay_back%2:33:00::;pay_off%2:33:00::;get%2:33:00::;fix%2:33:00::;,fix%2:33:00::;fix%2:33:00::;fix%2:33:00::;fix%2:33:00::;,1.0
124,v,fix#v#5,fix#v#3,not-merged,pay_back%2:33:00::;pay_off%2:33:00::;get%2:33:00::;fix%2:33:00::;,fix%2:33:00::;fix%2:33:00::;fix%2:33:00::;fix%2:33:00::;fix%2:33:00::;,1.0
125,v,fix#v#5,fix#v#6,not-merged,pay_back%2:33:00::;pay_off%2:33:00::;get%2:33:00::;fix%2:33:00::;,fix%2:33:00::;,1.0
126,v,fix#v#5,fix#v#4,not-merged,pay_back%2:33:00::;pay_off%2:33:00::;get%2:33:00::;fix%2:33:00::;,fix%2:33:00::;fix%2:33:00::;fix%2:33:00::;fix%2:33:00::;fix%2:33:00::;,1.0
127,v,fix#v#5,fix#v#7,not-merged,pay_back%2:33:00::;pay_off%2:33:00::;get%2:33:00::;fix%2:33:00::;,fix%2:33:00::;,1.0
128,v,fix#v#5,fix#v#11,not-merged,pay_back%2:33:00::;pay_off%2:33:00::;get%2:33:00::;fix%2:33:00::;,fix%2:33:00::;fix%2:33:00::;fix%2:33:00::;fix%2:33:00::;fix%2:33:00::;fix%2:33:00::;,1.0
129,v,fix#v#9,fix#v#2,not-merged,sterilize%2:29:00::;sterilise%2:29:00::;desex%2:29:00::;unsex%2:29:00::;desexualize%2:29:00::;desexualise%2:29:00::;fix%2:29:00::;,fix%2:29:00::;fix%2:29:00::;fix%2:29:00::;,0.0
130,v,fix#v#9,fix#v#8,not-merged,sterilize%2:29:00::;sterilise%2:29:00::;desex%2:29:00::;unsex%2:29:00::;desexualize%2:29:00::;desexualise%2:29:00::;fix%2:29:00::;,fix%2:29:00::;fix%2:29:00::;,0.0
131,v,fix#v#9,fix#v#10,not-merged,sterilize%2:29:00::;sterilise%2:29:00::;desex%2:29:00::;unsex%2:29:00::;desexualize%2:29:00::;desexualise%2:29:00::;fix%2:29:00::;,fix%2:29:00::;fix%2:29:00::;fix%2:29:00::;fix%2:29:00::;,0.0
132,v,fix#v#9,fix#v#3,not-merged,sterilize%2:29:00::;sterilise%2:29:00::;desex%2:29:00::;unsex%2:29:00::;desexualize%2:29:00::;desexualise%2:29:00::;fix%2:29:00::;,fix%2:29:00::;fix%2:29:00::;fix%2:29:00::;fix%2:29:00::;fix%2:29:00::;,0.0
133,v,fix#v#9,fix#v#6,not-merged,sterilize%2:29:00::;sterilise%2:29:00::;desex%2:29:00::;unsex%2:29:00::;desexualize%2:29:00::;desexualise%2:29:00::;fix%2:29:00::;,fix%2:29:00::;,0.0
134,v,fix#v#9,fix#v#4,not-merged,sterilize%2:29:00::;sterilise%2:29:00::;desex%2:29:00::;unsex%2:29:00::;desexualize%2:29:00::;desexualise%2:29:00::;fix%2:29:00::;,fix%2:29:00::;fix%2:29:00::;fix%2:29:00::;fix%2:29:00::;fix%2:29:00::;,0.0
135,v,fix#v#9,fix#v#7,not-merged,sterilize%2:29:00::;sterilise%2:29:00::;desex%2:29:00::;unsex%2:29:00::;desexualize%2:29:00::;desexualise%2:29:00::;fix%2:29:00::;,fix%2:29:00::;,0.0
136,v,fix#v#9,fix#v#11,not-merged,sterilize%2:29:00::;sterilise%2:29:00::;desex%2:29:00::;unsex%2:29:00::;desexualize%2:29:00::;desexualise%2:29:00::;fix%2:29:00::;,fix%2:29:00::;fix%2:29:00::;fix%2:29:00::;fix%2:29:00::;fix%2:29:00::;fix%2:29:00::;,0.0
137,v,fix#v#2,fix#v#8,merged,fasten%2:35:01::;fix%2:35:00::;secure%2:35:01::;,secure%2:35:01::;secure%2:35:01::;,1.0
138,v,fix#v#2,fix#v#10,merged,fasten%2:35:01::;fix%2:35:00::;secure%2:35:01::;,secure%2:35:01::;secure%2:35:01::;secure%2:35:01::;secure%2:35:01::;,1.0
139,v,fix#v#2,fix#v#3,not-merged,fasten%2:35:01::;fix%2:35:00::;secure%2:35:01::;,secure%2:35:01::;secure%2:35:01::;secure%2:35:01::;secure%2:35:01::;secure%2:35:01::;,1.0
140,v,fix#v#2,fix#v#6,not-merged,fasten%2:35:01::;fix%2:35:00::;secure%2:35:01::;,secure%2:35:01::;,1.0
141,v,fix#v#2,fix#v#4,not-merged,fasten%2:35:01::;fix%2:35:00::;secure%2:35:01::;,secure%2:35:01::;secure%2:35:01::;secure%2:35:01::;secure%2:35:01::;secure%2:35:01::;,1.0
142,v,fix#v#2,fix#v#7,not-merged,fasten%2:35:01::;fix%2:35:00::;secure%2:35:01::;,secure%2:35:01::;,1.0
143,v,fix#v#2,fix#v#11,not-merged,fasten%2:35:01::;fix%2:35:00::;secure%2:35:01::;,secure%2:35:01::;secure%2:35:01::;secure%2:35:01::;secure%2:35:01::;secure%2:35:01::;secure%2:35:01::;,1.0
144,v,fix#v#8,fix#v#10,merged,fixate%2:30:01::;fix%2:30:00::;,fix%2:30:00::;fix%2:30:00::;fix%2:30:00::;fix%2:30:00::;,1.0
145,v,fix#v#8,fix#v#3,not-merged,fixate%2:30:01::;fix%2:30:00::;,fix%2:30:00::;fix%2:30:00::;fix%2:30:00::;fix%2:30:00::;fix%2:30:00::;,1.0
146,v,fix#v#8,fix#v#6,not-merged,fixate%2:30:01::;fix%2:30:00::;,fix%2:30:00::;,1.0
147,v,fix#v#8,fix#v#4,not-merged,fixate%2:30:01::;fix%2:30:00::;,fix%2:30:00::;fix%2:30:00::;fix%2:30:00::;fix%2:30:00::;fix%2:30:00::;,1.0
148,v,fix#v#8,fix#v#7,not-merged,fixate%2:30:01::;fix%2:30:00::;,fix%2:30:00::;,1.0
149,v,fix#v#8,fix#v#11,not-merged,fixate%2:30:01::;fix%2:30:00::;,fix%2:30:00::;fix%2:30:00::;fix%2:30:00::;fix%2:30:00::;fix%2:30:00::;fix%2:30:00::;,1.0
150,v,fix#v#10,fix#v#3,not-merged,situate%2:35:00::;fix%2:35:01::;posit%2:35:00::;deposit%2:35:01::;,deposit%2:35:01::;deposit%2:35:01::;deposit%2:35:01::;deposit%2:35:01::;deposit%2:35:01::;,1.0
151,v,fix#v#10,fix#v#6,not-merged,situate%2:35:00::;fix%2:35:01::;posit%2:35:00::;deposit%2:35:01::;,deposit%2:35:01::;,1.0
152,v,fix#v#10,fix#v#4,not-merged,situate%2:35:00::;fix%2:35:01::;posit%2:35:00::;deposit%2:35:01::;,deposit%2:35:01::;deposit%2:35:01::;deposit%2:35:01::;deposit%2:35:01::;deposit%2:35:01::;,1.0
153,v,fix#v#10,fix#v#7,not-merged,situate%2:35:00::;fix%2:35:01::;posit%2:35:00::;deposit%2:35:01::;,deposit%2:35:01::;,1.0
154,v,fix#v#10,fix#v#11,not-merged,situate%2:35:00::;fix%2:35:01::;posit%2:35:00::;deposit%2:35:01::;,deposit%2:35:01::;deposit%2:35:01::;deposit%2:35:01::;deposit%2:35:01::;deposit%2:35:01::;deposit%2:35:01::;,1.0
155,v,fix#v#3,fix#v#6,merged,specify%2:32:02::;set%2:32:00::;determine%2:32:03::;fix%2:32:03::;limit%2:32:00::;,limit%2:32:00::;,1.0
156,v,fix#v#3,fix#v#4,not-merged,specify%2:32:02::;set%2:32:00::;determine%2:32:03::;fix%2:32:03::;limit%2:32:00::;,limit%2:32:00::;limit%2:32:00::;limit%2:32:00::;limit%2:32:00::;limit%2:32:00::;,1.0
157,v,fix#v#3,fix#v#7,not-merged,specify%2:32:02::;set%2:32:00::;determine%2:32:03::;fix%2:32:03::;limit%2:32:00::;,limit%2:32:00::;,1.0
158,v,fix#v#3,fix#v#11,not-merged,specify%2:32:02::;set%2:32:00::;determine%2:32:03::;fix%2:32:03::;limit%2:32:00::;,limit%2:32:00::;limit%2:32:00::;limit%2:32:00::;limit%2:32:00::;limit%2:32:00::;limit%2:32:00::;,1.0
159,v,fix#v#6,fix#v#4,not-merged,fix%2:36:01::;,fix%2:36:01::;fix%2:36:01::;fix%2:36:01::;fix%2:36:01::;fix%2:36:01::;,1.0
160,v,fix#v#6,fix#v#7,not-merged,fix%2:36:01::;,fix%2:36:01::;,1.0
161,v,fix#v#6,fix#v#11,not-merged,fix%2:36:01::;,fix%2:36:01::;fix%2:36:01::;fix%2:36:01::;fix%2:36:01::;fix%2:36:01::;fix%2:36:01::;,1.0
162,v,fix#v#4,fix#v#7,merged,cook%2:36:00::;fix%2:36:00::;ready%2:36:00::;make%2:36:07::;prepare%2:36:01::;,prepare%2:36:01::;,1.0
163,v,fix#v#4,fix#v#11,merged,cook%2:36:00::;fix%2:36:00::;ready%2:36:00::;make%2:36:07::;prepare%2:36:01::;,prepare%2:36:01::;prepare%2:36:01::;prepare%2:36:01::;prepare%2:36:01::;prepare%2:36:01::;prepare%2:36:01::;,1.0
