sense1,ants1, deri1, vgrp1, pert1, sense2,ants2, deri2, vgrp2, pert2, merge
provide#v#2,,provision#n#2; provider#n#2,,,provide#v#4,,,,,merged
provide#v#2,,provision#n#2; provider#n#2,,,provide#v#5,,,allow#v#7,,merged
provide#v#2,,provision#n#2; provider#n#2,,,provide#v#6,,provision#n#2,,,not-merged
provide#v#2,,provision#n#2; provider#n#2,,,provide#v#7,,provident#a#1,,,not-merged
provide#v#4,,,,,provide#v#5,,,allow#v#7,,merged
provide#v#4,,,,,provide#v#6,,provision#n#2,,,not-merged
provide#v#4,,,,,provide#v#7,,provident#a#1,,,not-merged
provide#v#5,,,allow#v#7,,provide#v#6,,provision#n#2,,,not-merged
provide#v#5,,,allow#v#7,,provide#v#7,,provident#a#1,,,not-merged
provide#v#6,,provision#n#2,,,provide#v#7,,provident#a#1,,,merged
approve#v#1,disapprove#v#2,approbative#a#1; approbation#n#2; approver#n#1; approval#n#1,,,approve#v#2,disapprove#v#1,approbative#a#1; approbatory#a#1; approbation#n#1; approbation#n#2; approval#n#2,,,not-merged
require#v#1,,requirement#n#1,,,require#v#4,,requirement#n#2,,,merged
require#v#1,,requirement#n#1,,,require#v#2,,requirement#n#1,,,not-merged
require#v#1,,requirement#n#1,,,require#v#3,,requisition#n#1,,,not-merged
require#v#4,,requirement#n#2,,,require#v#2,,requirement#n#1,,,not-merged
require#v#4,,requirement#n#2,,,require#v#3,,requisition#n#1,,,not-merged
require#v#2,,requirement#n#1,,,require#v#3,,requisition#n#1,,,merged
compare#v#1,,comparative#a#2; compare#n#1; comparison#n#2; comparison#n#1; comparing#n#1,compare#v#2,,compare#v#4,,,,,not-merged
compare#v#1,,comparative#a#2; compare#n#1; comparison#n#2; comparison#n#1; comparing#n#1,compare#v#2,,compare#v#2,,compare#n#1,compare#v#1,,not-merged
compare#v#1,,comparative#a#2; compare#n#1; comparison#n#2; comparison#n#1; comparing#n#1,compare#v#2,,compare#v#3,,comparative#a#2; comparative#a#1; compare#n#1; comparison#n#3; comparing#n#1,,,not-merged
compare#v#4,,,,,compare#v#2,,compare#n#1,compare#v#1,,not-merged
compare#v#4,,,,,compare#v#3,,comparative#a#2; comparative#a#1; compare#n#1; comparison#n#3; comparing#n#1,,,not-merged
compare#v#2,,compare#n#1,compare#v#1,,compare#v#3,,comparative#a#2; comparative#a#1; compare#n#1; comparison#n#3; comparing#n#1,,,merged
treat#n#1,,treat#v#6,,,treat#n#2,,treat#v#5,,,not-merged
process#v#3,,processor#n#3,,,process#v#7,,,,,not-merged
process#v#3,,processor#n#3,,,process#v#2,,processor#n#2; processor#n#1; processing#n#1,,,not-merged
process#v#3,,processor#n#3,,,process#v#5,,process#n#1,forge#v#6,,not-merged
process#v#3,,processor#n#3,,,process#v#1,,process#n#1; processing#n#1,,,not-merged
process#v#3,,processor#n#3,,,process#v#4,,process#n#3,litigate#v#1,,not-merged
process#v#3,,processor#n#3,,,process#v#6,,process#n#3,,,not-merged
process#v#7,,,,,process#v#2,,processor#n#2; processor#n#1; processing#n#1,,,not-merged
process#v#7,,,,,process#v#5,,process#n#1,forge#v#6,,not-merged
process#v#7,,,,,process#v#1,,process#n#1; processing#n#1,,,not-merged
process#v#7,,,,,process#v#4,,process#n#3,litigate#v#1,,not-merged
process#v#7,,,,,process#v#6,,process#n#3,,,not-merged
process#v#2,,processor#n#2; processor#n#1; processing#n#1,,,process#v#5,,process#n#1,forge#v#6,,merged
process#v#2,,processor#n#2; processor#n#1; processing#n#1,,,process#v#1,,process#n#1; processing#n#1,,,not-merged
process#v#2,,processor#n#2; processor#n#1; processing#n#1,,,process#v#4,,process#n#3,litigate#v#1,,not-merged
process#v#2,,processor#n#2; processor#n#1; processing#n#1,,,process#v#6,,process#n#3,,,not-merged
process#v#5,,process#n#1,forge#v#6,,process#v#1,,process#n#1; processing#n#1,,,not-merged
process#v#5,,process#n#1,forge#v#6,,process#v#4,,process#n#3,litigate#v#1,,not-merged
process#v#5,,process#n#1,forge#v#6,,process#v#6,,process#n#3,,,not-merged
process#v#1,,process#n#1; processing#n#1,,,process#v#4,,process#n#3,litigate#v#1,,merged
process#v#1,,process#n#1; processing#n#1,,,process#v#6,,process#n#3,,,merged
process#v#4,,process#n#3,litigate#v#1,,process#v#6,,process#n#3,,,merged
plead#v#1,,,,,plead#v#2,,,,,not-merged
plead#v#1,,,,,plead#v#3,,pleading#n#1,,,not-merged
plead#v#1,,,,,plead#v#4,,pleader#n#1; pleading#n#1,,,not-merged
plead#v#2,,,,,plead#v#3,,pleading#n#1,,,merged
plead#v#2,,,,,plead#v#4,,pleader#n#1; pleading#n#1,,,merged
plead#v#3,,pleading#n#1,,,plead#v#4,,pleader#n#1; pleading#n#1,,,merged
underwrite#v#1,,,,,underwrite#v#2,,underwriter#n#2; underwriter#n#3,cover#v#10; overcompensate#v#1,,merged
arch#n#4,,arch#v#1,,,arch#n#1,,arch#v#1,,,not-merged
arch#n#4,,arch#v#1,,,arch#n#2,,arch#v#1,,,not-merged
arch#n#4,,arch#v#1,,,arch#n#3,,arch#v#1,,,not-merged
arch#n#1,,arch#v#1,,,arch#n#2,,arch#v#1,,,not-merged
arch#n#1,,arch#v#1,,,arch#n#3,,arch#v#1,,,not-merged
arch#n#2,,arch#v#1,,,arch#n#3,,arch#v#1,,,not-merged
fix#v#1,,fix#n#3; fixture#n#4; fixer#n#3; fixing#n#1,,,fix#v#5,,,pay#v#11,,not-merged
fix#v#1,,fix#n#3; fixture#n#4; fixer#n#3; fixing#n#1,,,fix#v#9,,fixing#n#3,,,not-merged
fix#v#1,,fix#n#3; fixture#n#4; fixer#n#3; fixing#n#1,,,fix#v#2,,fixture#n#3; fixture#n#1,,,not-merged
fix#v#1,,fix#n#3; fixture#n#4; fixer#n#3; fixing#n#1,,,fix#v#8,,fixation#n#3; fixation#n#4,,,not-merged
fix#v#1,,fix#n#3; fixture#n#4; fixer#n#3; fixing#n#1,,,fix#v#10,,,,,not-merged
fix#v#1,,fix#n#3; fixture#n#4; fixer#n#3; fixing#n#1,,,fix#v#3,,,,,not-merged
fix#v#1,,fix#n#3; fixture#n#4; fixer#n#3; fixing#n#1,,,fix#v#6,,,,,not-merged
fix#v#1,,fix#n#3; fixture#n#4; fixer#n#3; fixing#n#1,,,fix#v#4,,,,,not-merged
fix#v#1,,fix#n#3; fixture#n#4; fixer#n#3; fixing#n#1,,,fix#v#7,,fixing#n#4,,,not-merged
fix#v#1,,fix#n#3; fixture#n#4; fixer#n#3; fixing#n#1,,,fix#v#11,,,,,not-merged
fix#v#5,,,pay#v#11,,fix#v#9,,fixing#n#3,,,not-merged
fix#v#5,,,pay#v#11,,fix#v#2,,fixture#n#3; fixture#n#1,,,not-merged
fix#v#5,,,pay#v#11,,fix#v#8,,fixation#n#3; fixation#n#4,,,not-merged
fix#v#5,,,pay#v#11,,fix#v#10,,,,,not-merged
fix#v#5,,,pay#v#11,,fix#v#3,,,,,not-merged
fix#v#5,,,pay#v#11,,fix#v#6,,,,,not-merged
fix#v#5,,,pay#v#11,,fix#v#4,,,,,not-merged
fix#v#5,,,pay#v#11,,fix#v#7,,fixing#n#4,,,not-merged
fix#v#5,,,pay#v#11,,fix#v#11,,,,,not-merged
fix#v#9,,fixing#n#3,,,fix#v#2,,fixture#n#3; fixture#n#1,,,not-merged
fix#v#9,,fixing#n#3,,,fix#v#8,,fixation#n#3; fixation#n#4,,,not-merged
fix#v#9,,fixing#n#3,,,fix#v#10,,,,,not-merged
fix#v#9,,fixing#n#3,,,fix#v#3,,,,,not-merged
fix#v#9,,fixing#n#3,,,fix#v#6,,,,,not-merged
fix#v#9,,fixing#n#3,,,fix#v#4,,,,,not-merged
fix#v#9,,fixing#n#3,,,fix#v#7,,fixing#n#4,,,not-merged
fix#v#9,,fixing#n#3,,,fix#v#11,,,,,not-merged
fix#v#2,,fixture#n#3; fixture#n#1,,,fix#v#8,,fixation#n#3; fixation#n#4,,,merged
fix#v#2,,fixture#n#3; fixture#n#1,,,fix#v#10,,,,,merged
fix#v#2,,fixture#n#3; fixture#n#1,,,fix#v#3,,,,,not-merged
fix#v#2,,fixture#n#3; fixture#n#1,,,fix#v#6,,,,,not-merged
fix#v#2,,fixture#n#3; fixture#n#1,,,fix#v#4,,,,,not-merged
fix#v#2,,fixture#n#3; fixture#n#1,,,fix#v#7,,fixing#n#4,,,not-merged
fix#v#2,,fixture#n#3; fixture#n#1,,,fix#v#11,,,,,not-merged
fix#v#8,,fixation#n#3; fixation#n#4,,,fix#v#10,,,,,merged
fix#v#8,,fixation#n#3; fixation#n#4,,,fix#v#3,,,,,not-merged
fix#v#8,,fixation#n#3; fixation#n#4,,,fix#v#6,,,,,not-merged
fix#v#8,,fixation#n#3; fixation#n#4,,,fix#v#4,,,,,not-merged
fix#v#8,,fixation#n#3; fixation#n#4,,,fix#v#7,,fixing#n#4,,,not-merged
fix#v#8,,fixation#n#3; fixation#n#4,,,fix#v#11,,,,,not-merged
fix#v#10,,,,,fix#v#3,,,,,not-merged
fix#v#10,,,,,fix#v#6,,,,,not-merged
fix#v#10,,,,,fix#v#4,,,,,not-merged
fix#v#10,,,,,fix#v#7,,fixing#n#4,,,not-merged
fix#v#10,,,,,fix#v#11,,,,,not-merged
fix#v#3,,,,,fix#v#6,,,,,merged
fix#v#3,,,,,fix#v#4,,,,,not-merged
fix#v#3,,,,,fix#v#7,,fixing#n#4,,,not-merged
fix#v#3,,,,,fix#v#11,,,,,not-merged
fix#v#6,,,,,fix#v#4,,,,,not-merged
fix#v#6,,,,,fix#v#7,,fixing#n#4,,,not-merged
fix#v#6,,,,,fix#v#11,,,,,not-merged
fix#v#4,,,,,fix#v#7,,fixing#n#4,,,merged
fix#v#4,,,,,fix#v#11,,,,,merged
fix#v#7,,fixing#n#4,,,fix#v#11,,,,,merged
surge#v#2,,surge#n#2,,,surge#v#4,,surge#n#3,,,not-merged
surge#v#2,,surge#n#2,,,surge#v#1,,surge#n#1,,,not-merged
surge#v#2,,surge#n#2,,,surge#v#3,,surge#n#3; surge#n#1,,,not-merged
surge#v#2,,surge#n#2,,,surge#v#5,,surge#n#2,,,not-merged
surge#v#4,,surge#n#3,,,surge#v#1,,surge#n#1,,,not-merged
surge#v#4,,surge#n#3,,,surge#v#3,,surge#n#3; surge#n#1,,,not-merged
surge#v#4,,surge#n#3,,,surge#v#5,,surge#n#2,,,not-merged
surge#v#1,,surge#n#1,,,surge#v#3,,surge#n#3; surge#n#1,,,merged
surge#v#1,,surge#n#1,,,surge#v#5,,surge#n#2,,,merged
surge#v#3,,surge#n#3; surge#n#1,,,surge#v#5,,surge#n#2,,,merged
turf#n#1,,,,,turf#n#2,,,,,not-merged
turf#n#1,,,,,turf#n#3,,,,,not-merged
turf#n#2,,,,,turf#n#3,,,,,merged
volatility#n#2,,volatile#a#4,,,volatility#n#1,,volatile#a#1,,,not-merged
volatility#n#2,,volatile#a#4,,,volatility#n#3,,volatile#a#2,,,not-merged
volatility#n#1,,volatile#a#1,,,volatility#n#3,,volatile#a#2,,,not-merged
feel#v#2,,feel#n#1; feeling#n#2,find#v#11,,feel#v#1,,feelings#n#1; feeling#n#1,,,not-merged
feel#v#2,,feel#n#1; feeling#n#2,find#v#11,,feel#v#3,,feel#n#3; feeling#n#4,,,not-merged
feel#v#2,,feel#n#1; feeling#n#2,find#v#11,,feel#v#4,,,,,not-merged
feel#v#2,,feel#n#1; feeling#n#2,find#v#11,,feel#v#5,,feelings#n#1,,,not-merged
feel#v#2,,feel#n#1; feeling#n#2,find#v#11,,feel#v#6,,feeling#n#3,,,not-merged
feel#v#2,,feel#n#1; feeling#n#2,find#v#11,,feel#v#7,,feel#n#2,sense#v#1,,not-merged
feel#v#2,,feel#n#1; feeling#n#2,find#v#11,,feel#v#12,,feel#n#2,,,not-merged
feel#v#2,,feel#n#1; feeling#n#2,find#v#11,,feel#v#8,,feel#n#3,finger#v#2; feel#v#10; feel#v#13,,not-merged
feel#v#2,,feel#n#1; feeling#n#2,find#v#11,,feel#v#9,,feeler#n#4; feeler#n#1; feel#n#3; feeling#n#5,,,not-merged
feel#v#2,,feel#n#1; feeling#n#2,find#v#11,,feel#v#10,,feel#n#3,feel#v#8,,not-merged
feel#v#2,,feel#n#1; feeling#n#2,find#v#11,,feel#v#11,,feeler#n#4; feeler#n#1,,,not-merged
feel#v#2,,feel#n#1; feeling#n#2,find#v#11,,feel#v#13,,feel#n#4,feel#v#8,,not-merged
feel#v#1,,feelings#n#1; feeling#n#1,,,feel#v#3,,feel#n#3; feeling#n#4,,,merged
feel#v#1,,feelings#n#1; feeling#n#1,,,feel#v#4,,,,,merged
feel#v#1,,feelings#n#1; feeling#n#1,,,feel#v#5,,feelings#n#1,,,merged
feel#v#1,,feelings#n#1; feeling#n#1,,,feel#v#6,,feeling#n#3,,,merged
feel#v#1,,feelings#n#1; feeling#n#1,,,feel#v#7,,feel#n#2,sense#v#1,,merged
feel#v#1,,feelings#n#1; feeling#n#1,,,feel#v#12,,feel#n#2,,,merged
feel#v#1,,feelings#n#1; feeling#n#1,,,feel#v#8,,feel#n#3,finger#v#2; feel#v#10; feel#v#13,,not-merged
feel#v#1,,feelings#n#1; feeling#n#1,,,feel#v#9,,feeler#n#4; feeler#n#1; feel#n#3; feeling#n#5,,,not-merged
feel#v#1,,feelings#n#1; feeling#n#1,,,feel#v#10,,feel#n#3,feel#v#8,,not-merged
feel#v#1,,feelings#n#1; feeling#n#1,,,feel#v#11,,feeler#n#4; feeler#n#1,,,not-merged
feel#v#1,,feelings#n#1; feeling#n#1,,,feel#v#13,,feel#n#4,feel#v#8,,not-merged
feel#v#3,,feel#n#3; feeling#n#4,,,feel#v#4,,,,,merged
feel#v#3,,feel#n#3; feeling#n#4,,,feel#v#5,,feelings#n#1,,,merged
feel#v#3,,feel#n#3; feeling#n#4,,,feel#v#6,,feeling#n#3,,,merged
feel#v#3,,feel#n#3; feeling#n#4,,,feel#v#7,,feel#n#2,sense#v#1,,merged
feel#v#3,,feel#n#3; feeling#n#4,,,feel#v#12,,feel#n#2,,,merged
feel#v#3,,feel#n#3; feeling#n#4,,,feel#v#8,,feel#n#3,finger#v#2; feel#v#10; feel#v#13,,not-merged
feel#v#3,,feel#n#3; feeling#n#4,,,feel#v#9,,feeler#n#4; feeler#n#1; feel#n#3; feeling#n#5,,,not-merged
feel#v#3,,feel#n#3; feeling#n#4,,,feel#v#10,,feel#n#3,feel#v#8,,not-merged
feel#v#3,,feel#n#3; feeling#n#4,,,feel#v#11,,feeler#n#4; feeler#n#1,,,not-merged
feel#v#3,,feel#n#3; feeling#n#4,,,feel#v#13,,feel#n#4,feel#v#8,,not-merged
feel#v#4,,,,,feel#v#5,,feelings#n#1,,,merged
feel#v#4,,,,,feel#v#6,,feeling#n#3,,,merged
feel#v#4,,,,,feel#v#7,,feel#n#2,sense#v#1,,merged
feel#v#4,,,,,feel#v#12,,feel#n#2,,,merged
feel#v#4,,,,,feel#v#8,,feel#n#3,finger#v#2; feel#v#10; feel#v#13,,not-merged
feel#v#4,,,,,feel#v#9,,feeler#n#4; feeler#n#1; feel#n#3; feeling#n#5,,,not-merged
feel#v#4,,,,,feel#v#10,,feel#n#3,feel#v#8,,not-merged
feel#v#4,,,,,feel#v#11,,feeler#n#4; feeler#n#1,,,not-merged
feel#v#4,,,,,feel#v#13,,feel#n#4,feel#v#8,,not-merged
feel#v#5,,feelings#n#1,,,feel#v#6,,feeling#n#3,,,merged
feel#v#5,,feelings#n#1,,,feel#v#7,,feel#n#2,sense#v#1,,merged
feel#v#5,,feelings#n#1,,,feel#v#12,,feel#n#2,,,merged
feel#v#5,,feelings#n#1,,,feel#v#8,,feel#n#3,finger#v#2; feel#v#10; feel#v#13,,not-merged
feel#v#5,,feelings#n#1,,,feel#v#9,,feeler#n#4; feeler#n#1; feel#n#3; feeling#n#5,,,not-merged
feel#v#5,,feelings#n#1,,,feel#v#10,,feel#n#3,feel#v#8,,not-merged
feel#v#5,,feelings#n#1,,,feel#v#11,,feeler#n#4; feeler#n#1,,,not-merged
feel#v#5,,feelings#n#1,,,feel#v#13,,feel#n#4,feel#v#8,,not-merged
feel#v#6,,feeling#n#3,,,feel#v#7,,feel#n#2,sense#v#1,,merged
feel#v#6,,feeling#n#3,,,feel#v#12,,feel#n#2,,,merged
feel#v#6,,feeling#n#3,,,feel#v#8,,feel#n#3,finger#v#2; feel#v#10; feel#v#13,,not-merged
feel#v#6,,feeling#n#3,,,feel#v#9,,feeler#n#4; feeler#n#1; feel#n#3; feeling#n#5,,,not-merged
feel#v#6,,feeling#n#3,,,feel#v#10,,feel#n#3,feel#v#8,,not-merged
feel#v#6,,feeling#n#3,,,feel#v#11,,feeler#n#4; feeler#n#1,,,not-merged
feel#v#6,,feeling#n#3,,,feel#v#13,,feel#n#4,feel#v#8,,not-merged
feel#v#7,,feel#n#2,sense#v#1,,feel#v#12,,feel#n#2,,,merged
feel#v#7,,feel#n#2,sense#v#1,,feel#v#8,,feel#n#3,finger#v#2; feel#v#10; feel#v#13,,not-merged
feel#v#7,,feel#n#2,sense#v#1,,feel#v#9,,feeler#n#4; feeler#n#1; feel#n#3; feeling#n#5,,,not-merged
feel#v#7,,feel#n#2,sense#v#1,,feel#v#10,,feel#n#3,feel#v#8,,not-merged
feel#v#7,,feel#n#2,sense#v#1,,feel#v#11,,feeler#n#4; feeler#n#1,,,not-merged
feel#v#7,,feel#n#2,sense#v#1,,feel#v#13,,feel#n#4,feel#v#8,,not-merged
feel#v#12,,feel#n#2,,,feel#v#8,,feel#n#3,finger#v#2; feel#v#10; feel#v#13,,not-merged
feel#v#12,,feel#n#2,,,feel#v#9,,feeler#n#4; feeler#n#1; feel#n#3; feeling#n#5,,,not-merged
feel#v#12,,feel#n#2,,,feel#v#10,,feel#n#3,feel#v#8,,not-merged
feel#v#12,,feel#n#2,,,feel#v#11,,feeler#n#4; feeler#n#1,,,not-merged
feel#v#12,,feel#n#2,,,feel#v#13,,feel#n#4,feel#v#8,,not-merged
feel#v#8,,feel#n#3,finger#v#2; feel#v#10; feel#v#13,,feel#v#9,,feeler#n#4; feeler#n#1; feel#n#3; feeling#n#5,,,merged
feel#v#8,,feel#n#3,finger#v#2; feel#v#10; feel#v#13,,feel#v#10,,feel#n#3,feel#v#8,,merged
feel#v#8,,feel#n#3,finger#v#2; feel#v#10; feel#v#13,,feel#v#11,,feeler#n#4; feeler#n#1,,,merged
feel#v#8,,feel#n#3,finger#v#2; feel#v#10; feel#v#13,,feel#v#13,,feel#n#4,feel#v#8,,merged
feel#v#9,,feeler#n#4; feeler#n#1; feel#n#3; feeling#n#5,,,feel#v#10,,feel#n#3,feel#v#8,,merged
feel#v#9,,feeler#n#4; feeler#n#1; feel#n#3; feeling#n#5,,,feel#v#11,,feeler#n#4; feeler#n#1,,,merged
feel#v#9,,feeler#n#4; feeler#n#1; feel#n#3; feeling#n#5,,,feel#v#13,,feel#n#4,feel#v#8,,merged
feel#v#10,,feel#n#3,feel#v#8,,feel#v#11,,feeler#n#4; feeler#n#1,,,merged
feel#v#10,,feel#n#3,feel#v#8,,feel#v#13,,feel#n#4,feel#v#8,,merged
feel#v#11,,feeler#n#4; feeler#n#1,,,feel#v#13,,feel#n#4,feel#v#8,,merged
maintain#v#3,,maintenance#n#2; maintenance#n#4,,,maintain#v#1,,maintainable#a#1; maintainer#n#1,,,not-merged
maintain#v#3,,maintenance#n#2; maintenance#n#4,,,maintain#v#2,,maintenance#n#1,,,not-merged
maintain#v#3,,maintenance#n#2; maintenance#n#4,,,maintain#v#5,,,,,not-merged
maintain#v#3,,maintenance#n#2; maintenance#n#4,,,maintain#v#6,,,,,not-merged
maintain#v#3,,maintenance#n#2; maintenance#n#4,,,maintain#v#9,,,,,not-merged
maintain#v#3,,maintenance#n#2; maintenance#n#4,,,maintain#v#4,,,,,not-merged
maintain#v#3,,maintenance#n#2; maintenance#n#4,,,maintain#v#8,,,,,not-merged
maintain#v#3,,maintenance#n#2; maintenance#n#4,,,maintain#v#7,,,,,not-merged
maintain#v#3,,maintenance#n#2; maintenance#n#4,,,maintain#v#10,,,,,not-merged
maintain#v#1,,maintainable#a#1; maintainer#n#1,,,maintain#v#2,,maintenance#n#1,,,merged
maintain#v#1,,maintainable#a#1; maintainer#n#1,,,maintain#v#5,,,,,merged
maintain#v#1,,maintainable#a#1; maintainer#n#1,,,maintain#v#6,,,,,merged
maintain#v#1,,maintainable#a#1; maintainer#n#1,,,maintain#v#9,,,,,merged
maintain#v#1,,maintainable#a#1; maintainer#n#1,,,maintain#v#4,,,,,not-merged
maintain#v#1,,maintainable#a#1; maintainer#n#1,,,maintain#v#8,,,,,not-merged
maintain#v#1,,maintainable#a#1; maintainer#n#1,,,maintain#v#7,,,,,not-merged
maintain#v#1,,maintainable#a#1; maintainer#n#1,,,maintain#v#10,,,,,not-merged
maintain#v#2,,maintenance#n#1,,,maintain#v#5,,,,,merged
maintain#v#2,,maintenance#n#1,,,maintain#v#6,,,,,merged
maintain#v#2,,maintenance#n#1,,,maintain#v#9,,,,,merged
maintain#v#2,,maintenance#n#1,,,maintain#v#4,,,,,not-merged
maintain#v#2,,maintenance#n#1,,,maintain#v#8,,,,,not-merged
maintain#v#2,,maintenance#n#1,,,maintain#v#7,,,,,not-merged
maintain#v#2,,maintenance#n#1,,,maintain#v#10,,,,,not-merged
maintain#v#5,,,,,maintain#v#6,,,,,merged
maintain#v#5,,,,,maintain#v#9,,,,,merged
maintain#v#5,,,,,maintain#v#4,,,,,not-merged
maintain#v#5,,,,,maintain#v#8,,,,,not-merged
maintain#v#5,,,,,maintain#v#7,,,,,not-merged
maintain#v#5,,,,,maintain#v#10,,,,,not-merged
maintain#v#6,,,,,maintain#v#9,,,,,merged
maintain#v#6,,,,,maintain#v#4,,,,,not-merged
maintain#v#6,,,,,maintain#v#8,,,,,not-merged
maintain#v#6,,,,,maintain#v#7,,,,,not-merged
maintain#v#6,,,,,maintain#v#10,,,,,not-merged
maintain#v#9,,,,,maintain#v#4,,,,,not-merged
maintain#v#9,,,,,maintain#v#8,,,,,not-merged
maintain#v#9,,,,,maintain#v#7,,,,,not-merged
maintain#v#9,,,,,maintain#v#10,,,,,not-merged
maintain#v#4,,,,,maintain#v#8,,,,,merged
maintain#v#4,,,,,maintain#v#7,,,,,not-merged
maintain#v#4,,,,,maintain#v#10,,,,,not-merged
maintain#v#8,,,,,maintain#v#7,,,,,not-merged
maintain#v#8,,,,,maintain#v#10,,,,,not-merged
maintain#v#7,,,,,maintain#v#10,,,,,merged
govern#v#1,,government#n#2; governor#n#2,,,govern#v#3,,government#n#1; governor#n#1; governing#n#1; governance#n#2,,,merged
govern#v#1,,government#n#2; governor#n#2,,,govern#v#2,,government#n#3,,,not-merged
govern#v#1,,government#n#2; governor#n#2,,,govern#v#4,,,,,not-merged
govern#v#3,,government#n#1; governor#n#1; governing#n#1; governance#n#2,,,govern#v#2,,government#n#3,,,not-merged
govern#v#3,,government#n#1; governor#n#1; governing#n#1; governance#n#2,,,govern#v#4,,,,,not-merged
govern#v#2,,government#n#3,,,govern#v#4,,,,,merged
disaster#n#1,,,,,disaster#n#2,,disastrous#a#1,,,not-merged
disaster#n#1,,,,,disaster#n#3,,,,,not-merged
disaster#n#2,,disastrous#a#1,,,disaster#n#3,,,,,merged
decide#v#2,,decisive#a#3; deciding#n#1,,,decide#v#4,,decisive#a#1,,,not-merged
decide#v#2,,decisive#a#3; deciding#n#1,,,decide#v#1,,decisive#a#3; decision#n#2; deciding#n#1,,,not-merged
decide#v#2,,decisive#a#3; deciding#n#1,,,decide#v#3,,,,,not-merged
decide#v#4,,decisive#a#1,,,decide#v#1,,decisive#a#3; decision#n#2; deciding#n#1,,,not-merged
decide#v#4,,decisive#a#1,,,decide#v#3,,,,,not-merged
decide#v#1,,decisive#a#3; decision#n#2; deciding#n#1,,,decide#v#3,,,,,merged
border#n#1,,border#v#2; border#v#1; border#v#5,,,border#n#2,,border#v#2,,,merged
border#n#1,,border#v#2; border#v#1; border#v#5,,,border#n#3,,border#v#2; border#v#1; border#v#5,,,merged
