pos,sense1_wn21,sense2_wn21,sense1_wn16,sense2_wn16,sense1_wn21_def,sense1_wn16_def,sense2_wn21_def,sense2_wn16_def
n,vehicle.n.3,vehicle.n.4,,,a substance that facilitates the use of a drug or pigment or other material that is mixed with it,a medium for the expression or achievement of something,any inanimate object (as a towel or money or clothing or dishes or books or toys etc.) that can transmit infectious agents from one person to another,a medium for the expression or achievement of something
n,thrift.n.2,thrift.n.1,parsimony.n.1,thrift.n.1,extreme care in spending money; reluctance to spend money unnecessarily,extreme care in spending money; reluctance to spend money unnecessarily,any of numerous sun-loving low-growing evergreens of the genus Armeria having round heads of pink or white flowers,any of numerous sun-loving low-growing evergreens of the genus Armeria having round heads of pink or white flowers
n,junk.n.1,junk.n.2,debris.n.1,,the remains of something that has been destroyed or broken up,the remains of something that has been destroyed or broken up,any of various Chinese boats with a high poop and lugsails,any of numerous sun-loving low-growing evergreens of the genus Armeria having round heads of pink or white flowers
n,list.n.1,list.n.2,list.n.1,tilt.n.4,a database containing an ordered array of items (names or topics),a database containing an ordered array of items (names or topics),the property possessed by a line or surface that departs from the vertical,the property possessed by a line or surface that departs from the vertical
n,mark.n.1,mark.n.10,mark.n.1,mark.n.9,a number or letter indicating quality (especially of a student's performance),a number or letter indicating quality (especially of a student's performance),a written or printed symbol (as for punctuation),a written or printed symbol (as for punctuation)
n,mark.n.1,mark.n.7,mark.n.1,mark.n.7,a number or letter indicating quality (especially of a student's performance),a number or letter indicating quality (especially of a student's performance),formerly the basic unit of money in Germany,the basic unit of money in Germany
n,mark.n.1,mark.n.13,mark.n.1,scratch.n.6,a number or letter indicating quality (especially of a student's performance),a number or letter indicating quality (especially of a student's performance),an indication of damage,an indication of damage
n,mark.n.1,mark.n.12,mark.n.1,mark.n.11,a number or letter indicating quality (especially of a student's performance),a number or letter indicating quality (especially of a student's performance),the shortest of the four Gospels in the New Testament,the shortest of the four Gospels in the New Testament
n,mark.n.1,mark.n.8,mark.n.1,,a number or letter indicating quality (especially of a student's performance),a number or letter indicating quality (especially of a student's performance),Apostle and companion of Saint Peter; assumed to be the author of the second Gospel,the shortest of the four Gospels in the New Testament
n,mark.n.1,mark.n.2,mark.n.1,marker.n.2,a number or letter indicating quality (especially of a student's performance),a number or letter indicating quality (especially of a student's performance),a distinguishing symbol,a distinguishing symbol
n,mark.n.1,mark.n.4,mark.n.1,,a number or letter indicating quality (especially of a student's performance),a number or letter indicating quality (especially of a student's performance),a visible indication made on a surface,a visible indication made on a surface
n,mark.n.1,mark.n.5,mark.n.1,mark.n.5,a number or letter indicating quality (especially of a student's performance),a number or letter indicating quality (especially of a student's performance),the impression created by doing something unusual or extraordinary that people notice and remember,the impression created by doing something unusual or extraordinary that people notice and remember
n,mark.n.1,mark.n.6,mark.n.1,mark.n.6,a number or letter indicating quality (especially of a student's performance),a number or letter indicating quality (especially of a student's performance),a symbol of disgrace or infamy; --Genesis,a symbol of disgrace or infamy; --Genesis
n,mark.n.1,mark.n.11,mark.n.1,sign.n.1,a number or letter indicating quality (especially of a student's performance),a number or letter indicating quality (especially of a student's performance),a perceptible indication of something not immediately apparent (as a visible clue that something has happened),a perceptible indication of something not immediately apparent (as a visible clue that something has happened)
n,mark.n.1,mark.n.14,mark.n.1,crisscross.n.1,a number or letter indicating quality (especially of a student's performance),a number or letter indicating quality (especially of a student's performance),a marking that consists of lines that cross each other,marking consisting of crossing lines
n,mark.n.1,mark.n.3,mark.n.1,target.n.1,a number or letter indicating quality (especially of a student's performance),a number or letter indicating quality (especially of a student's performance),a reference point to shoot at,a reference point to shoot at
n,mark.n.1,mark.n.9,mark.n.1,chump.n.1,a number or letter indicating quality (especially of a student's performance),a number or letter indicating quality (especially of a student's performance),a person who is gullible and easy to take advantage of,a person who is gullible and easy to take advantage of
n,mark.n.1,mark.n.15,mark.n.1,,a number or letter indicating quality (especially of a student's performance),a number or letter indicating quality (especially of a student's performance),something that exactly succeeds in achieving its goal,something that exactly succeeds in achieving its goal
n,mark.n.10,mark.n.7,mark.n.9,mark.n.7,a written or printed symbol (as for punctuation),a written or printed symbol (as for punctuation),formerly the basic unit of money in Germany,the basic unit of money in Germany
n,mark.n.10,mark.n.13,mark.n.9,scratch.n.6,a written or printed symbol (as for punctuation),a written or printed symbol (as for punctuation),an indication of damage,an indication of damage
n,mark.n.10,mark.n.12,mark.n.9,mark.n.11,a written or printed symbol (as for punctuation),a written or printed symbol (as for punctuation),the shortest of the four Gospels in the New Testament,the shortest of the four Gospels in the New Testament
n,mark.n.10,mark.n.8,mark.n.9,,a written or printed symbol (as for punctuation),a written or printed symbol (as for punctuation),Apostle and companion of Saint Peter; assumed to be the author of the second Gospel,the shortest of the four Gospels in the New Testament
n,mark.n.10,mark.n.2,mark.n.9,marker.n.2,a written or printed symbol (as for punctuation),a written or printed symbol (as for punctuation),a distinguishing symbol,a distinguishing symbol
n,mark.n.10,mark.n.4,mark.n.9,,a written or printed symbol (as for punctuation),a written or printed symbol (as for punctuation),a visible indication made on a surface,a visible indication made on a surface
n,mark.n.10,mark.n.5,mark.n.9,mark.n.5,a written or printed symbol (as for punctuation),a written or printed symbol (as for punctuation),the impression created by doing something unusual or extraordinary that people notice and remember,the impression created by doing something unusual or extraordinary that people notice and remember
n,mark.n.10,mark.n.6,mark.n.9,mark.n.6,a written or printed symbol (as for punctuation),a written or printed symbol (as for punctuation),a symbol of disgrace or infamy; --Genesis,a symbol of disgrace or infamy; --Genesis
n,mark.n.10,mark.n.11,mark.n.9,sign.n.1,a written or printed symbol (as for punctuation),a written or printed symbol (as for punctuation),a perceptible indication of something not immediately apparent (as a visible clue that something has happened),a perceptible indication of something not immediately apparent (as a visible clue that something has happened)
n,mark.n.10,mark.n.14,mark.n.9,crisscross.n.1,a written or printed symbol (as for punctuation),a written or printed symbol (as for punctuation),a marking that consists of lines that cross each other,marking consisting of crossing lines
n,mark.n.10,mark.n.3,mark.n.9,target.n.1,a written or printed symbol (as for punctuation),a written or printed symbol (as for punctuation),a reference point to shoot at,a reference point to shoot at
n,mark.n.10,mark.n.9,mark.n.9,chump.n.1,a written or printed symbol (as for punctuation),a written or printed symbol (as for punctuation),a person who is gullible and easy to take advantage of,a person who is gullible and easy to take advantage of
n,mark.n.10,mark.n.15,mark.n.9,,a written or printed symbol (as for punctuation),a written or printed symbol (as for punctuation),something that exactly succeeds in achieving its goal,something that exactly succeeds in achieving its goal
n,mark.n.7,mark.n.13,mark.n.7,scratch.n.6,formerly the basic unit of money in Germany,the basic unit of money in Germany,an indication of damage,an indication of damage
n,mark.n.7,mark.n.12,mark.n.7,mark.n.11,formerly the basic unit of money in Germany,the basic unit of money in Germany,the shortest of the four Gospels in the New Testament,the shortest of the four Gospels in the New Testament
n,mark.n.7,mark.n.8,mark.n.7,,formerly the basic unit of money in Germany,the basic unit of money in Germany,Apostle and companion of Saint Peter; assumed to be the author of the second Gospel,the shortest of the four Gospels in the New Testament
n,mark.n.7,mark.n.2,mark.n.7,marker.n.2,formerly the basic unit of money in Germany,the basic unit of money in Germany,a distinguishing symbol,a distinguishing symbol
n,mark.n.7,mark.n.4,mark.n.7,,formerly the basic unit of money in Germany,the basic unit of money in Germany,a visible indication made on a surface,a visible indication made on a surface
n,mark.n.7,mark.n.5,mark.n.7,mark.n.5,formerly the basic unit of money in Germany,the basic unit of money in Germany,the impression created by doing something unusual or extraordinary that people notice and remember,the impression created by doing something unusual or extraordinary that people notice and remember
n,mark.n.7,mark.n.6,mark.n.7,mark.n.6,formerly the basic unit of money in Germany,the basic unit of money in Germany,a symbol of disgrace or infamy; --Genesis,a symbol of disgrace or infamy; --Genesis
n,mark.n.7,mark.n.11,mark.n.7,sign.n.1,formerly the basic unit of money in Germany,the basic unit of money in Germany,a perceptible indication of something not immediately apparent (as a visible clue that something has happened),a perceptible indication of something not immediately apparent (as a visible clue that something has happened)
n,mark.n.7,mark.n.14,mark.n.7,crisscross.n.1,formerly the basic unit of money in Germany,the basic unit of money in Germany,a marking that consists of lines that cross each other,marking consisting of crossing lines
n,mark.n.7,mark.n.3,mark.n.7,target.n.1,formerly the basic unit of money in Germany,the basic unit of money in Germany,a reference point to shoot at,a reference point to shoot at
n,mark.n.7,mark.n.9,mark.n.7,chump.n.1,formerly the basic unit of money in Germany,the basic unit of money in Germany,a person who is gullible and easy to take advantage of,a person who is gullible and easy to take advantage of
n,mark.n.7,mark.n.15,mark.n.7,,formerly the basic unit of money in Germany,the basic unit of money in Germany,something that exactly succeeds in achieving its goal,something that exactly succeeds in achieving its goal
n,mark.n.13,mark.n.12,scratch.n.6,mark.n.11,an indication of damage,an indication of damage,the shortest of the four Gospels in the New Testament,the shortest of the four Gospels in the New Testament
n,mark.n.13,mark.n.8,scratch.n.6,,an indication of damage,an indication of damage,Apostle and companion of Saint Peter; assumed to be the author of the second Gospel,the shortest of the four Gospels in the New Testament
n,mark.n.13,mark.n.2,scratch.n.6,marker.n.2,an indication of damage,an indication of damage,a distinguishing symbol,a distinguishing symbol
n,mark.n.13,mark.n.4,scratch.n.6,,an indication of damage,an indication of damage,a visible indication made on a surface,a visible indication made on a surface
n,mark.n.13,mark.n.5,scratch.n.6,mark.n.5,an indication of damage,an indication of damage,the impression created by doing something unusual or extraordinary that people notice and remember,the impression created by doing something unusual or extraordinary that people notice and remember
n,mark.n.13,mark.n.6,scratch.n.6,mark.n.6,an indication of damage,an indication of damage,a symbol of disgrace or infamy; --Genesis,a symbol of disgrace or infamy; --Genesis
n,mark.n.13,mark.n.11,scratch.n.6,sign.n.1,an indication of damage,an indication of damage,a perceptible indication of something not immediately apparent (as a visible clue that something has happened),a perceptible indication of something not immediately apparent (as a visible clue that something has happened)
n,mark.n.13,mark.n.14,scratch.n.6,crisscross.n.1,an indication of damage,an indication of damage,a marking that consists of lines that cross each other,marking consisting of crossing lines
n,mark.n.13,mark.n.3,scratch.n.6,target.n.1,an indication of damage,an indication of damage,a reference point to shoot at,a reference point to shoot at
n,mark.n.13,mark.n.9,scratch.n.6,chump.n.1,an indication of damage,an indication of damage,a person who is gullible and easy to take advantage of,a person who is gullible and easy to take advantage of
n,mark.n.13,mark.n.15,scratch.n.6,,an indication of damage,an indication of damage,something that exactly succeeds in achieving its goal,something that exactly succeeds in achieving its goal
n,mark.n.12,mark.n.8,mark.n.11,,the shortest of the four Gospels in the New Testament,the shortest of the four Gospels in the New Testament,Apostle and companion of Saint Peter; assumed to be the author of the second Gospel,something that exactly succeeds in achieving its goal
n,mark.n.12,mark.n.2,mark.n.11,marker.n.2,the shortest of the four Gospels in the New Testament,the shortest of the four Gospels in the New Testament,a distinguishing symbol,a distinguishing symbol
n,mark.n.12,mark.n.4,mark.n.11,,the shortest of the four Gospels in the New Testament,the shortest of the four Gospels in the New Testament,a visible indication made on a surface,a visible indication made on a surface
n,mark.n.12,mark.n.5,mark.n.11,mark.n.5,the shortest of the four Gospels in the New Testament,the shortest of the four Gospels in the New Testament,the impression created by doing something unusual or extraordinary that people notice and remember,the impression created by doing something unusual or extraordinary that people notice and remember
n,mark.n.12,mark.n.6,mark.n.11,mark.n.6,the shortest of the four Gospels in the New Testament,the shortest of the four Gospels in the New Testament,a symbol of disgrace or infamy; --Genesis,a symbol of disgrace or infamy; --Genesis
n,mark.n.12,mark.n.11,mark.n.11,sign.n.1,the shortest of the four Gospels in the New Testament,the shortest of the four Gospels in the New Testament,a perceptible indication of something not immediately apparent (as a visible clue that something has happened),a perceptible indication of something not immediately apparent (as a visible clue that something has happened)
n,mark.n.12,mark.n.14,mark.n.11,crisscross.n.1,the shortest of the four Gospels in the New Testament,the shortest of the four Gospels in the New Testament,a marking that consists of lines that cross each other,marking consisting of crossing lines
n,mark.n.12,mark.n.3,mark.n.11,target.n.1,the shortest of the four Gospels in the New Testament,the shortest of the four Gospels in the New Testament,a reference point to shoot at,a reference point to shoot at
n,mark.n.12,mark.n.9,mark.n.11,chump.n.1,the shortest of the four Gospels in the New Testament,the shortest of the four Gospels in the New Testament,a person who is gullible and easy to take advantage of,a person who is gullible and easy to take advantage of
n,mark.n.12,mark.n.15,mark.n.11,,the shortest of the four Gospels in the New Testament,the shortest of the four Gospels in the New Testament,something that exactly succeeds in achieving its goal,something that exactly succeeds in achieving its goal
n,mark.n.8,mark.n.2,,marker.n.2,Apostle and companion of Saint Peter; assumed to be the author of the second Gospel,the shortest of the four Gospels in the New Testament,a distinguishing symbol,a distinguishing symbol
n,mark.n.8,mark.n.4,,,Apostle and companion of Saint Peter; assumed to be the author of the second Gospel,the shortest of the four Gospels in the New Testament,a visible indication made on a surface,a visible indication made on a surface
n,mark.n.8,mark.n.5,,mark.n.5,Apostle and companion of Saint Peter; assumed to be the author of the second Gospel,the shortest of the four Gospels in the New Testament,the impression created by doing something unusual or extraordinary that people notice and remember,the impression created by doing something unusual or extraordinary that people notice and remember
n,mark.n.8,mark.n.6,,mark.n.6,Apostle and companion of Saint Peter; assumed to be the author of the second Gospel,the shortest of the four Gospels in the New Testament,a symbol of disgrace or infamy; --Genesis,a symbol of disgrace or infamy; --Genesis
n,mark.n.8,mark.n.11,,sign.n.1,Apostle and companion of Saint Peter; assumed to be the author of the second Gospel,the shortest of the four Gospels in the New Testament,a perceptible indication of something not immediately apparent (as a visible clue that something has happened),a perceptible indication of something not immediately apparent (as a visible clue that something has happened)
n,mark.n.8,mark.n.14,,crisscross.n.1,Apostle and companion of Saint Peter; assumed to be the author of the second Gospel,the shortest of the four Gospels in the New Testament,a marking that consists of lines that cross each other,marking consisting of crossing lines
