SenseKeys,Group,Pos,Synset,WordPos
carry%2:41:01::,64,v,behave#v#02,behave-v
carry%2:35:01::,64,v,hold#v#19,hold-v
carry%2:30:05::,65,v,carry#v#09,carry-v
carry%2:41:00::,65,v,carry#v#08,carry-v
carry%2:42:13::,66,v,carry#v#18,carry-v
carry%2:42:02::,66,v,carry#v#10,carry-v
carry%2:40:10::,66,v,carry#v#25,carry-v
carry%2:41:02::,67,v,carry#v#22,carry-v
carry%2:33:01::,67,v,carry#v#11,carry-v
carry%2:33:02::,67,v,carry#v#36,carry-v
carry%2:40:04::,67,v,carry#v#26,carry-v
carry%2:33:12::,67,v,carry#v#37,carry-v
carry%2:40:00::,68,v,stock#v#01,stock-v
carry%2:31:12::,68,v,carry#v#12,carry-v
carry%2:36:00::,68,v,carry#v#15,carry-v
carry%2:33:04::,69,v,carry#v#34,carry-v
carry%2:42:15::,69,v,carry#v#19,carry-v
carry%2:33:03::,69,v,carry#v#35,carry-v
carry%2:38:10::,70,v,carry#v#28,carry-v
carry%2:40:13::,70,v,post#v#07,post-v
carry%2:34:01::,71,v,carry#v#33,carry-v
carry%2:36:08::,71,v,carry#v#30,carry-v
carry%2:41:12::,72,v,carry#v#24,carry-v
carry%2:38:07::,73,v,carry#v#29,carry-v
carry%2:34:00::,74,v,carry#v#32,carry-v
carry%2:32:00::,75,v,carry#v#38,carry-v
chair%1:06:01::,76,n,electric_chair#n#01,electric_chair-n
chair%1:06:00::,76,n,chair#n#01,chair-n
chair%1:18:00::,77,n,president#n#04,president-n
chair%1:04:00::,77,n,professorship#n#01,professorship-n
channel%1:06:02::,78,n,channel#n#07,channel-n
channel%1:10:00::,78,n,channel#n#01,channel-n
channel%1:17:00::,79,n,channel#n#04,channel-n
channel%1:06:00::,79,n,conduit#n#01,conduit-n
channel%1:08:00::,79,n,duct#n#01,duct-n
channel%1:25:00::,80,n,groove#n#01,groove-n
channel%1:10:01::,81,n,channel#n#05,channel-n
child%1:18:06::,82,n,child#n#03,child-n
child%1:18:00::,82,n,child#n#01,child-n
child%1:18:07::,83,n,child#n#04,child-n
child%1:18:01::,83,n,child#n#02,child-n
church%1:14:00::,84,n,church#n#01,church-n
church%1:06:00::,85,n,church#n#02,church-n
church%1:04:00::,86,n,church_service#n#01,church_service-n
circuit%1:15:00::,87,n,circuit#n#03,circuit-n
circuit%1:04:00::,87,n,tour#n#01,tour-n
circuit%1:04:01::,88,n,lap#n#05,lap-n
circuit%1:06:01::,88,n,racing_circuit#n#01,racing_circuit-n
circuit%1:06:00::,89,n,circuit#n#01,circuit-n
circuit%1:14:00::,90,n,circuit#n#04,circuit-n
county%1:15:00::,91,n,county#n#01,county-n
day%1:28:07::,92,n,day#n#08,day-n
day%1:28:00::,92,n,day#n#01,day-n
day%1:28:06::,92,n,sidereal_day#n#01,sidereal_day-n
day%1:28:04::,93,n,day#n#05,day-n
day%1:28:02::,93,n,day#n#03,day-n
day%1:26:00::,94,n,day#n#07,day-n
day%1:28:05::,94,n,day#n#06,day-n
day%1:28:03::,95,n,day#n#02,day-n
day%1:28:01::,96,n,day#n#04,day-n
day%1:18:00::,97,n,day#n#10,day-n
detention%1:26:00::,98,n,detention#n#01,detention-n
detention%1:04:00::,99,n,detention#n#02,detention-n
develop%2:36:00::,100,v,evolve#v#01,evolve-v
develop%2:36:01::,100,v,develop#v#01,develop-v
develop%2:29:00::,101,v,grow#v#08,grow-v
develop%2:30:06::,101,v,develop#v#03,develop-v
develop%2:30:05::,102,v,develop#v#09,develop-v
develop%2:42:00::,102,v,originate#v#01,originate-v
develop%2:30:00::,102,v,develop#v#10,develop-v
develop%2:30:10::,102,v,develop#v#14,develop-v
develop%2:30:03::,102,v,break#v#57,break-v
develop%2:32:00::,103,v,explicate#v#02,explicate-v
develop%2:30:04::,103,v,develop#v#06,develop-v
develop%2:31:00::,103,v,train#v#01,train-v
develop%2:30:09::,103,v,civilize#v#02,civilize-v
develop%2:30:01::,103,v,develop#v#12,develop-v
develop%2:36:09::,103,v,develop#v#13,develop-v
develop%2:30:13::,103,v,develop#v#19,develop-v
develop%2:33:02::,105,v,develop#v#18,develop-v
develop%2:33:03::,105,v,develop#v#17,develop-v
develop%2:39:00::,106,v,develop#v#15,develop-v
develop%2:35:04::,107,v,develop#v#16,develop-v
develop%2:30:12::,108,v,develop#v#21,develop-v
distress%1:26:01::,109,n,distress#n#02,distress-n
distress%1:12:02::,109,n,distress#n#01,distress-n
distress%1:26:00::,109,n,distress#n#03,distress-n
distress%1:04:00::,110,n,distress#n#04,distress-n
draw%2:35:02::,111,v,draw#v#21,draw-v
draw%2:35:03::,111,v,pull#v#01,pull-v
draw%2:35:09::,111,v,pull_back#v#04,pull_back-v
draw%2:30:14::,129,v,draw#v#17,draw-v
draw%2:37:03::,129,v,attract#v#02,attract-v
draw%2:37:01::,113,v,draw#v#11,draw-v
draw%2:40:00::,113,v,reap#v#02,reap-v
draw%2:35:04::,113,v,absorb#v#04,absorb-v
draw%2:31:00::,114,v,draw#v#05,draw-v
draw%2:35:01::,114,v,trace#v#02,trace-v
draw%2:36:00::,114,v,draw#v#07,draw-v
draw%2:32:00::,114,v,describe#v#01,describe-v
draw%2:36:02::,114,v,draw#v#20,draw-v
draw%2:38:00::,131,v,draw#v#08,draw-v
draw%2:38:01::,131,v,draw#v#06,draw-v
draw%2:31:13::,131,v,draw#v#10,draw-v
draw%2:34:01::,131,v,puff#v#02,puff-v
draw%2:40:01::,131,v,withdraw#v#10,withdraw-v
draw%2:33:01::,131,v,draw#v#15,draw-v
draw%2:38:07::,131,v,draw#v#18,draw-v
draw%2:42:00::,131,v,draw#v#22,draw-v
draw%2:29:00::,131,v,draw#v#35,draw-v
draw%2:35:13::,116,v,guide#v#05,guide-v
draw%2:35:14::,116,v,string#v#01,string-v
draw%2:30:15::,117,v,draw#v#32,draw-v
draw%2:30:08::,117,v,draw#v#31,draw-v
draw%2:30:04::,117,v,draw#v#34,draw-v
draw%2:38:02::,118,v,draw#v#13,draw-v
draw%2:36:01::,119,v,draw#v#16,draw-v
draw%2:36:07::,120,v,draw#v#19,draw-v
draw%2:42:02::,121,v,draw#v#23,draw-v
draw%2:41:13::,122,v,draw#v#24,draw-v
draw%2:33:00::,123,v,tie#v#02,tie-v
draw%2:30:00::,124,v,draw#v#30,draw-v
draw%2:30:05::,125,v,disembowel#v#01,disembowel-v
draw_in%2:35:01::,126,v,suck_in#v#03,suck_in-v
draw_in%2:35:02::,126,v,aspirate#v#01,aspirate-v
draw_in%2:38:03::,127,v,curl_up#v#01,curl_up-v
draw_in%2:35:03::,127,v,draw_in#v#02,draw_in-v
draw_in%2:38:00::,128,v,pull_in#v#03,pull_in-v
draw_in%2:38:01::,128,v,close_in#v#01,close_in-v
draw_in%2:35:00::,129,v,attract#v#01,attract-v
draw_out%2:37:00::,130,v,draw_out#v#03,draw_out-v
draw_out%2:32:00::,130,v,draw_out#v#01,draw_out-v
draw_out%2:35:05::,131,v,extract#v#01,extract-v
draw_out%2:36:00::,131,v,educe#v#01,educe-v
draw_out%2:30:00::,132,v,prolong#v#01,prolong-v
draw_up%2:38:00::,133,v,draw_up#v#05,draw_up-v
draw_up%2:38:01::,133,v,draw_up#v#03,draw_up-v
draw_up%2:41:00::,134,v,draw_up#v#01,draw_up-v
draw_up%2:38:02::,135,v,draw_up#v#02,draw_up-v
draw_up%2:31:00::,136,v,frame#v#05,frame-v
dress%2:29:01::,137,v,dress#v#02,dress-v
dress%2:29:00::,137,v,dress#v#01,dress-v
dress%2:29:07::,137,v,dress#v#04,dress-v
dress%2:29:05::,137,v,preen#v#03,preen-v
dress%2:36:00::,138,v,trim#v#04,trim-v
dress%2:30:00::,138,v,dress#v#06,dress-v
dress%2:35:00::,138,v,dress#v#10,dress-v
dress%2:35:03::,139,v,snip#v#02,snip-v
dress%2:35:04::,139,v,dress#v#09,dress-v
dress%2:29:06::,139,v,dress#v#14,dress-v
dress%2:29:04::,139,v,dress#v#15,dress-v
dress%2:35:02::,140,v,dress#v#03,dress-v
dress%2:38:07::,141,v,dress#v#07,dress-v
dress%2:30:08::,142,v,dress#v#12,dress-v
dress%2:29:02::,143,v,dress#v#13,dress-v
dress_up%2:29:04::,137,v,costume#v#01,costume-v
dress_up%2:29:00::,137,v,dress_up#v#01,dress_up-v
dress_up%2:30:00::,145,v,dress_up#v#02,dress_up-v
dress_up%2:36:00::,146,v,caparison#v#01,caparison-v
drift%2:38:06::,147,v,drift#v#07,drift-v
drift%2:38:02::,147,v,float#v#01,float-v
drift%2:38:01::,148,v,wander#v#01,wander-v
drift%2:38:04::,148,v,stray#v#03,stray-v
drift%2:30:10::,149,v,drift#v#09,drift-v
drift%2:42:03::,149,v,drift#v#04,drift-v
drift%2:38:05::,150,v,drift#v#06,drift-v
drift%2:42:00::,150,v,freewheel#v#01,freewheel-v
drift%2:35:03::,151,v,drift#v#08,drift-v
drift%2:30:00::,152,v,drift#v#10,drift-v
drive%2:38:00::,153,v,drive#v#02,drive-v
drive%2:38:01::,153,v,drive#v#01,drive-v
drive%2:38:02::,153,v,drive#v#03,drive-v
drive%2:42:00::,153,v,drive#v#12,drive-v
drive%2:41:13::,153,v,drive#v#13,drive-v
drive%2:38:09::,153,v,drive#v#14,drive-v
drive%2:38:11::,153,v,drive#v#15,drive-v
drive%2:41:02::,154,v,drive#v#05,drive-v
drive%2:35:00::,154,v,force#v#06,force-v
drive%2:36:00::,154,v,drive#v#07,drive-v
drive%2:35:01::,155,v,drive#v#09,drive-v
drive%2:35:11::,155,v,repel#v#01,repel-v
drive%2:35:03::,155,v,drive#v#16,drive-v
drive%2:35:02::,155,v,drive#v#17,drive-v
drive%2:33:01::,156,v,drive#v#20,drive-v
drive%2:35:07::,156,v,drive#v#08,drive-v
drive%2:33:00::,156,v,drive#v#21,drive-v
drive%2:41:00::,157,v,tug#v#02,tug-v
drive%2:32:00::,158,v,drive#v#11,drive-v
drive%2:35:06::,159,v,drive#v#18,drive-v
drive%2:34:07::,160,v,drive#v#19,drive-v
dyke%1:18:00::,161,n,butch#n#01,butch-n
dyke%1:06:00::,162,n,dam#n#01,dam-n
extent%1:07:00::,163,n,extent#n#02,extent-n
extent%1:26:00::,163,n,extent#n#01,extent-n
face%2:33:00::,164,v,confront#v#01,confront-v
face%2:32:00::,164,v,confront#v#02,confront-v
face%2:32:03::,164,v,confront#v#03,confront-v
face%2:42:02::,165,v,face#v#04,face-v
face%2:42:00::,165,v,front#v#01,front-v
face%2:39:04::,166,v,face#v#07,face-v
face%2:38:00::,166,v,face#v#05,face-v
face%2:35:01::,167,v,face#v#09,face-v
face%2:35:00::,167,v,face#v#08,face-v
facility%1:04:01::,168,n,facility#n#04,facility-n
facility%1:06:00::,168,n,facility#n#01,facility-n
facility%1:04:00::,168,n,facility#n#05,facility-n
facility%1:07:00::,169,n,facility#n#03,facility-n
facility%1:09:00::,169,n,adeptness#n#01,adeptness-n
fatigue%1:12:00::,170,n,fatigue#n#03,fatigue-n
fatigue%1:26:00::,170,n,fatigue#n#01,fatigue-n
fatigue%1:26:02::,171,n,fatigue#n#02,fatigue-n
fatigue%1:04:00::,172,n,fatigue_duty#n#01,fatigue_duty-n
feeling%1:09:00::,173,n,feeling#n#06,feeling-n
feeling%1:09:03::,173,n,impression#n#01,impression-n
feeling%1:09:02::,174,n,touch#n#10,touch-n
feeling%1:09:01::,174,n,feeling#n#04,feeling-n
feeling%1:03:00::,175,n,feeling#n#01,feeling-n
feeling%1:26:00::,176,n,spirit#n#02,spirit-n
find%2:32:00::,177,v,determine#v#01,determine-v
find%2:39:02::,177,v,detect#v#01,detect-v
find%2:36:00::,177,v,discover#v#02,discover-v
find%2:31:09::,177,v,discover#v#04,discover-v
find%2:40:01::,178,v,line_up#v#02,line_up-v
find%2:40:00::,178,v,find#v#03,find-v
find%2:40:03::,178,v,find#v#10,find-v
find%2:40:15::,178,v,recover#v#01,recover-v
find%2:32:01::,179,v,rule#v#04,rule-v
find%2:31:10::,179,v,find#v#05,find-v
find%2:39:05::,180,v,find#v#13,find-v
find%2:39:01::,180,v,witness#v#02,witness-v
find%2:40:02::,181,v,find#v#01,find-v
find%2:30:00::,182,v,receive#v#02,receive-v
find%2:38:10::,183,v,find#v#15,find-v
find%2:30:13::,184,v,find_oneself#v#01,find_oneself-v
fish%1:05:00::,185,n,fish#n#01,fish-n
fish%1:13:00::,186,n,fish#n#02,fish-n
grip%1:07:00::,187,n,grip#n#06,grip-n
grip%1:04:00::,187,n,clasp#n#02,clasp-n
grip%1:06:00::,188,n,bag#n#06,bag-n
grip%1:06:01::,188,n,handle#n#01,handle-n
grip%1:19:00::,189,n,grip#n#04,grip-n
grip%1:18:00::,190,n,grip#n#05,grip-n
grip%1:06:02::,191,n,bobby_pin#n#01,bobby_pin-n
hearth%1:15:00::,192,n,hearth#n#03,hearth-n
hearth%1:06:01::,192,n,fireplace#n#01,fireplace-n
hearth%1:06:00::,193,n,hearth#n#02,hearth-n
holiday%1:28:01::,194,n,holiday#n#02,holiday-n
holiday%1:28:00::,194,n,vacation#n#01,vacation-n
importance%1:26:00::,195,n,importance#n#02,importance-n
importance%1:07:00::,195,n,importance#n#01,importance-n
keep%2:41:02::,196,v,retain#v#03,retain-v
keep%2:42:00::,196,v,keep#v#01,keep-v
keep%2:40:09::,197,v,keep_open#v#01,keep_open-v
keep%2:40:00::,197,v,keep#v#03,keep-v
keep%2:41:00::,198,v,restrain#v#01,restrain-v
keep%2:41:01::,198,v,prevent#v#02,prevent-v
keep%2:35:10::,198,v,keep#v#21,keep-v
keep%2:41:05::,199,v,observe#v#06,observe-v
keep%2:41:03::,199,v,observe#v#09,observe-v
keep%2:42:02::,200,v,keep#v#15,keep-v
keep%2:40:01::,200,v,keep#v#07,keep-v
keep%2:42:12::,200,v,keep#v#16,keep-v
keep%2:34:00::,201,v,sustain#v#04,sustain-v
keep%2:42:01::,201,v,keep#v#09,keep-v
keep%2:30:10::,202,v,preserve#v#04,preserve-v
keep%2:42:03::,202,v,keep#v#12,keep-v
keep%2:40:12::,203,v,keep#v#19,keep-v
keep%2:40:13::,203,v,keep#v#18,keep-v
keep%2:40:10::,203,v,keep#v#20,keep-v
keep%2:42:07::,204,v,continue#v#01,continue-v
keep%2:31:00::,205,v,observe#v#08,observe-v
keep%2:32:00::,206,v,keep#v#08,keep-v
keep_up%2:40:00::,207,v,preserve#v#02,preserve-v
keep_up%2:33:00::,207,v,keep_up#v#01,keep_up-v
keep_up%2:42:00::,208,v,prolong#v#02,prolong-v
keep_up%2:30:00::,209,v,keep_up#v#04,keep_up-v
keep_up%2:29:00::,210,v,keep_up#v#05,keep_up-v
lady%1:18:01::,211,n,dame#n#02,dame-n
lady%1:18:02::,211,n,lady#n#01,lady-n
lady%1:18:00::,211,n,lady#n#03,lady-n
lap%1:08:00::,212,n,lap#n#01,lap-n
lap%1:26:00::,213,n,lap#n#02,lap-n
lap%1:06:01::,214,n,lap#n#03,lap-n
lap%1:06:00::,215,n,lap#n#04,lap-n
lap%1:04:00::,217,n,lick#n#02,lick-n
lap%2:35:00::,218,v,lick#v#02,lick-v
leave%2:38:00::,219,v,exit#v#01,exit-v
leave%2:38:01::,219,v,leave#v#01,leave-v
leave%2:41:00::,219,v,leave#v#08,leave-v
leave%2:30:03::,220,v,leave#v#12,leave-v
leave%2:31:05::,220,v,leave#v#02,leave-v
leave%2:31:02::,220,v,forget#v#04,forget-v
leave%2:42:00::,221,v,leave#v#07,leave-v
leave%2:42:02::,221,v,leave#v#03,leave-v
leave%2:40:01::,222,v,bequeath#v#01,bequeath-v
leave%2:40:06::,222,v,entrust#v#02,entrust-v
leave%2:40:02::,222,v,impart#v#01,impart-v
leave%2:30:02::,223,v,leave#v#04,leave-v
leave%2:42:01::,224,v,leave#v#06,leave-v
leave%2:42:03::,225,v,leave#v#11,leave-v
live%2:42:07::,227,v,live#v#07,live-v
live%2:42:06::,227,v,live#v#02,live-v
live%2:42:01::,228,v,exist#v#02,exist-v
live%2:42:04::,228,v,survive#v#01,survive-v
live%2:42:00::,228,v,be#v#11,be-v
live%2:42:08::,229,v,dwell#v#03,dwell-v
live%2:31:00::,230,v,know#v#05,know-v
match%2:42:01::,231,v,equal#v#02,equal-v
match%2:42:00::,231,v,match#v#01,match-v
match%2:41:00::,231,v,meet#v#06,meet-v
match%2:30:07::,232,v,equal#v#03,equal-v
match%2:40:00::,232,v,match#v#02,match-v
match%2:30:00::,233,v,match#v#08,match-v
match%2:30:01::,233,v,match#v#05,match-v
match%2:35:08::,234,v,match#v#03,match-v
match%2:33:00::,235,v,pit#v#01,pit-v
material%1:06:00::,236,n,fabric#n#01,fabric-n
material%1:27:00::,236,n,material#n#01,material-n
material%1:06:01::,237,n,material#n#03,material-n
material%1:10:00::,237,n,material#n#02,material-n
material%1:18:00::,238,n,material#n#05,material-n
mouth%1:08:00::,239,n,mouth#n#02,mouth-n
mouth%1:08:01::,239,n,mouth#n#01,mouth-n
mouth%1:17:00::,240,n,mouth#n#04,mouth-n
mouth%1:17:01::,240,n,mouth#n#03,mouth-n
mouth%1:06:00::,240,n,mouth#n#08,mouth-n
mouth%1:18:00::,241,n,mouth#n#05,mouth-n
mouth%1:18:01::,242,n,mouthpiece#n#03,mouthpiece-n
mouth%1:10:00::,243,n,sass#n#01,sass-n
nation%1:14:02::,244,n,nation#n#03,nation-n
nation%1:14:00::,244,n,state#n#03,state-n
nation%1:14:01::,245,n,nation#n#02,nation-n
nation%1:18:00::,246,n,nation#n#04,nation-n
nature%1:07:01::,247,n,nature#n#04,nature-n
nature%1:07:02::,247,n,nature#n#01,nature-n
nature%1:17:00::,248,n,nature#n#03,nature-n
nature%1:18:00::,248,n,nature#n#02,nature-n
nature%1:09:00::,249,n,nature#n#05,nature-n
occupation%1:04:04::,250,n,occupation#n#03,occupation-n
occupation%1:04:00::,250,n,occupation#n#01,occupation-n
occupation%1:04:01::,251,n,occupation#n#04,occupation-n
occupation%1:04:02::,251,n,occupation#n#02,occupation-n
play%2:33:02::,252,v,meet#v#10,meet-v
play%2:33:00::,252,v,play#v#01,play-v
play%2:41:02::,253,v,play#v#17,play-v
play%2:41:12::,253,v,play#v#02,play-v
play%2:36:00::,254,v,play#v#06,play-v
play%2:36:12::,254,v,play#v#03,play-v
play%2:36:01::,254,v,play#v#07,play-v
play%2:36:03::,255,v,play#v#14,play-v
play%2:36:02::,255,v,act#v#03,act-v
play%2:36:10::,255,v,act#v#10,act-v
play%2:36:04::,255,v,play#v#26,play-v
play%2:41:00::,256,v,play#v#11,play-v
play%2:41:03::,256,v,play#v#05,play-v
play%2:36:06::,256,v,play#v#12,play-v
play%2:33:07::,257,v,play#v#29,play-v
play%2:33:01::,257,v,play#v#10,play-v
play%2:33:08::,257,v,bet#v#02,bet-v
play%2:36:05::,258,v,play#v#18,play-v
play%2:36:11::,258,v,play#v#13,play-v
play%2:33:09::,259,v,play#v#31,play-v
play%2:33:03::,259,v,play#v#15,play-v
play%2:33:13::,259,v,play#v#32,play-v
play%2:33:12::,259,v,play#v#33,play-v
play%2:34:13::,260,v,play#v#20,play-v
play%2:29:00::,260,v,play#v#16,play-v
play%2:31:01::,260,v,dally#v#04,dally-v
play%2:41:13::,260,v,dally#v#01,dally-v
play%2:29:01::,261,v,act#v#05,act-v
play%2:38:00::,262,v,play#v#09,play-v
play%2:35:00::,263,v,toy#v#02,toy-v
play%2:42:00::,264,v,play#v#22,play-v
play%2:38:03::,265,v,play#v#24,play-v
play%2:36:13::,266,v,bring#v#03,bring-v
play%2:35:07::,267,v,play#v#28,play-v
play%2:29:04::,268,v,play#v#35,play-v
post%1:06:01::,269,n,military_post#n#01,military_post-n
post%1:15:00::,269,n,post#n#01,post-n
post%1:10:02::,270,n,post#n#06,post-n
post%1:06:00::,270,n,post#n#04,post-n
post%1:10:00::,271,n,mail#n#02,mail-n
post%1:14:00::,271,n,mail#n#04,mail-n
post%1:04:01::,271,n,post#n#08,post-n
post%1:04:00::,272,n,position#n#06,position-n
present%1:28:00::,273,n,present#n#01,present-n
present%1:21:00::,274,n,present#n#02,present-n
present%1:10:00::,275,n,present#n#03,present-n
pull%2:35:04::,111,v,pull#v#04,pull-v
pull%2:38:13::,111,v,pull#v#09,pull-v
pull%2:38:02::,111,v,pull#v#10,pull-v
pull%2:35:01::,111,v,rend#v#01,rend-v
pull%2:38:00::,278,v,pull#v#07,pull-v
pull%2:38:01::,278,v,pull#v#03,pull-v
pull%2:30:11::,131,v,pull#v#18,pull-v
pull%2:41:00::,280,v,perpetrate#v#01,perpetrate-v
pull%2:29:00::,281,v,pull#v#08,pull-v
pull%2:38:04::,282,v,pull#v#11,pull-v
pull%2:35:03::,284,v,pull#v#14,pull-v
pull%2:35:05::,285,v,pluck#v#05,pluck-v
pull%2:33:13::,286,v,side#v#01,side-v
replace%2:41:00::,287,v,supplant#v#01,supplant-v
replace%2:30:00::,287,v,replace#v#01,replace-v
replace%2:40:00::,287,v,substitute#v#01,substitute-v
replace%2:35:00::,288,v,replace#v#04,replace-v
restraint%1:26:00::,289,n,constraint#n#01,constraint-n
restraint%1:04:00::,289,n,restraint#n#01,restraint-n
restraint%1:09:00::,289,n,restraint#n#04,restraint-n
restraint%1:07:00::,290,n,restraint#n#02,restraint-n
restraint%1:07:01::,291,n,chasteness#n#01,chasteness-n
restraint%1:06:00::,292,n,restraint#n#06,restraint-n
royalty%1:21:00::,293,n,royalty#n#01,royalty-n
royalty%1:14:00::,294,n,royalty#n#02,royalty-n
see%2:39:03::,295,v,watch#v#03,watch-v
see%2:39:00::,295,v,see#v#01,see-v
see%2:39:11::,295,v,see#v#19,see-v
see%2:39:13::,295,v,examine#v#02,examine-v
see%2:36:00::,296,v,visualize#v#01,visualize-v
see%2:31:01::,296,v,understand#v#02,understand-v
see%2:31:02::,180,v,learn#v#02,learn-v
