Pos,sense1_key17,sense1_wn17,sense2_wn17,sense2_key17,sense1_wn21,sense2_wn21,offset1_wn21,offset2_wn21,sense1_wn17_def,sense1_wn21_def,sense2_wn17_def,sense2_wn21_def,Merge,selse2
v,draw%2:35:02::,draw.v.21,draw.v.08,draw%2:38:00::,draw#v#20,draw#v#07,01231577-v,01836719-v,,move or pull so as to cover or uncover something,,take liquid out of a container or well,not-merged,draw#v#20-draw#v#07
v,draw%2:35:02::,draw.v.21,draw.v.06,draw%2:38:01::,draw#v#20,draw#v#05,01231577-v,01976850-v,,move or pull so as to cover or uncover something,,"bring, take, or pull out of a container or from under a cover",not-merged,draw#v#20-draw#v#05
v,draw%2:35:02::,draw.v.21,draw.v.10,draw%2:31:13::,draw#v#20,draw#v#09,01231577-v,00667867-v,,move or pull so as to cover or uncover something,,select or take in from a given group or region,not-merged,draw#v#20-draw#v#09
v,draw%2:35:02::,draw.v.21,draw.v.13,draw%2:38:02::,draw#v#20,draw#v#12,01231577-v,02069432-v,,move or pull so as to cover or uncover something,,move or go steadily or gradually,not-merged,draw#v#20-draw#v#12
v,draw%2:35:02::,draw.v.21,draw.v.23,draw%2:42:02::,draw#v#20,draw#v#22,01231577-v,02603484-v,,move or pull so as to cover or uncover something,,require a specified depth for floating,not-merged,draw#v#20-draw#v#22
v,draw%2:30:14::,draw.v.17,draw.v.11,draw%2:37:01::,draw#v#16,draw#v#10,00551180-v,01743542-v,,bring or lead someone to a certain action or condition,,"elicit responses, such as objections, criticism, applause, etc.",not-merged,draw#v#16-draw#v#10
v,draw%2:30:14::,draw.v.17,draw.v.05,draw%2:31:00::,draw#v#16,draw#v#04,00551180-v,00722431-v,,bring or lead someone to a certain action or condition,,"make, formulate, or derive in the mind",not-merged,draw#v#16-draw#v#04
v,draw%2:30:14::,draw.v.17,draw.v.07,draw%2:36:00::,draw#v#16,draw#v#06,00551180-v,01675192-v,,bring or lead someone to a certain action or condition,,"represent by making a drawing of, as with a pencil, chalk, etc. on a surface",not-merged,draw#v#16-draw#v#06
v,draw%2:30:14::,draw.v.17,draw.v.08,draw%2:38:00::,draw#v#16,draw#v#07,00551180-v,01836719-v,,bring or lead someone to a certain action or condition,,take liquid out of a container or well,not-merged,draw#v#16-draw#v#07
v,draw%2:30:14::,draw.v.17,draw.v.06,draw%2:38:01::,draw#v#16,draw#v#05,00551180-v,01976850-v,,bring or lead someone to a certain action or condition,,"bring, take, or pull out of a container or from under a cover",not-merged,draw#v#16-draw#v#05
v,draw%2:30:14::,draw.v.17,draw.v.10,draw%2:31:13::,draw#v#16,draw#v#09,00551180-v,00667867-v,,bring or lead someone to a certain action or condition,,select or take in from a given group or region,not-merged,draw#v#16-draw#v#09
v,draw%2:30:14::,draw.v.17,draw.v.13,draw%2:38:02::,draw#v#16,draw#v#12,00551180-v,02069432-v,,bring or lead someone to a certain action or condition,,move or go steadily or gradually,not-merged,draw#v#16-draw#v#12
v,draw%2:30:14::,draw.v.17,draw.v.16,draw%2:36:01::,draw#v#16,draw#v#15,00551180-v,01628603-v,,bring or lead someone to a certain action or condition,,earn or achieve a base by being walked by the pitcher,not-merged,draw#v#16-draw#v#15
v,draw%2:30:14::,draw.v.17,draw.v.23,draw%2:42:02::,draw#v#16,draw#v#22,00551180-v,02603484-v,,bring or lead someone to a certain action or condition,,require a specified depth for floating,not-merged,draw#v#16-draw#v#22
v,draw%2:37:01::,draw.v.11,draw.v.05,draw%2:31:00::,draw#v#10,draw#v#04,01743542-v,00722431-v,,"elicit responses, such as objections, criticism, applause, etc.",,"make, formulate, or derive in the mind",not-merged,draw#v#10-draw#v#04
v,draw%2:37:01::,draw.v.11,draw.v.07,draw%2:36:00::,draw#v#10,draw#v#06,01743542-v,01675192-v,,"elicit responses, such as objections, criticism, applause, etc.",,"represent by making a drawing of, as with a pencil, chalk, etc. on a surface",not-merged,draw#v#10-draw#v#06
v,draw%2:37:01::,draw.v.11,draw.v.08,draw%2:38:00::,draw#v#10,draw#v#07,01743542-v,01836719-v,,"elicit responses, such as objections, criticism, applause, etc.",,take liquid out of a container or well,not-merged,draw#v#10-draw#v#07
v,draw%2:37:01::,draw.v.11,draw.v.06,draw%2:38:01::,draw#v#10,draw#v#05,01743542-v,01976850-v,,"elicit responses, such as objections, criticism, applause, etc.",,"bring, take, or pull out of a container or from under a cover",not-merged,draw#v#10-draw#v#05
v,draw%2:37:01::,draw.v.11,draw.v.10,draw%2:31:13::,draw#v#10,draw#v#09,01743542-v,00667867-v,,"elicit responses, such as objections, criticism, applause, etc.",,select or take in from a given group or region,not-merged,draw#v#10-draw#v#09
v,draw%2:37:01::,draw.v.11,draw.v.13,draw%2:38:02::,draw#v#10,draw#v#12,01743542-v,02069432-v,,"elicit responses, such as objections, criticism, applause, etc.",,move or go steadily or gradually,not-merged,draw#v#10-draw#v#12
v,draw%2:37:01::,draw.v.11,draw.v.23,draw%2:42:02::,draw#v#10,draw#v#22,01743542-v,02603484-v,,"elicit responses, such as objections, criticism, applause, etc.",,require a specified depth for floating,not-merged,draw#v#10-draw#v#22
v,draw%2:31:00::,draw.v.05,draw.v.07,draw%2:36:00::,draw#v#04,draw#v#06,00722431-v,01675192-v,,"make, formulate, or derive in the mind",,"represent by making a drawing of, as with a pencil, chalk, etc. on a surface",merged,draw#v#04-draw#v#06
v,draw%2:31:00::,draw.v.05,draw.v.20,draw%2:36:02::,draw#v#04,draw#v#19,00722431-v,01628770-v,,"make, formulate, or derive in the mind",,engage in drawing,merged,draw#v#04-draw#v#19
v,draw%2:31:00::,draw.v.05,draw.v.08,draw%2:38:00::,draw#v#04,draw#v#07,00722431-v,01836719-v,,"make, formulate, or derive in the mind",,take liquid out of a container or well,not-merged,draw#v#04-draw#v#07
v,draw%2:31:00::,draw.v.05,draw.v.06,draw%2:38:01::,draw#v#04,draw#v#05,00722431-v,01976850-v,,"make, formulate, or derive in the mind",,"bring, take, or pull out of a container or from under a cover",not-merged,draw#v#04-draw#v#05
v,draw%2:31:00::,draw.v.05,draw.v.10,draw%2:31:13::,draw#v#04,draw#v#09,00722431-v,00667867-v,,"make, formulate, or derive in the mind",,select or take in from a given group or region,not-merged,draw#v#04-draw#v#09
v,draw%2:31:00::,draw.v.05,draw.v.15,draw%2:33:01::,draw#v#04,draw#v#14,00722431-v,01067344-v,,"make, formulate, or derive in the mind",,choose at random,not-merged,draw#v#04-draw#v#14
v,draw%2:31:00::,draw.v.05,draw.v.18,draw%2:38:07::,draw#v#04,draw#v#17,00722431-v,02079073-v,,"make, formulate, or derive in the mind",,cause to flow,not-merged,draw#v#04-draw#v#17
v,draw%2:31:00::,draw.v.05,draw.v.22,draw%2:42:00::,draw#v#04,draw#v#21,00722431-v,02717755-v,,"make, formulate, or derive in the mind",,allow a draft,not-merged,draw#v#04-draw#v#21
v,draw%2:31:00::,draw.v.05,draw.v.35,draw%2:29:00::,draw#v#04,draw#v#36,00722431-v,00096034-v,,"make, formulate, or derive in the mind",,cause to localize at one point,not-merged,draw#v#04-draw#v#36
v,draw%2:31:00::,draw.v.05,draw.v.32,draw%2:30:15::,draw#v#04,draw#v#33,00722431-v,00324496-v,,"make, formulate, or derive in the mind",,steep; pass through a strainer,not-merged,draw#v#04-draw#v#33
v,draw%2:31:00::,draw.v.05,draw.v.31,draw%2:30:08::,draw#v#04,draw#v#32,00722431-v,00426315-v,,"make, formulate, or derive in the mind",,reduce the diameter of (a wire or metal rod) by pulling it through a die,not-merged,draw#v#04-draw#v#32
v,draw%2:31:00::,draw.v.05,draw.v.34,draw%2:30:04::,draw#v#04,draw#v#35,00722431-v,00140924-v,,"make, formulate, or derive in the mind",,"flatten, stretch, or mold metal or glass, by rolling or by pulling it through a die or by stretching",not-merged,draw#v#04-draw#v#35
v,draw%2:31:00::,draw.v.05,draw.v.13,draw%2:38:02::,draw#v#04,draw#v#12,00722431-v,02069432-v,,"make, formulate, or derive in the mind",,move or go steadily or gradually,not-merged,draw#v#04-draw#v#12
v,draw%2:31:00::,draw.v.05,draw.v.16,draw%2:36:01::,draw#v#04,draw#v#15,00722431-v,01628603-v,,"make, formulate, or derive in the mind",,earn or achieve a base by being walked by the pitcher,not-merged,draw#v#04-draw#v#15
v,draw%2:31:00::,draw.v.05,draw.v.19,draw%2:36:07::,draw#v#04,draw#v#18,00722431-v,01675714-v,,"make, formulate, or derive in the mind",,write a legal document or paper,not-merged,draw#v#04-draw#v#18
v,draw%2:31:00::,draw.v.05,draw.v.23,draw%2:42:02::,draw#v#04,draw#v#22,00722431-v,02603484-v,,"make, formulate, or derive in the mind",,require a specified depth for floating,not-merged,draw#v#04-draw#v#22
v,draw%2:31:00::,draw.v.05,draw.v.24,draw%2:41:13::,draw#v#04,draw#v#23,00722431-v,02459685-v,,"make, formulate, or derive in the mind",,"pull (a person) apart with four horses tied to his extremities, so as to execute him",not-merged,draw#v#04-draw#v#23
v,draw%2:31:00::,draw.v.05,draw.v.30,draw%2:30:00::,draw#v#04,draw#v#31,00722431-v,00471947-v,,"make, formulate, or derive in the mind",,contract,not-merged,draw#v#04-draw#v#31
v,draw%2:36:00::,draw.v.07,draw.v.20,draw%2:36:02::,draw#v#06,draw#v#19,01675192-v,01628770-v,,"represent by making a drawing of, as with a pencil, chalk, etc. on a surface",,engage in drawing,merged,draw#v#06-draw#v#19
v,draw%2:36:00::,draw.v.07,draw.v.08,draw%2:38:00::,draw#v#06,draw#v#07,01675192-v,01836719-v,,"represent by making a drawing of, as with a pencil, chalk, etc. on a surface",,take liquid out of a container or well,not-merged,draw#v#06-draw#v#07
v,draw%2:36:00::,draw.v.07,draw.v.06,draw%2:38:01::,draw#v#06,draw#v#05,01675192-v,01976850-v,,"represent by making a drawing of, as with a pencil, chalk, etc. on a surface",,"bring, take, or pull out of a container or from under a cover",not-merged,draw#v#06-draw#v#05
v,draw%2:36:00::,draw.v.07,draw.v.10,draw%2:31:13::,draw#v#06,draw#v#09,01675192-v,00667867-v,,"represent by making a drawing of, as with a pencil, chalk, etc. on a surface",,select or take in from a given group or region,not-merged,draw#v#06-draw#v#09
v,draw%2:36:00::,draw.v.07,draw.v.15,draw%2:33:01::,draw#v#06,draw#v#14,01675192-v,01067344-v,,"represent by making a drawing of, as with a pencil, chalk, etc. on a surface",,choose at random,not-merged,draw#v#06-draw#v#14
v,draw%2:36:00::,draw.v.07,draw.v.18,draw%2:38:07::,draw#v#06,draw#v#17,01675192-v,02079073-v,,"represent by making a drawing of, as with a pencil, chalk, etc. on a surface",,cause to flow,not-merged,draw#v#06-draw#v#17
v,draw%2:36:00::,draw.v.07,draw.v.22,draw%2:42:00::,draw#v#06,draw#v#21,01675192-v,02717755-v,,"represent by making a drawing of, as with a pencil, chalk, etc. on a surface",,allow a draft,not-merged,draw#v#06-draw#v#21
v,draw%2:36:00::,draw.v.07,draw.v.35,draw%2:29:00::,draw#v#06,draw#v#36,01675192-v,00096034-v,,"represent by making a drawing of, as with a pencil, chalk, etc. on a surface",,cause to localize at one point,not-merged,draw#v#06-draw#v#36
v,draw%2:36:00::,draw.v.07,draw.v.32,draw%2:30:15::,draw#v#06,draw#v#33,01675192-v,00324496-v,,"represent by making a drawing of, as with a pencil, chalk, etc. on a surface",,steep; pass through a strainer,not-merged,draw#v#06-draw#v#33
v,draw%2:36:00::,draw.v.07,draw.v.31,draw%2:30:08::,draw#v#06,draw#v#32,01675192-v,00426315-v,,"represent by making a drawing of, as with a pencil, chalk, etc. on a surface",,reduce the diameter of (a wire or metal rod) by pulling it through a die,not-merged,draw#v#06-draw#v#32
v,draw%2:36:00::,draw.v.07,draw.v.34,draw%2:30:04::,draw#v#06,draw#v#35,01675192-v,00140924-v,,"represent by making a drawing of, as with a pencil, chalk, etc. on a surface",,"flatten, stretch, or mold metal or glass, by rolling or by pulling it through a die or by stretching",not-merged,draw#v#06-draw#v#35
v,draw%2:36:00::,draw.v.07,draw.v.13,draw%2:38:02::,draw#v#06,draw#v#12,01675192-v,02069432-v,,"represent by making a drawing of, as with a pencil, chalk, etc. on a surface",,move or go steadily or gradually,not-merged,draw#v#06-draw#v#12
v,draw%2:36:00::,draw.v.07,draw.v.16,draw%2:36:01::,draw#v#06,draw#v#15,01675192-v,01628603-v,,"represent by making a drawing of, as with a pencil, chalk, etc. on a surface",,earn or achieve a base by being walked by the pitcher,not-merged,draw#v#06-draw#v#15
v,draw%2:36:00::,draw.v.07,draw.v.19,draw%2:36:07::,draw#v#06,draw#v#18,01675192-v,01675714-v,,"represent by making a drawing of, as with a pencil, chalk, etc. on a surface",,write a legal document or paper,not-merged,draw#v#06-draw#v#18
v,draw%2:36:00::,draw.v.07,draw.v.23,draw%2:42:02::,draw#v#06,draw#v#22,01675192-v,02603484-v,,"represent by making a drawing of, as with a pencil, chalk, etc. on a surface",,require a specified depth for floating,not-merged,draw#v#06-draw#v#22
v,draw%2:36:00::,draw.v.07,draw.v.24,draw%2:41:13::,draw#v#06,draw#v#23,01675192-v,02459685-v,,"represent by making a drawing of, as with a pencil, chalk, etc. on a surface",,"pull (a person) apart with four horses tied to his extremities, so as to execute him",not-merged,draw#v#06-draw#v#23
v,draw%2:36:00::,draw.v.07,draw.v.30,draw%2:30:00::,draw#v#06,draw#v#31,01675192-v,00471947-v,,"represent by making a drawing of, as with a pencil, chalk, etc. on a surface",,contract,not-merged,draw#v#06-draw#v#31
v,draw%2:36:02::,draw.v.20,draw.v.08,draw%2:38:00::,draw#v#19,draw#v#07,01628770-v,01836719-v,,engage in drawing,,take liquid out of a container or well,not-merged,draw#v#19-draw#v#07
v,draw%2:36:02::,draw.v.20,draw.v.06,draw%2:38:01::,draw#v#19,draw#v#05,01628770-v,01976850-v,,engage in drawing,,"bring, take, or pull out of a container or from under a cover",not-merged,draw#v#19-draw#v#05
v,draw%2:36:02::,draw.v.20,draw.v.10,draw%2:31:13::,draw#v#19,draw#v#09,01628770-v,00667867-v,,engage in drawing,,select or take in from a given group or region,not-merged,draw#v#19-draw#v#09
v,draw%2:36:02::,draw.v.20,draw.v.15,draw%2:33:01::,draw#v#19,draw#v#14,01628770-v,01067344-v,,engage in drawing,,choose at random,not-merged,draw#v#19-draw#v#14
v,draw%2:36:02::,draw.v.20,draw.v.18,draw%2:38:07::,draw#v#19,draw#v#17,01628770-v,02079073-v,,engage in drawing,,cause to flow,not-merged,draw#v#19-draw#v#17
v,draw%2:36:02::,draw.v.20,draw.v.22,draw%2:42:00::,draw#v#19,draw#v#21,01628770-v,02717755-v,,engage in drawing,,allow a draft,not-merged,draw#v#19-draw#v#21
v,draw%2:36:02::,draw.v.20,draw.v.35,draw%2:29:00::,draw#v#19,draw#v#36,01628770-v,00096034-v,,engage in drawing,,cause to localize at one point,not-merged,draw#v#19-draw#v#36
v,draw%2:36:02::,draw.v.20,draw.v.32,draw%2:30:15::,draw#v#19,draw#v#33,01628770-v,00324496-v,,engage in drawing,,steep; pass through a strainer,not-merged,draw#v#19-draw#v#33
v,draw%2:36:02::,draw.v.20,draw.v.31,draw%2:30:08::,draw#v#19,draw#v#32,01628770-v,00426315-v,,engage in drawing,,reduce the diameter of (a wire or metal rod) by pulling it through a die,not-merged,draw#v#19-draw#v#32
v,draw%2:36:02::,draw.v.20,draw.v.34,draw%2:30:04::,draw#v#19,draw#v#35,01628770-v,00140924-v,,engage in drawing,,"flatten, stretch, or mold metal or glass, by rolling or by pulling it through a die or by stretching",not-merged,draw#v#19-draw#v#35
v,draw%2:36:02::,draw.v.20,draw.v.13,draw%2:38:02::,draw#v#19,draw#v#12,01628770-v,02069432-v,,engage in drawing,,move or go steadily or gradually,not-merged,draw#v#19-draw#v#12
v,draw%2:36:02::,draw.v.20,draw.v.16,draw%2:36:01::,draw#v#19,draw#v#15,01628770-v,01628603-v,,engage in drawing,,earn or achieve a base by being walked by the pitcher,not-merged,draw#v#19-draw#v#15
v,draw%2:36:02::,draw.v.20,draw.v.19,draw%2:36:07::,draw#v#19,draw#v#18,01628770-v,01675714-v,,engage in drawing,,write a legal document or paper,not-merged,draw#v#19-draw#v#18
v,draw%2:36:02::,draw.v.20,draw.v.23,draw%2:42:02::,draw#v#19,draw#v#22,01628770-v,02603484-v,,engage in drawing,,require a specified depth for floating,not-merged,draw#v#19-draw#v#22
v,draw%2:36:02::,draw.v.20,draw.v.30,draw%2:30:00::,draw#v#19,draw#v#31,01628770-v,00471947-v,,engage in drawing,,contract,not-merged,draw#v#19-draw#v#31
v,draw%2:38:00::,draw.v.08,draw.v.06,draw%2:38:01::,draw#v#07,draw#v#05,01836719-v,01976850-v,,take liquid out of a container or well,,"bring, take, or pull out of a container or from under a cover",merged,draw#v#07-draw#v#05
v,draw%2:38:00::,draw.v.08,draw.v.10,draw%2:31:13::,draw#v#07,draw#v#09,01836719-v,00667867-v,,take liquid out of a container or well,,select or take in from a given group or region,merged,draw#v#07-draw#v#09
v,draw%2:38:00::,draw.v.08,draw.v.15,draw%2:33:01::,draw#v#07,draw#v#14,01836719-v,01067344-v,,take liquid out of a container or well,,choose at random,merged,draw#v#07-draw#v#14
v,draw%2:38:00::,draw.v.08,draw.v.18,draw%2:38:07::,draw#v#07,draw#v#17,01836719-v,02079073-v,,take liquid out of a container or well,,cause to flow,merged,draw#v#07-draw#v#17
v,draw%2:38:00::,draw.v.08,draw.v.22,draw%2:42:00::,draw#v#07,draw#v#21,01836719-v,02717755-v,,take liquid out of a container or well,,allow a draft,merged,draw#v#07-draw#v#21
v,draw%2:38:00::,draw.v.08,draw.v.35,draw%2:29:00::,draw#v#07,draw#v#36,01836719-v,00096034-v,,take liquid out of a container or well,,cause to localize at one point,merged,draw#v#07-draw#v#36
v,draw%2:38:00::,draw.v.08,draw.v.32,draw%2:30:15::,draw#v#07,draw#v#33,01836719-v,00324496-v,,take liquid out of a container or well,,steep; pass through a strainer,not-merged,draw#v#07-draw#v#33
v,draw%2:38:00::,draw.v.08,draw.v.31,draw%2:30:08::,draw#v#07,draw#v#32,01836719-v,00426315-v,,take liquid out of a container or well,,reduce the diameter of (a wire or metal rod) by pulling it through a die,not-merged,draw#v#07-draw#v#32
v,draw%2:38:00::,draw.v.08,draw.v.34,draw%2:30:04::,draw#v#07,draw#v#35,01836719-v,00140924-v,,take liquid out of a container or well,,"flatten, stretch, or mold metal or glass, by rolling or by pulling it through a die or by stretching",not-merged,draw#v#07-draw#v#35
v,draw%2:38:00::,draw.v.08,draw.v.13,draw%2:38:02::,draw#v#07,draw#v#12,01836719-v,02069432-v,,take liquid out of a container or well,,move or go steadily or gradually,not-merged,draw#v#07-draw#v#12
v,draw%2:38:00::,draw.v.08,draw.v.16,draw%2:36:01::,draw#v#07,draw#v#15,01836719-v,01628603-v,,take liquid out of a container or well,,earn or achieve a base by being walked by the pitcher,not-merged,draw#v#07-draw#v#15
v,draw%2:38:00::,draw.v.08,draw.v.19,draw%2:36:07::,draw#v#07,draw#v#18,01836719-v,01675714-v,,take liquid out of a container or well,,write a legal document or paper,not-merged,draw#v#07-draw#v#18
v,draw%2:38:00::,draw.v.08,draw.v.23,draw%2:42:02::,draw#v#07,draw#v#22,01836719-v,02603484-v,,take liquid out of a container or well,,require a specified depth for floating,not-merged,draw#v#07-draw#v#22
v,draw%2:38:00::,draw.v.08,draw.v.24,draw%2:41:13::,draw#v#07,draw#v#23,01836719-v,02459685-v,,take liquid out of a container or well,,"pull (a person) apart with four horses tied to his extremities, so as to execute him",not-merged,draw#v#07-draw#v#23
v,draw%2:38:00::,draw.v.08,draw.v.30,draw%2:30:00::,draw#v#07,draw#v#31,01836719-v,00471947-v,,take liquid out of a container or well,,contract,not-merged,draw#v#07-draw#v#31
v,draw%2:38:01::,draw.v.06,draw.v.10,draw%2:31:13::,draw#v#05,draw#v#09,01976850-v,00667867-v,,"bring, take, or pull out of a container or from under a cover",,select or take in from a given group or region,merged,draw#v#05-draw#v#09
v,draw%2:38:01::,draw.v.06,draw.v.15,draw%2:33:01::,draw#v#05,draw#v#14,01976850-v,01067344-v,,"bring, take, or pull out of a container or from under a cover",,choose at random,merged,draw#v#05-draw#v#14
v,draw%2:38:01::,draw.v.06,draw.v.18,draw%2:38:07::,draw#v#05,draw#v#17,01976850-v,02079073-v,,"bring, take, or pull out of a container or from under a cover",,cause to flow,merged,draw#v#05-draw#v#17
v,draw%2:38:01::,draw.v.06,draw.v.22,draw%2:42:00::,draw#v#05,draw#v#21,01976850-v,02717755-v,,"bring, take, or pull out of a container or from under a cover",,allow a draft,merged,draw#v#05-draw#v#21
v,draw%2:38:01::,draw.v.06,draw.v.35,draw%2:29:00::,draw#v#05,draw#v#36,01976850-v,00096034-v,,"bring, take, or pull out of a container or from under a cover",,cause to localize at one point,merged,draw#v#05-draw#v#36
v,draw%2:38:01::,draw.v.06,draw.v.32,draw%2:30:15::,draw#v#05,draw#v#33,01976850-v,00324496-v,,"bring, take, or pull out of a container or from under a cover",,steep; pass through a strainer,not-merged,draw#v#05-draw#v#33
v,draw%2:38:01::,draw.v.06,draw.v.31,draw%2:30:08::,draw#v#05,draw#v#32,01976850-v,00426315-v,,"bring, take, or pull out of a container or from under a cover",,reduce the diameter of (a wire or metal rod) by pulling it through a die,not-merged,draw#v#05-draw#v#32
v,draw%2:38:01::,draw.v.06,draw.v.34,draw%2:30:04::,draw#v#05,draw#v#35,01976850-v,00140924-v,,"bring, take, or pull out of a container or from under a cover",,"flatten, stretch, or mold metal or glass, by rolling or by pulling it through a die or by stretching",not-merged,draw#v#05-draw#v#35
v,draw%2:38:01::,draw.v.06,draw.v.13,draw%2:38:02::,draw#v#05,draw#v#12,01976850-v,02069432-v,,"bring, take, or pull out of a container or from under a cover",,move or go steadily or gradually,not-merged,draw#v#05-draw#v#12
v,draw%2:38:01::,draw.v.06,draw.v.16,draw%2:36:01::,draw#v#05,draw#v#15,01976850-v,01628603-v,,"bring, take, or pull out of a container or from under a cover",,earn or achieve a base by being walked by the pitcher,not-merged,draw#v#05-draw#v#15
v,draw%2:38:01::,draw.v.06,draw.v.19,draw%2:36:07::,draw#v#05,draw#v#18,01976850-v,01675714-v,,"bring, take, or pull out of a container or from under a cover",,write a legal document or paper,not-merged,draw#v#05-draw#v#18
v,draw%2:38:01::,draw.v.06,draw.v.23,draw%2:42:02::,draw#v#05,draw#v#22,01976850-v,02603484-v,,"bring, take, or pull out of a container or from under a cover",,require a specified depth for floating,not-merged,draw#v#05-draw#v#22
v,draw%2:38:01::,draw.v.06,draw.v.24,draw%2:41:13::,draw#v#05,draw#v#23,01976850-v,02459685-v,,"bring, take, or pull out of a container or from under a cover",,"pull (a person) apart with four horses tied to his extremities, so as to execute him",not-merged,draw#v#05-draw#v#23
v,draw%2:38:01::,draw.v.06,draw.v.30,draw%2:30:00::,draw#v#05,draw#v#31,01976850-v,00471947-v,,"bring, take, or pull out of a container or from under a cover",,contract,not-merged,draw#v#05-draw#v#31
v,draw%2:31:13::,draw.v.10,draw.v.15,draw%2:33:01::,draw#v#09,draw#v#14,00667867-v,01067344-v,,select or take in from a given group or region,,choose at random,merged,draw#v#09-draw#v#14
v,draw%2:31:13::,draw.v.10,draw.v.18,draw%2:38:07::,draw#v#09,draw#v#17,00667867-v,02079073-v,,select or take in from a given group or region,,cause to flow,merged,draw#v#09-draw#v#17
v,draw%2:31:13::,draw.v.10,draw.v.22,draw%2:42:00::,draw#v#09,draw#v#21,00667867-v,02717755-v,,select or take in from a given group or region,,allow a draft,merged,draw#v#09-draw#v#21
v,draw%2:31:13::,draw.v.10,draw.v.35,draw%2:29:00::,draw#v#09,draw#v#36,00667867-v,00096034-v,,select or take in from a given group or region,,cause to localize at one point,merged,draw#v#09-draw#v#36
v,draw%2:31:13::,draw.v.10,draw.v.32,draw%2:30:15::,draw#v#09,draw#v#33,00667867-v,00324496-v,,select or take in from a given group or region,,steep; pass through a strainer,not-merged,draw#v#09-draw#v#33
v,draw%2:31:13::,draw.v.10,draw.v.31,draw%2:30:08::,draw#v#09,draw#v#32,00667867-v,00426315-v,,select or take in from a given group or region,,reduce the diameter of (a wire or metal rod) by pulling it through a die,not-merged,draw#v#09-draw#v#32
v,draw%2:31:13::,draw.v.10,draw.v.34,draw%2:30:04::,draw#v#09,draw#v#35,00667867-v,00140924-v,,select or take in from a given group or region,,"flatten, stretch, or mold metal or glass, by rolling or by pulling it through a die or by stretching",not-merged,draw#v#09-draw#v#35
v,draw%2:31:13::,draw.v.10,draw.v.13,draw%2:38:02::,draw#v#09,draw#v#12,00667867-v,02069432-v,,select or take in from a given group or region,,move or go steadily or gradually,not-merged,draw#v#09-draw#v#12
v,draw%2:31:13::,draw.v.10,draw.v.16,draw%2:36:01::,draw#v#09,draw#v#15,00667867-v,01628603-v,,select or take in from a given group or region,,earn or achieve a base by being walked by the pitcher,not-merged,draw#v#09-draw#v#15
