,Version,WordPos,SenseNums,Group,GroupSense
120,2.1,agent-n,"3,4",1,4
121,2.1,team-n,1,1,1
122,2.1,team-n,2-,1,2
125,2.1,name-v,"1,6",1,1
126,2.1,name-v,"2,5,7,8,9",1,2
127,2.1,name-v,"3,4",1,3
128,2.1,image-n,"1,5",1,1
129,2.1,image-n,"2,8",1,2
130,2.1,image-n,"3,7",1,3
131,2.1,image-n,4,1,4
132,2.1,image-n,,1,5
136,2.1,bar-n,1,1,1
137,2.1,bar-n,2,1,2
138,2.1,bar-n,3,1,3
139,2.1,bar-n,4,1,4
140,2.1,bar-n,5,1,5
141,2.1,bar-n,6,1,6
142,2.1,bar-n,7,1,7
143,2.1,bar-n,8,1,8
144,2.1,bar-n,9,1,9
145,2.1,bar-n,10,1,10
146,2.1,bar-n,12,1,11
147,2.1,bar-n,13,1,12
148,2.1,bar-n,14,1,13
152,2.1,be-v,"1,8,9",1,1
153,2.1,be-v,"2,6,7,8",1,2
154,2.1,be-v,"4,11",1,3
155,2.1,be-v,3,1,4
156,2.1,be-v,5,1,5
157,2.1,be-v,10,1,6
158,2.1,be-v,13,1,7
159,2.1,be-v,12,1,8
160,2.1,point-v,"1,2,5",1,1
161,2.1,point-v,"3,4,6,10,11",1,2
162,2.1,point-v,"7,8,9",1,3
163,2.1,point-v,12,1,4
164,2.1,point-v,13,1,5
165,2.1,happen-v,"1,2,4",1,1
166,2.1,happen-v,3,1,2
167,2.1,happen-v,5,1,3
168,2.1,cope-v,1,1,1
172,2.1,trainer-n,1,1,1
173,2.1,trainer-n,2,1,2
176,2.1,jump-v,"1,2,4,7,8,10,11,13,14,15",1,1
177,2.1,jump-v,9,1,2
178,2.1,jump-v,5,1,3
179,2.1,jump-v,3,1,4
180,2.1,jump-v,12,1,5
181,2.1,jump-v,,1,6
186,2.1,reopen-v,1,1,1
189,2.1,shape-v,,1,3
190,2.1,impose-v,"1,2,3",1,1
191,2.1,impose-v,,1,2
192,2.1,submarine-n,1,1,1
193,2.1,submarine-n,2,1,2
194,2.1,chamber-n,"1,5",1,1
195,2.1,chamber-n,2,1,2
196,2.1,chamber-n,"3,4",1,3
197,2.1,chamber-n,Placeholder Sense,1,4
199,2.1,secure-v,"1,3,4",1,1
200,2.1,secure-v,"2,5,6",1,2
201,2.1,secure-v,,1,3
202,2.1,secure-v,,1,4
207,2.1,defense-n,"6,7,8",1,1
208,2.1,defense-n,"4,2",1,2
209,2.1,defense-n,1,1,3
210,2.1,defense-n,3,1,4
211,2.1,defense-n,"5,11",1,5
212,2.1,defense-n,9,1,6
213,2.1,defense-n,9,1,7
214,2.1,defense-n,10,1,8
215,2.1,injure-v,"1,2,3",1,1
216,2.1,write-v,"1,2,3,4,5,6",1,1
217,2.1,write-v,"7,9",1,2
220,2.1,write-v,2,1,5
221,2.1,write-v,1,1,6
222,2.1,write-v,1,1,7
224,2.1,write-v,1,1,9
225,2.1,obstruction-n,,1,1
226,2.1,obstruction-n,"4,5",1,2
227,2.1,obstruction-n,2,1,3
228,2.1,unveil-v,"1,2,3",1,1
229,2.1,satisfy-v,"1,2,3",1,1
230,2.1,foe-n,1,1,1
231,2.1,foe-n,2,1,2
234,2.1,adjust-v,"1,2",1,1
235,2.1,adjust-v,"3,4",1,2
236,2.1,adjust-v,5,1,3
237,2.1,discuss-v,"1,2",1,1
238,2.1,accident-n,1,1,1
239,2.1,accident-n,2,1,2
240,2.1,contract-v,"1,2",1,1
241,2.1,contract-v,"3,4,6",1,2
242,2.1,contract-v,"7,8,9",1,3
243,2.1,contract-v,5,1,4
244,2.1,consider-v,"1,6",1,1
245,2.1,consider-v,"2,3,4,5,8",1,2
246,2.1,consider-v,7,1,3
247,2.1,consider-v,9,1,4
248,2.1,convince-v,1,1,1
249,2.1,file-v,"1,4",1,1
250,2.1,file-v,2,1,2
251,2.1,file-v,,1,3
252,2.1,file-v,5,1,4
255,2.1,bound-n,"1,2",1,1
256,2.1,bound-n,3,1,2
257,2.1,bound-n,4,1,3
258,2.1,select-v,1,1,1
259,2.1,list-v,"1,2,3",1,1
260,2.1,list-v,"4,5",1,2
261,2.1,incident-n,1,1,1
262,2.1,incident-n,2,1,2
263,2.1,proposal-n,1,1,1
264,2.1,proposal-n,2,1,2
265,2.1,proposal-n,3,1,3
280,2.1,head-n,1,1,1
281,2.1,head-n,2 14,1,2
282,2.1,head-n,3,1,3
283,2.1,head-n,4 13,1,4
284,2.1,head-n,6,1,5
285,2.1,head-n,5 7 8 19,1,6
286,2.1,head-n,"29,31",1,7
287,2.1,head-n,11,1,8
288,2.1,head-n,15,1,9
289,2.1,head-n,20,1,10
290,2.1,head-n,21,1,11
291,2.1,head-n,26,1,12
292,2.1,head-n,18,1,13
293,2.1,head-n,"23,24",1,14
294,2.1,head-n,27,1,15
295,2.1,head-n,28,1,16
296,2.1,head-n,30,1,17
297,2.1,head-n,9,1,18
298,2.1,head-n,12,1,19
299,2.1,head-n,"10,16",1,20
300,2.1,head-n,17,1,21
301,2.1,head-n,22,1,22
302,2.1,head-n,25,1,23
303,2.1,head-n,24,1,24
304,2.1,head-n,33,1,25
314,2.1,note-v,"1,2,3",1,1
315,2.1,note-v,4,1,2
316,2.1,rate-v,3,1,1
317,2.1,rate-v,"1,2",1,2
318,2.1,rate-v,1,1,3
319,2.1,endorse-v,"1,2,3",1,1
320,2.1,endorse-v,3,1,2
321,2.1,endorse-v,4,1,3
322,2.1,consortium-n,1,1,1
325,2.1,listen-v,"1,2,3",1,1
328,2.1,urge-v,"1,2",1,1
330,2.1,close-v,"1,4,14",1,1
331,2.1,close-v,"3,8",1,2
332,2.1,close-v,"5,7,13,17",1,3
333,2.1,close-v,"6,12,15",1,4
334,2.1,close-v,"9,10,11",1,5
335,2.1,close-v,2,1,6
336,2.1,close-v,16,1,7
337,2.1,close-v,1,1,8
338,2.1,representative-n,1 2,1,1
339,2.1,representative-n,3,1,2
340,2.1,representative-n,4,1,3
346,2.1,regard-v,1,1,1
347,2.1,regard-v,2,1,2
348,2.1,regard-v,3,1,3
349,2.1,discount-v,1,1,1
350,2.1,discount-v,2,1,2
351,2.1,age-v,"1,2,3",1,1
352,2.1,age-v,,1,2
353,2.1,flee-v,1,1,1
354,2.1,switch-v,"1,3,7",1,1
356,2.1,switch-v,5,1,3
359,2.1,exercise-v,"1,2,5",1,1
360,2.1,exercise-v,"3,4",1,2
361,2.1,exercise-v,,1,3
362,2.1,avoid-v,"1,2,3,4",1,1
363,2.1,avoid-v,5,1,2
364,2.1,stay-vpc-v,,1,1
365,2.1,stay-vpc-v,,1,2
366,2.1,stay-vpc-v,,1,3
367,2.1,stay-vpc-v,2,1,4
368,2.1,stay-vpc-v,,1,5
369,2.1,stay-vpc-v,,1,6
370,2.1,stay-vpc-v,,1,7
371,2.1,stay-vpc-v,,1,8
372,2.1,read-v,"1,11",1,1
373,2.1,read-v,"2,7",1,2
374,2.1,read-v,"5,6",1,3
375,2.1,read-v,3,1,4
376,2.1,read-v,4,1,5
377,2.1,read-v,8,1,6
378,2.1,read-v,10,1,7
379,2.1,elaborate-v,"1,3,4",1,1
380,2.1,elaborate-v,2,1,2
384,2.1,drive-v,"1,2,3,12,13,14,16",1,1
385,2.1,drive-v,"4,5,6,7,15,22",1,2
386,2.1,drive-v,"10,11",1,3
387,2.1,drive-v,"9,17,18",1,4
388,2.1,drive-v,"8,19",1,5
389,2.1,drive-v,20,1,6
390,2.1,drive-v,21,1,7
391,2.1,restrict-v,"1,2,3,4",1,1
394,2.1,examine-v,1,1,1
395,2.1,examine-v,2,1,2
396,2.1,examine-v,"3,4,5",1,3
397,2.1,issue-v,"1,2,3,5",1,1
398,2.1,issue-v,4,1,2
403,2.1,chain-n,1,1,1
404,2.1,chain-n,2,1,2
406,2.1,chain-n,4,1,4
407,2.1,chain-n,9,1,5
408,2.1,chain-n,8,1,6
409,2.1,chain-n,6,1,7
411,2.1,measure-v,"1,2",1,1
412,2.1,measure-v,4,1,2
413,2.1,measure-v,,1,3
414,2.1,measure-v,,1,4
415,2.1,measure-v,,1,5
416,2.1,subordinate-v,"1,2",1,1
417,2.1,undertake-v,"1,2,5",1,1
418,2.1,undertake-v,"3,4",1,2
419,2.1,hope-v,"1,2,3",1,1
420,2.1,recover-v,"1,4",1,1
421,2.1,recover-v,"2,3",1,2
422,2.1,recover-v,5,1,3
423,2.1,recover-v,6,1,4
424,2.1,need-n,1 2,1,1
425,2.1,need-n,3,1,2
426,2.1,need-n,4,1,3
427,2.1,failing-n,1,1,1
428,2.1,failing-n,2,1,2
429,2.1,conveyor-n,1,1,1
430,2.1,conveyor-n,2,1,2
431,2.1,number-n,1,1,1
432,2.1,number-n,"2,6",1,2
433,2.1,number-n,4 6,1,3
434,2.1,number-n,10,1,4
435,2.1,number-n,3,1,5
436,2.1,number-n,Placeholder,1,6
437,2.1,number-n,9,1,7
438,2.1,number-n,11,1,8
439,2.1,number-n,8,1,9
449,2.1,station-n,1,1,1
450,2.1,station-n,2,1,2
451,2.1,station-n,3 4,1,3
452,2.1,dominion-n,1,1,1
453,2.1,dominion-n,2,1,2
455,2.1,deposit-n,4,1,1
456,2.1,deposit-n,5,1,2
457,2.1,deposit-n,"6,7",1,3
458,2.1,deposit-n,1,1,4
459,2.1,deposit-n,3,1,5
460,2.1,deposit-n,2,1,6
461,2.1,deposit-n,8,1,7
462,2.1,deposit-n,9,1,8
467,2.1,member-n,"1,2",1,1
470,2.1,await-v,1,1,1
471,2.1,arch-n,4,1,1
472,2.1,arch-n,1,1,2
473,2.1,arch-n,2,1,3
474,2.1,arch-n,3,1,4
475,2.1,lead-v,"2,3,5,9",1,1
476,2.1,lead-v,"4,8,13",1,2
477,2.1,lead-v,"6,12",1,3
478,2.1,lead-v,"7,10,15",1,4
479,2.1,lead-v,1,1,5
480,2.1,lead-v,11,1,6
481,2.1,lead-v,14,1,7
482,2.1,blank-n,1,1,1
483,2.1,blank-n,2,1,2
484,2.1,blank-n,3,1,3
485,2.1,blank-n,4,1,4
486,2.1,blank-n,5,1,5
492,2.1,support-v,"4,11",1,1
493,2.1,support-v,"1,2,4,6,8,9,10",1,2
494,2.1,support-v,"5,7",1,3
495,2.1,support-v,9,1,4
496,2.1,average-v,1,1,1
497,2.1,average-v,2,1,2
498,2.1,average-v,3,1,3
499,2.1,stretch-v,1,1,1
500,2.1,stretch-v,"2,3,4,5,7,8,9,10,11",1,2
501,2.1,stretch-v,6,1,3
502,2.1,tell-v,"1,2,3,4,6",1,1
503,2.1,tell-v,"5,8",1,2
504,2.1,tell-v,7,1,3
505,2.1,tell-v,,1,4
510,2.1,type-n,1 6,1,1
511,2.1,type-n,2,1,2
512,2.1,type-n,3,1,3
513,2.1,type-n,4,1,4
514,2.1,type-n,5,1,5
518,2.1,represent-v,"1,2,5,7",1,1
519,2.1,represent-v,"3,6",1,2
520,2.1,represent-v,"4,8",1,3
521,2.1,represent-v,"9,12,15",1,4
522,2.1,represent-v,"10,11",1,5
523,2.1,represent-v,"13,14",1,6
524,2.1,penalty-n,"1,3",1,1
525,2.1,penalty-n,2,1,2
526,2.1,penalty-n,4,1,3
527,2.1,travel-v,"1,2,3,5,6",1,1
528,2.1,travel-v,,1,2
529,2.1,stabilize-v,"1,2",1,1
530,2.1,stabilize-v,3,1,2
533,2.1,request-v,"1,2,3",1,1
534,2.1,steal-v,1,1,1
535,2.1,steal-v,2,1,2
536,2.1,steal-v,,1,3
537,2.1,steal-v,3,1,4
538,2.1,save-v,"1,3,7,8",1,1
539,2.1,save-v,"2,5,10",1,2
540,2.1,save-v,"4,6,9",1,3
541,2.1,save-v,,1,4
542,2.1,draw-v,"1,2,11,20,27,28",1,1
543,2.1,draw-v,"10,15,16,21,24,26,31,36",1,2
544,2.1,draw-v,"5,7,9,13,14,17,25,33",1,3
545,2.1,draw-v,12,1,4
546,2.1,draw-v,"29,32,35",1,5
547,2.1,draw-v,"3,6,8,18,19",1,6
548,2.1,draw-v,4,1,7
549,2.1,draw-v,30,1,8
550,2.1,draw-v,"23,34",1,9
551,2.1,draw-v,22,1,10
552,2.1,draw-v,,1,11
553,2.1,approach-v,"1,2,4",1,1
554,2.1,approach-v,5,1,2
555,2.1,approach-v,3,1,3
556,2.1,reveal-v,"1,3",1,1
557,2.1,reveal-v,2,1,2
562,2.1,worry-v,"1,2,4",1,1
563,2.1,worry-v,"5,6",1,2
564,2.1,worry-v,3,1,3
565,2.1,vehicle-n,1,1,1
566,2.1,vehicle-n,2,1,2
567,2.1,vehicle-n,3,1,3
568,2.1,vehicle-n,4,1,4
569,2.1,evaluate-v,2,1,1
570,2.1,evaluate-v,1,1,2
571,2.1,bring-v,"1,2,3,4,5,6,10",1,1
572,2.1,bring-v,7,1,2
573,2.1,bring-v,8,1,3
574,2.1,bring-v,6,1,4
575,2.1,bring-v,11,1,5
576,2.1,bring-v,2,1,6
577,2.1,bring-v,8,1,7
578,2.1,bring-v,,1,8
579,2.1,bring-v,,1,9
580,2.1,bring-v,,1,10
581,2.1,manufacture-v,1,1,1
582,2.1,manufacture-v,2,1,2
583,2.1,duct-n,3,1,1
584,2.1,duct-n,"1,2",1,2
586,2.1,rally-v,"1,2,3",1,1
587,2.1,rally-v,4,1,2
588,2.1,rally-v,5,1,3
595,2.1,stage-v,1,1,1
596,2.1,stage-v,2,1,2
597,2.1,stage-v,,1,3
598,2.1,use-v,"1,3,5",1,1
599,2.1,use-v,2,1,2
600,2.1,use-v,4,1,3
601,2.1,use-v,6,1,4
602,2.1,pick-n,"1,3",1,1
603,2.1,pick-n,2,1,2
604,2.1,pick-n,9,1,3
605,2.1,pick-n,4,1,4
606,2.1,pick-n,5,1,5
607,2.1,pick-n,6,1,6
608,2.1,pick-n,7,1,7
609,2.1,pick-n,8,1,8
616,2.1,want-v,"1,3,4",1,1
617,2.1,want-v,"2,5",1,2
618,2.1,advance-v,"1,5,6,11",1,1
619,2.1,advance-v,"3,12",1,2
620,2.1,advance-v,"2,4,7,8",1,3
621,2.1,advance-v,9,1,4
622,2.1,advance-v,10,1,5
623,2.1,advance-v,,1,6
624,2.1,policy-n,1 2,1,1
625,2.1,policy-n,3,1,2
627,2.1,calculate-v,"1,3",1,1
628,2.1,calculate-v,"2,4",1,2
629,2.1,calculate-v,5,1,3
630,2.1,calculate-v,6,1,4
631,2.1,profit-n,"1,-",1,1
632,2.1,profit-n,2,1,2
633,2.1,profit-n,Placeholder Sense,1,3
634,2.1,succeed-v,1,1,1
635,2.1,succeed-v,2,1,2
636,2.1,rest-n,1,1,1
637,2.1,rest-n,2,1,2
638,2.1,rest-n,,1,3
639,2.1,rest-n,4,1,4
640,2.1,rest-n,5,1,5
641,2.1,rest-n,6,1,6
642,2.1,rest-n,7,1,7
647,2.1,grant-v,"1,2,4,5,7",1,1
648,2.1,grant-v,3,1,2
649,2.1,grant-v,6,1,3
650,2.1,price-n,"1,2,4,5,6",1,1
651,2.1,price-n,3,1,2
654,2.1,wing-n,2,1,2
655,2.1,wing-n,3,1,3
656,2.1,wing-n,9,1,4
657,2.1,wing-n,5,1,5
659,2.1,wing-n,4,1,7
661,2.1,wing-n,6,1,9
662,2.1,wing-n,8,1,10
663,2.1,go-v,"1,2,14,16,20,21,25",1,1
664,2.1,go-v,"3,5,9,13,28",1,2
665,2.1,go-v,"17,30",1,3
666,2.1,go-v,"4,10,15,19",1,4
667,2.1,go-v,"8,16",1,5
668,2.1,go-v,"11,23",1,6
669,2.1,go-v,,1,7
670,2.1,go-v,"18,22,24,26",1,8
671,2.1,go-v,,1,9
672,2.1,go-v,7,1,10
673,2.1,go-v,12,1,11
674,2.1,go-v,27,1,12
675,2.1,go-v,29,1,13
676,2.1,go-v,,1,14
677,2.1,go-v,,1,15
678,2.1,define-v,"1,3",1,1
679,2.1,define-v,2,1,2
680,2.1,define-v,4,1,3
683,2.1,lower-v,,1,3
690,2.1,prevail-v,4,1,1
691,2.1,prevail-v,"1,2,3",1,2
692,2.1,prevail-v,5,1,3
693,2.1,let-v,"1,3,5",1,1
694,2.1,let-v,"2,4",1,2
695,2.1,let-v,6,1,3
717,2.1,base-v,1,1,1
718,2.1,base-v,2,1,2
719,2.1,base-v,3,1,3
720,2.1,believe-v,"1,2,3,5",1,1
721,2.1,believe-v,4,1,2
724,2.1,halt-v,"1,2,3,4",1,1
725,2.1,target-n,"1,4",1,1
726,2.1,target-n,"2,3",1,2
727,2.1,target-n,5,1,3
734,2.1,walk-v,,1,3
735,2.1,walk-v,,1,4
736,2.1,walk-v,,1,5
739,2.1,walk-v,5,1,8
740,2.1,walk-v,,1,9
742,2.1,borrow-v,1,1,1
743,2.1,borrow-v,2,1,2
744,2.1,disaster-n,"2,3",1,1
745,2.1,disaster-n,1,1,2
747,2.1,stem-v,1,1,1
748,2.1,stem-v,2,1,2
749,2.1,stem-v,,1,3
750,2.1,stem-v,4,1,4
751,2.1,stem-v,3,1,5
752,2.1,shrinkage-n,"1,2",1,1
753,2.1,shrinkage-n,3,1,2
754,2.1,accompany-v,"2,4",1,1
755,2.1,accompany-v,1,1,2
756,2.1,accompany-v,3,1,3
757,2.1,discourage-v,2,1,1
758,2.1,discourage-v,"1,3",1,2
759,2.1,bounce-n,1,1,1
760,2.1,bounce-n,"2,3",1,2
762,2.1,play-vpc-v,,1,1
763,2.1,play-vpc-v,,1,2
764,2.1,play-vpc-v,,1,3
765,2.1,play-vpc-v,,1,4
766,2.1,play-vpc-v,,1,5
767,2.1,play-vpc-v,,1,6
768,2.1,play-vpc-v,,1,7
769,2.1,play-vpc-v,,1,8
770,2.1,play-vpc-v,,1,9
771,2.1,play-vpc-v,,1,10
772,2.1,play-vpc-v,,1,11
773,2.1,play-vpc-v,,1,12
774,2.1,scare-v,"1,2",1,1
775,2.1,scare-v,1,1,2
776,2.1,attempt-n,1,1,1
777,2.1,attempt-n,2,1,2
779,2.1,deterioration-n,1,1,1
780,2.1,deterioration-n,2,1,2
781,2.1,hold-v,"3,15,18,35",1,1
782,2.1,hold-v,"4,9,14,16,17,26,27,31,33,34",1,2
783,2.1,hold-v,"2,10,32",1,3
784,2.1,hold-v,"7,11,12,13,24,36",1,4
785,2.1,hold-v,"5,6,22,23",2,5
786,2.1,hold-v,"8,19,20,25,29",1,6
787,2.1,hold-v,"21,30",1,7
788,2.1,hold-v,1,1,8
789,2.1,hold-v,28,1,9
790,2.1,hold-v,28,1,10
791,2.1,tie-v,"1,3,4,5,8",1,1
792,2.1,tie-v,"6,7",1,2
793,2.1,tie-v,2,1,3
794,2.1,tie-v,,1,4
795,2.1,tie-v,,1,5
796,2.1,form-v,"4,5",1,1
797,2.1,form-v,"1,7",1,2
798,2.1,form-v,2,1,3
799,2.1,form-v,3,1,4
800,2.1,form-v,6,1,5
801,2.1,retain-v,1,1,1
802,2.1,retain-v,"3,4",1,2
803,2.1,retain-v,2,1,3
804,2.1,become-v,"1,2",1,1
805,2.1,become-v,3,1,2
806,2.1,become-v,4,1,3
809,2.1,rule-v,,1,3
812,2.1,react-v,1,1,1
813,2.1,react-v,3,1,2
814,2.1,react-v,2,1,3
815,2.1,achieve-v,1,1,1
816,2.1,kick-v,"1,2,3,4,7",1,1
817,2.1,kick-v,1,1,2
818,2.1,kick-v,3,1,3
819,2.1,kick-v,3,1,4
820,2.1,kick-v,"1,2,3",1,5
821,2.1,kick-v,1,1,6
822,2.1,kick-v,2,1,7
823,2.1,kick-v,"1,2",1,8
824,2.1,kick-v,1,1,9
825,2.1,kick-v,,1,10
826,2.1,kick-v,5,1,11
827,2.1,kick-v,1,1,12
828,2.1,kick-v,1,1,13
829,2.1,kick-v,1,1,14
830,2.1,kick-v,,1,15
831,2.1,kick-v,8,1,16
832,2.1,kick-v,1,1,17
833,2.1,gather-v,"1,5,7",1,1
834,2.1,gather-v,"2,6",1,2
835,2.1,gather-v,3,1,3
836,2.1,gather-v,4,1,4
837,2.1,interview-v,"1,2",1,1
838,2.1,interview-v,3,1,2
839,2.1,award-v,"1,2",1,1
840,2.1,fishbowl-n,1,1,1
841,2.1,fishbowl-n,2,1,2
842,2.1,compile-v,"1,2",1,1
843,2.1,compile-v,3,1,2
844,2.1,disrupt-v,"1,2,3",1,1
845,2.1,traffic-n,1,1,1
846,2.1,traffic-n,3,1,2
847,2.1,traffic-n,2,1,3
848,2.1,traffic-n,4,1,4
853,2.1,guideline-n,1,1,1
854,2.1,guideline-n,"2,3",1,2
855,2.1,inconvenience-n,"1,2",1,1
856,2.1,inconvenience-n,3,1,2
857,2.1,link-n,1 4,1,1
858,2.1,link-n,2,1,2
859,2.1,link-n,3,1,3
860,2.1,link-n,7,1,4
861,2.1,link-n,"8,9",1,5
862,2.1,link-n,5,1,6
863,2.1,link-n,7,1,7
864,2.1,link-n,Placeholder,1,8
866,2.1,predator-n,2,1,1
867,2.1,predator-n,1,1,2
868,2.1,promise-v,"1,2",1,1
869,2.1,promise-v,"3,4",1,2
870,2.1,show-v,"2,3,4,5,6,7,8,9,10,11",1,1
871,2.1,show-v,1,1,2
872,2.1,show-v,1,1,3
873,2.1,show-v,12,1,4
874,2.1,show-v,13,1,5
875,2.1,show-v,1,1,6
876,2.1,show-v,1,1,7
877,2.1,faction-n,"1,2",1,1
879,2.1,undertaking-n,1,1,1
880,2.1,undertaking-n,2,1,2
883,2.1,tighten-v,"1,2",1,1
884,2.1,tighten-v,"3,4",1,2
885,2.1,tighten-v,,1,3
886,2.1,tighten-v,,1,4
889,2.1,last-v,1,1,1
890,2.1,last-v,2,1,2
891,2.1,reduce-v,"1,7,9,11,15,18,19",1,1
892,2.1,reduce-v,"2,4,6,10",1,2
893,2.1,reduce-v,"3,5,8,12",1,3
894,2.1,reduce-v,"16,17",1,4
895,2.1,reduce-v,13,1,5
896,2.1,reduce-v,14,1,6
898,2.1,volatility-n,2,1,1
899,2.1,volatility-n,1,1,2
900,2.1,volatility-n,3,1,3
902,2.1,entrust-v,"1,2",1,1
903,2.1,express-v,"1,2,3,4",1,1
904,2.1,express-v,5,1,2
905,2.1,express-v,6,1,3
908,2.1,fighter-n,,1,1
909,2.1,fighter-n,2,1,2
910,2.1,fighter-n,3,1,3
911,2.1,film-n,1,1,1
912,2.1,film-n,"2,5",1,2
913,2.1,film-n,3,1,3
914,2.1,film-n,4,1,4
915,2.1,trader-n,1,1,1
918,2.1,contest-n,1,1,1
919,2.1,contest-n,2,1,2
920,2.1,crime-n,1,1,1
922,2.1,crime-n,,1,3
933,2.1,concede-v,"1,2",1,1
934,2.1,concede-v,"3,4",1,2
935,2.1,authorize-v,1,1,1
936,2.1,authorize-v,2,1,2
937,2.1,pick-vpc-v,,1,1
938,2.1,pick-vpc-v,,1,2
939,2.1,pick-vpc-v,"5,9,14",1,3
940,2.1,pick-vpc-v,,1,4
941,2.1,pick-vpc-v,,1,5
942,2.1,pick-vpc-v,,1,6
943,2.1,pick-vpc-v,,1,7
944,2.1,pick-vpc-v,"1,2",1,8
945,2.1,pick-vpc-v,,1,9
946,2.1,pick-vpc-v,,1,10
947,2.1,pick-vpc-v,,1,11
948,2.1,pick-vpc-v,,1,12
949,2.1,framework-n,1,1,1
950,2.1,framework-n,"2,3",1,2
951,2.1,diversify-v,"1,2,3",1,1
952,2.1,protect-v,1,1,1
953,2.1,protect-v,2,1,2
954,2.1,output-n,2 4,1,1
955,2.1,output-n,1 5,1,2
957,2.1,output-n,3,1,4
958,2.1,amusement-n,1,1,1
959,2.1,amusement-n,2,1,2
960,2.1,invest-v,1,1,1
961,2.1,invest-v,"2,4",1,2
962,2.1,invest-v,3,1,3
963,2.1,invest-v,5,1,4
967,2.1,parcel-n,"1,4",1,1
968,2.1,parcel-n,2,1,2
969,2.1,parcel-n,3,1,3
973,2.1,car-n,"3,4,5",1,1
974,2.1,car-n,1,1,2
975,2.1,car-n,2,1,3
976,2.1,profession-n,1,1,1
977,2.1,profession-n,2,1,2
978,2.1,profession-n,"3,4",1,3
979,2.1,perspective-n,1,1,1
980,2.1,perspective-n,2,1,2
982,2.1,allow-v,"1,2,3,7,8,10",1,1
983,2.1,allow-v,"4,5,6,9",1,2
988,2.1,count-v,2,1,2
990,2.1,count-v,"7,8",1,4
991,2.1,limit-n,"2,3",1,1
992,2.1,limit-n,"1,4,6",1,2
993,2.1,limit-n,,1,3
995,2.1,practice-n,,1,1
996,2.1,practice-n,2,1,2
997,2.1,practice-n,3,1,3
998,2.1,practice-n,,1,4
1000,2.1,boost-v,"1,2,3,4",1,1
1001,2.1,boost-v,5,1,2
1002,2.1,boost-v,,1,3
1005,2.1,share-v,1,1,1
1006,2.1,share-v,"2,3",1,2
1007,2.1,share-v,"4,5",1,3
1008,2.1,accelerate-v,"1,2",1,1
1009,2.1,visit-v,"1,2,3,4",1,1
1010,2.1,visit-v,5,1,2
