Unnamed: 0,Pos,Sense1,Sense2,Merge,Sense1_keys,Sense2_keys,wn_oed_feature
80,v,draw#v#04,draw#v#32,not-merged,draw%2:31:00::;make%2:31:00::;,make%2:31:00::;,1.0
81,v,draw#v#04,draw#v#35,not-merged,draw%2:31:00::;make%2:31:00::;,make%2:31:00::;,1.0
82,v,draw#v#04,draw#v#12,not-merged,draw%2:31:00::;make%2:31:00::;,make%2:31:00::;,1.0
83,v,draw#v#04,draw#v#15,not-merged,draw%2:31:00::;make%2:31:00::;,make%2:31:00::;make%2:31:00::;,1.0
84,v,draw#v#04,draw#v#18,not-merged,draw%2:31:00::;make%2:31:00::;,make%2:31:00::;,1.0
85,v,draw#v#04,draw#v#22,not-merged,draw%2:31:00::;make%2:31:00::;,make%2:31:00::;,1.0
86,v,draw#v#04,draw#v#23,not-merged,draw%2:31:00::;make%2:31:00::;,make%2:31:00::;make%2:31:00::;make%2:31:00::;,1.0
87,v,draw#v#04,draw#v#31,not-merged,draw%2:31:00::;make%2:31:00::;,make%2:31:00::;,1.0
88,v,draw#v#06,draw#v#19,merged,draw%2:36:00::;,draw%2:36:00::;,1.0
89,v,draw#v#06,draw#v#07,not-merged,draw%2:36:00::;,draw%2:36:00::;draw%2:36:00::;,1.0
90,v,draw#v#06,draw#v#05,not-merged,draw%2:36:00::;,draw%2:36:00::;draw%2:36:00::;draw%2:36:00::;draw%2:36:00::;draw%2:36:00::;,1.0
91,v,draw#v#06,draw#v#09,not-merged,draw%2:36:00::;,draw%2:36:00::;,1.0
92,v,draw#v#06,draw#v#14,not-merged,draw%2:36:00::;,draw%2:36:00::;draw%2:36:00::;,1.0
93,v,draw#v#06,draw#v#17,not-merged,draw%2:36:00::;,draw%2:36:00::;,1.0
94,v,draw#v#06,draw#v#21,not-merged,draw%2:36:00::;,draw%2:36:00::;,1.0
95,v,draw#v#06,draw#v#36,not-merged,draw%2:36:00::;,draw%2:36:00::;,1.0
96,v,draw#v#06,draw#v#33,not-merged,draw%2:36:00::;,draw%2:36:00::;,1.0
97,v,draw#v#06,draw#v#32,not-merged,draw%2:36:00::;,draw%2:36:00::;,1.0
98,v,draw#v#06,draw#v#35,not-merged,draw%2:36:00::;,draw%2:36:00::;,1.0
99,v,draw#v#06,draw#v#12,not-merged,draw%2:36:00::;,draw%2:36:00::;,1.0
100,v,draw#v#06,draw#v#15,not-merged,draw%2:36:00::;,draw%2:36:00::;draw%2:36:00::;,1.0
101,v,draw#v#06,draw#v#18,not-merged,draw%2:36:00::;,draw%2:36:00::;,1.0
102,v,draw#v#06,draw#v#22,not-merged,draw%2:36:00::;,draw%2:36:00::;,1.0
103,v,draw#v#06,draw#v#23,not-merged,draw%2:36:00::;,draw%2:36:00::;draw%2:36:00::;draw%2:36:00::;,1.0
104,v,draw#v#06,draw#v#31,not-merged,draw%2:36:00::;,draw%2:36:00::;,1.0
105,v,draw#v#19,draw#v#07,not-merged,draw%2:36:02::;,draw%2:36:02::;draw%2:36:02::;,1.0
106,v,draw#v#19,draw#v#05,not-merged,draw%2:36:02::;,draw%2:36:02::;draw%2:36:02::;draw%2:36:02::;draw%2:36:02::;draw%2:36:02::;,1.0
107,v,draw#v#19,draw#v#09,not-merged,draw%2:36:02::;,draw%2:36:02::;,1.0
108,v,draw#v#19,draw#v#14,not-merged,draw%2:36:02::;,draw%2:36:02::;draw%2:36:02::;,1.0
109,v,draw#v#19,draw#v#17,not-merged,draw%2:36:02::;,draw%2:36:02::;,1.0
110,v,draw#v#19,draw#v#21,not-merged,draw%2:36:02::;,draw%2:36:02::;,1.0
111,v,draw#v#19,draw#v#36,not-merged,draw%2:36:02::;,draw%2:36:02::;,1.0
112,v,draw#v#19,draw#v#33,not-merged,draw%2:36:02::;,draw%2:36:02::;,1.0
113,v,draw#v#19,draw#v#32,not-merged,draw%2:36:02::;,draw%2:36:02::;,1.0
114,v,draw#v#19,draw#v#35,not-merged,draw%2:36:02::;,draw%2:36:02::;,1.0
115,v,draw#v#19,draw#v#12,not-merged,draw%2:36:02::;,draw%2:36:02::;,1.0
116,v,draw#v#19,draw#v#15,not-merged,draw%2:36:02::;,draw%2:36:02::;draw%2:36:02::;,1.0
117,v,draw#v#19,draw#v#18,not-merged,draw%2:36:02::;,draw%2:36:02::;,1.0
118,v,draw#v#19,draw#v#22,not-merged,draw%2:36:02::;,draw%2:36:02::;,1.0
120,v,draw#v#19,draw#v#31,not-merged,draw%2:36:02::;,draw%2:36:02::;,1.0
121,v,draw#v#07,draw#v#05,merged,draw%2:38:00::;take_out%2:38:00::;,take_out%2:38:00::;take_out%2:38:00::;take_out%2:38:00::;take_out%2:38:00::;take_out%2:38:00::;,0.0
122,v,draw#v#07,draw#v#09,merged,draw%2:38:00::;take_out%2:38:00::;,take_out%2:38:00::;,0.0
123,v,draw#v#07,draw#v#14,merged,draw%2:38:00::;take_out%2:38:00::;,take_out%2:38:00::;take_out%2:38:00::;,0.0
124,v,draw#v#07,draw#v#17,merged,draw%2:38:00::;take_out%2:38:00::;,take_out%2:38:00::;,0.0
125,v,draw#v#07,draw#v#21,merged,draw%2:38:00::;take_out%2:38:00::;,take_out%2:38:00::;,0.0
126,v,draw#v#07,draw#v#36,merged,draw%2:38:00::;take_out%2:38:00::;,take_out%2:38:00::;,0.0
127,v,draw#v#07,draw#v#33,not-merged,draw%2:38:00::;take_out%2:38:00::;,take_out%2:38:00::;,0.0
128,v,draw#v#07,draw#v#32,not-merged,draw%2:38:00::;take_out%2:38:00::;,take_out%2:38:00::;,0.0
129,v,draw#v#07,draw#v#35,not-merged,draw%2:38:00::;take_out%2:38:00::;,take_out%2:38:00::;,0.0
130,v,draw#v#07,draw#v#12,not-merged,draw%2:38:00::;take_out%2:38:00::;,take_out%2:38:00::;,0.0
131,v,draw#v#07,draw#v#15,not-merged,draw%2:38:00::;take_out%2:38:00::;,take_out%2:38:00::;take_out%2:38:00::;,0.0
132,v,draw#v#07,draw#v#18,not-merged,draw%2:38:00::;take_out%2:38:00::;,take_out%2:38:00::;,0.0
133,v,draw#v#07,draw#v#22,not-merged,draw%2:38:00::;take_out%2:38:00::;,take_out%2:38:00::;,0.0
134,v,draw#v#07,draw#v#23,not-merged,draw%2:38:00::;take_out%2:38:00::;,take_out%2:38:00::;take_out%2:38:00::;take_out%2:38:00::;,0.0
135,v,draw#v#07,draw#v#31,not-merged,draw%2:38:00::;take_out%2:38:00::;,take_out%2:38:00::;,0.0
136,v,draw#v#05,draw#v#09,merged,draw%2:38:01::;pull%2:38:03::;pull_out%2:38:03::;get_out%2:38:02::;take_out%2:38:10::;,take_out%2:38:10::;,0.0
137,v,draw#v#05,draw#v#14,merged,draw%2:38:01::;pull%2:38:03::;pull_out%2:38:03::;get_out%2:38:02::;take_out%2:38:10::;,take_out%2:38:10::;take_out%2:38:10::;,0.0
138,v,draw#v#05,draw#v#17,merged,draw%2:38:01::;pull%2:38:03::;pull_out%2:38:03::;get_out%2:38:02::;take_out%2:38:10::;,take_out%2:38:10::;,0.0
139,v,draw#v#05,draw#v#21,merged,draw%2:38:01::;pull%2:38:03::;pull_out%2:38:03::;get_out%2:38:02::;take_out%2:38:10::;,take_out%2:38:10::;,0.0
140,v,draw#v#05,draw#v#36,merged,draw%2:38:01::;pull%2:38:03::;pull_out%2:38:03::;get_out%2:38:02::;take_out%2:38:10::;,take_out%2:38:10::;,0.0
141,v,draw#v#05,draw#v#33,not-merged,draw%2:38:01::;pull%2:38:03::;pull_out%2:38:03::;get_out%2:38:02::;take_out%2:38:10::;,take_out%2:38:10::;,0.0
142,v,draw#v#05,draw#v#32,not-merged,draw%2:38:01::;pull%2:38:03::;pull_out%2:38:03::;get_out%2:38:02::;take_out%2:38:10::;,take_out%2:38:10::;,0.0
143,v,draw#v#05,draw#v#35,not-merged,draw%2:38:01::;pull%2:38:03::;pull_out%2:38:03::;get_out%2:38:02::;take_out%2:38:10::;,take_out%2:38:10::;,0.0
144,v,draw#v#05,draw#v#12,not-merged,draw%2:38:01::;pull%2:38:03::;pull_out%2:38:03::;get_out%2:38:02::;take_out%2:38:10::;,take_out%2:38:10::;,0.0
145,v,draw#v#05,draw#v#15,not-merged,draw%2:38:01::;pull%2:38:03::;pull_out%2:38:03::;get_out%2:38:02::;take_out%2:38:10::;,take_out%2:38:10::;take_out%2:38:10::;,0.0
146,v,draw#v#05,draw#v#18,not-merged,draw%2:38:01::;pull%2:38:03::;pull_out%2:38:03::;get_out%2:38:02::;take_out%2:38:10::;,take_out%2:38:10::;,0.0
147,v,draw#v#05,draw#v#22,not-merged,draw%2:38:01::;pull%2:38:03::;pull_out%2:38:03::;get_out%2:38:02::;take_out%2:38:10::;,take_out%2:38:10::;,0.0
148,v,draw#v#05,draw#v#23,not-merged,draw%2:38:01::;pull%2:38:03::;pull_out%2:38:03::;get_out%2:38:02::;take_out%2:38:10::;,take_out%2:38:10::;take_out%2:38:10::;take_out%2:38:10::;,0.0
149,v,draw#v#05,draw#v#31,not-merged,draw%2:38:01::;pull%2:38:03::;pull_out%2:38:03::;get_out%2:38:02::;take_out%2:38:10::;,take_out%2:38:10::;,0.0
150,v,draw#v#09,draw#v#14,merged,draw%2:31:13::;,draw%2:31:13::;draw%2:31:13::;,1.0
151,v,draw#v#09,draw#v#17,merged,draw%2:31:13::;,draw%2:31:13::;,1.0
152,v,draw#v#09,draw#v#21,merged,draw%2:31:13::;,draw%2:31:13::;,1.0
153,v,draw#v#09,draw#v#36,merged,draw%2:31:13::;,draw%2:31:13::;,1.0
154,v,draw#v#09,draw#v#33,not-merged,draw%2:31:13::;,draw%2:31:13::;,1.0
155,v,draw#v#09,draw#v#32,not-merged,draw%2:31:13::;,draw%2:31:13::;,1.0
156,v,draw#v#09,draw#v#35,not-merged,draw%2:31:13::;,draw%2:31:13::;,1.0
157,v,draw#v#09,draw#v#12,not-merged,draw%2:31:13::;,draw%2:31:13::;,1.0
158,v,draw#v#09,draw#v#15,not-merged,draw%2:31:13::;,draw%2:31:13::;draw%2:31:13::;,1.0
159,v,draw#v#09,draw#v#18,not-merged,draw%2:31:13::;,draw%2:31:13::;,1.0
160,v,draw#v#09,draw#v#22,not-merged,draw%2:31:13::;,draw%2:31:13::;,1.0
161,v,draw#v#09,draw#v#23,not-merged,draw%2:31:13::;,draw%2:31:13::;draw%2:31:13::;draw%2:31:13::;,1.0
162,v,draw#v#09,draw#v#31,not-merged,draw%2:31:13::;,draw%2:31:13::;,1.0
164,v,draw#v#14,draw#v#21,merged,draw%2:33:01::;cast%2:33:00::;,cast%2:33:00::;,1.0
165,v,draw#v#14,draw#v#36,merged,draw%2:33:01::;cast%2:33:00::;,cast%2:33:00::;,1.0
169,v,draw#v#14,draw#v#12,not-merged,draw%2:33:01::;cast%2:33:00::;,cast%2:33:00::;,1.0
170,v,draw#v#14,draw#v#15,not-merged,draw%2:33:01::;cast%2:33:00::;,cast%2:33:00::;cast%2:33:00::;,1.0
172,v,draw#v#14,draw#v#22,not-merged,draw%2:33:01::;cast%2:33:00::;,cast%2:33:00::;,1.0
174,v,draw#v#14,draw#v#31,not-merged,draw%2:33:01::;cast%2:33:00::;,cast%2:33:00::;,1.0
175,v,draw#v#17,draw#v#21,merged,draw%2:38:07::;,draw%2:38:07::;,1.0
176,v,draw#v#17,draw#v#36,merged,draw%2:38:07::;,draw%2:38:07::;,1.0
180,v,draw#v#17,draw#v#12,not-merged,draw%2:38:07::;,draw%2:38:07::;,1.0
181,v,draw#v#17,draw#v#15,not-merged,draw%2:38:07::;,draw%2:38:07::;draw%2:38:07::;,1.0
183,v,draw#v#17,draw#v#22,not-merged,draw%2:38:07::;,draw%2:38:07::;,1.0
185,v,draw#v#17,draw#v#31,not-merged,draw%2:38:07::;,draw%2:38:07::;,1.0
190,v,draw#v#21,draw#v#12,not-merged,draw%2:42:00::;,draw%2:42:00::;,1.0
191,v,draw#v#21,draw#v#15,not-merged,draw%2:42:00::;,draw%2:42:00::;draw%2:42:00::;,1.0
193,v,draw#v#21,draw#v#22,not-merged,draw%2:42:00::;,draw%2:42:00::;,1.0
199,v,draw#v#36,draw#v#12,not-merged,draw%2:29:00::;,draw%2:29:00::;,1.0
200,v,draw#v#36,draw#v#15,not-merged,draw%2:29:00::;,draw%2:29:00::;draw%2:29:00::;,1.0
202,v,draw#v#36,draw#v#22,not-merged,draw%2:29:00::;,draw%2:29:00::;,1.0
204,v,draw#v#36,draw#v#31,not-merged,draw%2:29:00::;,draw%2:29:00::;,1.0
207,v,draw#v#33,draw#v#12,not-merged,draw%2:30:15::;,draw%2:30:15::;,1.0
208,v,draw#v#33,draw#v#15,not-merged,draw%2:30:15::;,draw%2:30:15::;draw%2:30:15::;,1.0
210,v,draw#v#33,draw#v#22,not-merged,draw%2:30:15::;,draw%2:30:15::;,1.0
212,v,draw#v#33,draw#v#31,not-merged,draw%2:30:15::;,draw%2:30:15::;,1.0
214,v,draw#v#32,draw#v#12,not-merged,draw%2:30:08::;,draw%2:30:08::;,1.0
215,v,draw#v#32,draw#v#15,not-merged,draw%2:30:08::;,draw%2:30:08::;draw%2:30:08::;,1.0
217,v,draw#v#32,draw#v#22,not-merged,draw%2:30:08::;,draw%2:30:08::;,1.0
219,v,draw#v#32,draw#v#31,not-merged,draw%2:30:08::;,draw%2:30:08::;,1.0
220,v,draw#v#35,draw#v#12,not-merged,draw%2:30:04::;,draw%2:30:04::;,0.0
221,v,draw#v#35,draw#v#15,not-merged,draw%2:30:04::;,draw%2:30:04::;draw%2:30:04::;,0.0
223,v,draw#v#35,draw#v#22,not-merged,draw%2:30:04::;,draw%2:30:04::;,0.0
225,v,draw#v#35,draw#v#31,not-merged,draw%2:30:04::;,draw%2:30:04::;,0.0
232,v,draw#v#15,draw#v#22,not-merged,draw%2:36:01::;get%2:36:00::;,get%2:36:00::;,0.0
235,v,draw#v#18,draw#v#22,not-merged,draw%2:36:07::;,draw%2:36:07::;,0.0
237,v,draw#v#18,draw#v#31,not-merged,draw%2:36:07::;,draw%2:36:07::;,0.0
240,v,draw#v#23,draw#v#31,not-merged,draw%2:41:13::;quarter%2:41:00::;draw_and_quarter%2:41:00::;,draw_and_quarter%2:41:00::;,0.0
241,n,stone#n#05,stone#n#03,not-merged,stone%1:20:00::;pit%1:20:00::;endocarp%1:20:00::;,endocarp%1:20:00::;,0.0
242,n,stone#n#05,stone#n#09,not-merged,stone%1:20:00::;pit%1:20:00::;endocarp%1:20:00::;,endocarp%1:20:00::;endocarp%1:20:00::;,0.0
243,n,stone#n#05,stone#n#08,not-merged,stone%1:20:00::;pit%1:20:00::;endocarp%1:20:00::;,endocarp%1:20:00::;endocarp%1:20:00::;,0.0
244,n,stone#n#05,stone#n#10,not-merged,stone%1:20:00::;pit%1:20:00::;endocarp%1:20:00::;,endocarp%1:20:00::;endocarp%1:20:00::;endocarp%1:20:00::;,0.0
245,n,stone#n#05,stone#n#11,not-merged,stone%1:20:00::;pit%1:20:00::;endocarp%1:20:00::;,endocarp%1:20:00::;endocarp%1:20:00::;,0.0
246,n,stone#n#05,stone#n#12,not-merged,stone%1:20:00::;pit%1:20:00::;endocarp%1:20:00::;,endocarp%1:20:00::;endocarp%1:20:00::;,0.0
247,n,stone#n#05,stone#n#06,not-merged,stone%1:20:00::;pit%1:20:00::;endocarp%1:20:00::;,endocarp%1:20:00::;,0.0
248,n,stone#n#05,stone#n#13,not-merged,stone%1:20:00::;pit%1:20:00::;endocarp%1:20:00::;,endocarp%1:20:00::;,0.0
249,n,stone#n#03,stone#n#09,not-merged,stone%1:06:00::;,stone%1:06:00::;stone%1:06:00::;,1.0
250,n,stone#n#03,stone#n#08,not-merged,stone%1:06:00::;,stone%1:06:00::;stone%1:06:00::;,1.0
251,n,stone#n#03,stone#n#10,not-merged,stone%1:06:00::;,stone%1:06:00::;stone%1:06:00::;stone%1:06:00::;,1.0
252,n,stone#n#03,stone#n#11,not-merged,stone%1:06:00::;,stone%1:06:00::;stone%1:06:00::;,1.0
253,n,stone#n#03,stone#n#12,not-merged,stone%1:06:00::;,stone%1:06:00::;stone%1:06:00::;,1.0
254,n,stone#n#03,stone#n#06,not-merged,stone%1:06:00::;,stone%1:06:00::;,1.0
255,n,stone#n#03,stone#n#13,not-merged,stone%1:06:00::;,stone%1:06:00::;,1.0
256,n,stone#n#09,stone#n#08,merged,stone%1:18:03::;lucy_stone%1:18:00::;,lucy_stone%1:18:00::;lucy_stone%1:18:00::;,0.0
257,n,stone#n#09,stone#n#10,merged,stone%1:18:03::;lucy_stone%1:18:00::;,lucy_stone%1:18:00::;lucy_stone%1:18:00::;lucy_stone%1:18:00::;,0.0
258,n,stone#n#09,stone#n#11,merged,stone%1:18:03::;lucy_stone%1:18:00::;,lucy_stone%1:18:00::;lucy_stone%1:18:00::;,0.0
259,n,stone#n#09,stone#n#12,merged,stone%1:18:03::;lucy_stone%1:18:00::;,lucy_stone%1:18:00::;lucy_stone%1:18:00::;,0.0
260,n,stone#n#09,stone#n#06,not-merged,stone%1:18:03::;lucy_stone%1:18:00::;,lucy_stone%1:18:00::;,0.0
261,n,stone#n#09,stone#n#13,not-merged,stone%1:18:03::;lucy_stone%1:18:00::;,lucy_stone%1:18:00::;,0.0
262,n,stone#n#08,stone#n#10,merged,stone%1:18:04::;oliver_stone%1:18:00::;,oliver_stone%1:18:00::;oliver_stone%1:18:00::;oliver_stone%1:18:00::;,0.0
263,n,stone#n#08,stone#n#11,merged,stone%1:18:04::;oliver_stone%1:18:00::;,oliver_stone%1:18:00::;oliver_stone%1:18:00::;,0.0
264,n,stone#n#08,stone#n#12,merged,stone%1:18:04::;oliver_stone%1:18:00::;,oliver_stone%1:18:00::;oliver_stone%1:18:00::;,0.0
265,n,stone#n#08,stone#n#06,not-merged,stone%1:18:04::;oliver_stone%1:18:00::;,oliver_stone%1:18:00::;,0.0
266,n,stone#n#08,stone#n#13,not-merged,stone%1:18:04::;oliver_stone%1:18:00::;,oliver_stone%1:18:00::;,0.0
267,n,stone#n#10,stone#n#11,merged,stone%1:18:02::;i._f._stone%1:18:00::;isidor_feinstein_stone%1:18:00::;,isidor_feinstein_stone%1:18:00::;isidor_feinstein_stone%1:18:00::;,0.0
268,n,stone#n#10,stone#n#12,merged,stone%1:18:02::;i._f._stone%1:18:00::;isidor_feinstein_stone%1:18:00::;,isidor_feinstein_stone%1:18:00::;isidor_feinstein_stone%1:18:00::;,0.0
269,n,stone#n#10,stone#n#06,not-merged,stone%1:18:02::;i._f._stone%1:18:00::;isidor_feinstein_stone%1:18:00::;,isidor_feinstein_stone%1:18:00::;,0.0
270,n,stone#n#10,stone#n#13,not-merged,stone%1:18:02::;i._f._stone%1:18:00::;isidor_feinstein_stone%1:18:00::;,isidor_feinstein_stone%1:18:00::;,0.0
271,n,stone#n#11,stone#n#12,merged,stone%1:18:01::;harlan_fiske_stone%1:18:00::;,harlan_fiske_stone%1:18:00::;harlan_fiske_stone%1:18:00::;,0.0
272,n,stone#n#11,stone#n#06,not-merged,stone%1:18:01::;harlan_fiske_stone%1:18:00::;,harlan_fiske_stone%1:18:00::;,0.0
273,n,stone#n#11,stone#n#13,not-merged,stone%1:18:01::;harlan_fiske_stone%1:18:00::;,harlan_fiske_stone%1:18:00::;,0.0
274,n,stone#n#12,stone#n#06,not-merged,stone%1:18:00::;edward_durell_stone%1:18:00::;,edward_durell_stone%1:18:00::;,0.0
275,n,stone#n#12,stone#n#13,not-merged,stone%1:18:00::;edward_durell_stone%1:18:00::;,edward_durell_stone%1:18:00::;,0.0
276,n,stone#n#06,stone#n#13,not-merged,stone%1:23:00::;,stone%1:23:00::;,0.0
277,v,confront#v#01,confront#v#02,merged,confront%2:33:00::;face%2:33:00::;,face%2:33:00::;face%2:33:00::;face%2:33:00::;,1.0
278,v,confront#v#01,confront#v#03,merged,confront%2:33:00::;face%2:33:00::;,face%2:33:00::;face%2:33:00::;face%2:33:00::;,1.0
279,v,confront#v#02,confront#v#03,merged,confront%2:32:00::;face_up%2:32:03::;face%2:32:00::;,face%2:32:00::;face%2:32:00::;face%2:32:00::;,1.0
280,n,sense#n#03,sense#n#01,merged,sense%1:09:02::;sensation%1:09:01::;sentience%1:09:00::;sentiency%1:09:00::;sensory_faculty%1:09:00::;,sensory_faculty%1:09:00::;,0.0
281,n,sense#n#03,sense#n#02,not-merged,sense%1:09:02::;sensation%1:09:01::;sentience%1:09:00::;sentiency%1:09:00::;sensory_faculty%1:09:00::;,sensory_faculty%1:09:00::;sensory_faculty%1:09:00::;,0.0
282,n,sense#n#03,sense#n#05,not-merged,sense%1:09:02::;sensation%1:09:01::;sentience%1:09:00::;sentiency%1:09:00::;sensory_faculty%1:09:00::;,sensory_faculty%1:09:00::;,0.0
283,n,sense#n#01,sense#n#02,not-merged,sense%1:09:05::;,sense%1:09:05::;sense%1:09:05::;,1.0
284,n,sense#n#01,sense#n#05,not-merged,sense%1:09:05::;,sense%1:09:05::;,1.0
285,n,sense#n#02,sense#n#05,not-merged,sense%1:10:00::;signified%1:10:00::;,signified%1:10:00::;,0.0
286,n,lady#n#01,lady#n#03,merged,lady%1:18:02::;,lady%1:18:02::;lady%1:18:02::;lady%1:18:02::;,1.0
287,n,distress#n#02,distress#n#01,merged,distress%1:26:01::;,distress%1:26:01::;distress%1:26:01::;distress%1:26:01::;,1.0
288,n,distress#n#02,distress#n#03,merged,distress%1:26:01::;,distress%1:26:01::;,1.0
289,n,distress#n#02,distress#n#04,not-merged,distress%1:26:01::;,distress%1:26:01::;distress%1:26:01::;,1.0
290,n,distress#n#01,distress#n#03,merged,distress%1:12:02::;hurt%1:12:02::;suffering%1:12:02::;,suffering%1:12:02::;,0.0
291,n,distress#n#01,distress#n#04,not-merged,distress%1:12:02::;hurt%1:12:02::;suffering%1:12:02::;,suffering%1:12:02::;suffering%1:12:02::;,0.0
292,n,distress#n#03,distress#n#04,not-merged,distress%1:26:00::;,distress%1:26:00::;distress%1:26:00::;,1.0
293,v,play#v#01,play#v#17,not-merged,play%2:33:00::;,play%2:33:00::;,1.0
294,v,play#v#01,play#v#02,not-merged,play%2:33:00::;,play%2:33:00::;,1.0
